Ticker,Company,Sector,Region,Manual_Rating,Default_Event,ReportDate,Year,TotalAssets,TotalLiabilities,TotalEquity,TotalDebt,Cash,Revenue,EBITDA,EBIT,NetIncome,InterestExpense,OperatingCashFlow,MarketCap,SharePrice,Return_1Y,Volatility_1Y
CSCO,Cisco,Technology,US,AA-,0,2021-07-31,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.84801864624024,0.21302226931294665,0.22799893714442052
CSCO,Cisco,Technology,US,AA-,0,2022-07-31,2022,94002000000.0,54229000000.0,39773000000.0,9515000000.0,7079000000.0,51557000000.0,16794000000.0,14837000000.0,11812000000.0,360000000.0,13226000000.0,169244235420.22702,41.17864608764648,-0.15822105244524676,0.273488914624011
CSCO,Cisco,Technology,US,AA-,0,2023-07-31,2023,101852000000.0,57499000000.0,44353000000.0,8391000000.0,10123000000.0,56998000000.0,17471000000.0,15745000000.0,12613000000.0,427000000.0,19886000000.0,198530627166.74805,48.82701110839844,0.18809295777105706,0.22777505760750455
CSCO,Cisco,Technology,US,AA-,0,2024-07-31,2024,124413000000.0,78956000000.0,45457000000.0,30973000000.0,7508000000.0,53803000000.0,15747000000.0,13240000000.0,10320000000.0,1006000000.0,10880000000.0,186621381267.5476,46.5738410949707,-0.0564706327855905,0.18474957174827497
CSCO,Cisco,Technology,US,AA-,0,2025-07-31,2025,122291000000.0,75448000000.0,46843000000.0,28093000000.0,8346000000.0,56654000000.0,15504000000.0,12693000000.0,10180000000.0,1593000000.0,14193000000.0,228499753228.23798,57.70198440551758,0.2310083259044795,0.20236885458180492
INTC,Intel,Technology,US,A-,0,2020-12-31,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.07122802734375,-0.17879403574436348,0.5351642414535528
INTC,Intel,Technology,US,A-,0,2021-12-31,2021,168406000000.0,73015000000.0,95391000000.0,38110000000.0,4827000000.0,79024000000.0,34092000000.0,22300000000.0,19868000000.0,597000000.0,29456000000.0,195307553787.23145,47.98711395263672,0.06546788901309464,0.3150577299018539
INTC,Intel,Technology,US,A-,0,2022-12-31,2022,182103000000.0,78817000000.0,101423000000.0,42007000000.0,11144000000.0,63054000000.0,21299000000.0,8264000000.0,8014000000.0,496000000.0,15433000000.0,105435014122.0093,25.485862731933597,-0.4664268916464914,0.38314047184262445
INTC,Intel,Technology,US,A-,0,2023-12-31,2023,191572000000.0,81607000000.0,105590000000.0,49266000000.0,7079000000.0,54228000000.0,11242000000.0,1640000000.0,1689000000.0,878000000.0,11471000000.0,209649198593.13965,49.58590316772461,0.9237874437603599,0.38509945211548063
INTC,Intel,Technology,US,A-,0,2024-12-31,2024,196485000000.0,91453000000.0,99270000000.0,50011000000.0,8249000000.0,53101000000.0,1203000000.0,-10176000000.0,-18756000000.0,1034000000.0,8288000000.0,85820598678.58887,19.81999969482422,-0.5798024130111057,0.5115408751376553
