,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,18774000.0,0.21,323300000.0,89400000.0,89400000.0,-352600000.0,319500000.0,1544800000.0,412700000.0,93200000.0,-443700000.0,443700000.0,-423226000.0,-352600000.0,4644000000.0,873600000.0,-79300000.0,414417797.0,414417797.0,-1.06,-0.850832,-352600000.0,-352600000.0,-352600000.0,,-352600000.0,-352600000.0,2100000.0,-350500000.0,100000000.0,-1800000.0,4300000.0,-76700000.0,0.0,72300000.0,100000.0,12400000.0,85100000.0,-443700000.0,,443700000.0,-6800000.0,3099200000.0,1679300000.0,319500000.0,319500000.0,1100400000.0,1100400000.0,226800000.0,873600000.0,,3092400000.0,1544800000.0,4637200000.0,4637200000.0
2023-12-31,-5964000.0,0.21,411400000.0,-28400000.0,-28400000.0,-396600000.0,365000000.0,1606400000.0,383000000.0,18000000.0,-411200000.0,411200000.0,-374164000.0,-396600000.0,4773500000.0,873500000.0,-74300000.0,260574392.0,260574392.0,-2.091176,-1.522022,-396600000.0,-396600000.0,-396600000.0,0.0,-396600000.0,-396600000.0,3400000.0,-393200000.0,-22100000.0,-1400000.0,-75700000.0,-33900000.0,1000000.0,106900000.0,1700000.0,7700000.0,47300000.0,-411200000.0,,411200000.0,39100000.0,3167100000.0,1686700000.0,365000000.0,365000000.0,1115400000.0,1115400000.0,241900000.0,873500000.0,1400000.0,3206200000.0,1606400000.0,4812600000.0,4812600000.0
2022-12-31,-40698000.0,0.21,-2600000.0,-193800000.0,-193800000.0,-973600000.0,396000000.0,1280300000.0,-196400000.0,-592400000.0,-378700000.0,378700000.0,-820498000.0,-973600000.0,4272500000.0,886200000.0,-522300000.0,118738086.0,118646595.0,-8.205882,-8.205882,-973600000.0,-973600000.0,-973600000.0,0.0,-973600000.0,-973600000.0,2500000.0,-971100000.0,-194800000.0,600000.0,-191200000.0,56000000.0,0.0,133100000.0,2100000.0,-1600000.0,-2600000.0,-378700000.0,,378700000.0,-361100000.0,2992200000.0,1502400000.0,396000000.0,396000000.0,1093800000.0,1093800000.0,207600000.0,886200000.0,-600000.0,2631100000.0,1280300000.0,3911400000.0,3911400000.0
2021-12-31,-690400.0,0.008,-310600000.0,-86300000.0,-86300000.0,-1269100000.0,425000000.0,745600000.0,-396900000.0,-821900000.0,-459100000.0,458100000.0,-1183490400.0,-1269100000.0,3274200000.0,828000000.0,-930000000.0,108212933.0,108143860.0,-11.735294,-11.735294,-1269100000.0,-1269100000.0,-1269100000.0,700000.0,-1269800000.0,-1269800000.0,-10200000.0,-1280000000.0,-74600000.0,700000.0,-105300000.0,14400000.0,,77200000.0,13700000.0,11000000.0,19000000.0,-459100000.0,1000000.0,458100000.0,-746300000.0,2528600000.0,1049000000.0,425000000.0,425000000.0,1054600000.0,1054600000.0,226600000.0,828000000.0,-700000.0,1782300000.0,745600000.0,2527900000.0,2527900000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,39300000.0,,,,,,,,,,,1100000.0,,,,
