,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Accrued Expenses,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-12-31,30800000.0,6084231158.0,6115031158.0,10540000000.0,77078000000.0,152795000000.0,226683000000.0,32892000000.0,152795000000.0,28702000000.0,178307000000.0,219763000000.0,180168000000.0,1861000000.0,178307000000.0,1417000000.0,803000000.0,158834000000.0,424000000.0,510000000.0,510000000.0,207441000000.0,112407000000.0,,2185000000.0,6752000000.0,,3290000000.0,13505000000.0,65448000000.0,23992000000.0,41456000000.0,21227000000.0,95034000000.0,,11630000000.0,4710000000.0,6920000000.0,,4469000000.0,54102000000.0,16248000000.0,8087000000.0,29767000000.0,387609000000.0,259683000000.0,,10003000000.0,,6857000000.0,374000000.0,2255000000.0,37000000.0,2121000000.0,97000000.0,23445000000.0,15783000000.0,7662000000.0,25512000000.0,9480000000.0,16032000000.0,185219000000.0,-245527000000.0,430746000000.0,150507000000.0,280239000000.0,127926000000.0,,9673000000.0,9857000000.0,1274000000.0,5713000000.0,23426000000.0,1602000000.0,20211000000.0,1613000000.0,8526000000.0,391000000.0,31041000000.0,-527000000.0,31568000000.0,37836000000.0,37836000000.0,,
2023-12-31,0.0,6524109049.0,6524109049.0,15518000000.0,81541000000.0,159694000000.0,240439000000.0,38648000000.0,159694000000.0,27709000000.0,186607000000.0,235151000000.0,188362000000.0,1755000000.0,186607000000.0,1308000000.0,997000000.0,165915000000.0,390000000.0,544000000.0,544000000.0,217908000000.0,122441000000.0,,2301000000.0,7549000000.0,,3103000000.0,15347000000.0,71610000000.0,23066000000.0,48544000000.0,22531000000.0,95467000000.0,,9931000000.0,4643000000.0,5288000000.0,,4041000000.0,58524000000.0,17406000000.0,6527000000.0,34591000000.0,406270000000.0,272155000000.0,,9151000000.0,,6454000000.0,801000000.0,3246000000.0,28000000.0,2890000000.0,328000000.0,24457000000.0,17382000000.0,7075000000.0,26913000000.0,10253000000.0,16660000000.0,194835000000.0,-260235000000.0,455070000000.0,160765000000.0,294305000000.0,134115000000.0,,15098000000.0,951000000.0,460000000.0,6156000000.0,26019000000.0,2108000000.0,22232000000.0,1679000000.0,10098000000.0,558000000.0,36273000000.0,-600000000.0,36873000000.0,38314000000.0,38314000000.0,32888000000.0,5886000000.0
2022-12-31,0.0,7003503393.0,7003503393.0,16062000000.0,83795000000.0,164771000000.0,246624000000.0,44627000000.0,164771000000.0,27643000000.0,190472000000.0,242004000000.0,192597000000.0,2125000000.0,190472000000.0,1140000000.0,726000000.0,169482000000.0,350000000.0,584000000.0,584000000.0,250427000000.0,129116000000.0,,3563000000.0,7296000000.0,253000000.0,3432000000.0,16186000000.0,74794000000.0,23262000000.0,51532000000.0,23845000000.0,121311000000.0,-1000000.0,9001000000.0,4381000000.0,4620000000.0,,2910000000.0,69271000000.0,18500000000.0,8139000000.0,42632000000.0,443024000000.0,277086000000.0,1000000.0,10200000000.0,2160000000.0,7815000000.0,582000000.0,3362000000.0,21000000.0,2841000000.0,500000000.0,23864000000.0,17056000000.0,6808000000.0,25701000000.0,9662000000.0,16039000000.0,198642000000.0,-236319000000.0,434961000000.0,146380000000.0,288581000000.0,165938000000.0,-1000000.0,24437000000.0,2851000000.0,156000000.0,14511000000.0,31894000000.0,2557000000.0,27823000000.0,1514000000.0,12096000000.0,363000000.0,39334000000.0,-1055000000.0,40389000000.0,40090000000.0,40090000000.0,33638000000.0,6608000000.0
2021-12-31,0.0,7684132453.0,7684132453.0,24722000000.0,89086000000.0,147272000000.0,233544000000.0,33218000000.0,147272000000.0,27507000000.0,171965000000.0,229464000000.0,175325000000.0,3360000000.0,171965000000.0,964000000.0,610000000.0,153026000000.0,293000000.0,641000000.0,641000000.0,229054000000.0,133507000000.0,1000000.0,887000000.0,11325000000.0,364000000.0,2075000000.0,12547000000.0,80868000000.0,23369000000.0,57499000000.0,25804000000.0,95547000000.0,1000000.0,8218000000.0,4138000000.0,4080000000.0,,3338000000.0,55322000000.0,14410000000.0,6776000000.0,34136000000.0,404379000000.0,275614000000.0,,8471000000.0,1520000000.0,12426000000.0,815000000.0,3797000000.0,4000000.0,3016000000.0,777000000.0,23415000000.0,15767000000.0,7648000000.0,24693000000.0,9773000000.0,14920000000.0,194932000000.0,-241837000000.0,436769000000.0,138187000000.0,298582000000.0,128765000000.0,,11369000000.0,1960000000.0,113000000.0,8975000000.0,25258000000.0,1727000000.0,22145000000.0,1386000000.0,8738000000.0,550000000.0,34717000000.0,-1031000000.0,35748000000.0,36857000000.0,36857000000.0,,
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,422000000.0,,,,,,,,-1000000.0,,,,437000000.0,,,,,,,,1000000.0,,1323000000.0,,,,,,,,,,,,,,,,,,,-1000000.0,,,,,,,,,,,,,,,,,
