,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-09-30,168840000.0,0.21,15366000000.0,804000000.0,804000000.0,8216000000.0,3158000000.0,46107000000.0,16170000000.0,13012000000.0,808000000.0,1785000000.0,2833000000.0,7580840000.0,8301000000.0,66465000000.0,1597830000.0,1577348000.0,5.19,5.265,8294000000.0,-7000000.0,8301000000.0,0.0,8301000000.0,-691000000.0,8992000000.0,85000000.0,8907000000.0,2320000000.0,11227000000.0,804000000.0,-839000000.0,35000000.0,808000000.0,240000000.0,1785000000.0,2833000000.0,9465000000.0,20358000000.0,514000000.0,6276000000.0,13984000000.0,13984000000.0,29823000000.0,46107000000.0,75930000000.0,75930000000.0
2023-09-30,546940000.0,0.23,13661000000.0,2378000000.0,2378000000.0,7946000000.0,3544000000.0,45766000000.0,16039000000.0,12495000000.0,645000000.0,1369000000.0,2402000000.0,6114940000.0,7949000000.0,65481000000.0,1602684000.0,1583076000.0,4.955,5.02,7945000000.0,-4000000.0,7949000000.0,0.0,7949000000.0,-579000000.0,8529000000.0,3000000.0,8525000000.0,2600000000.0,11126000000.0,2378000000.0,-792000000.0,-1586000000.0,645000000.0,388000000.0,1369000000.0,2402000000.0,9402000000.0,19715000000.0,447000000.0,6113000000.0,13553000000.0,13553000000.0,29117000000.0,45766000000.0,74882000000.0,74882000000.0
2022-09-30,7980000.0,0.38,11383000000.0,21000000.0,21000000.0,3744000000.0,3561000000.0,46130000000.0,11404000000.0,7843000000.0,-44000000.0,689000000.0,1632000000.0,3730980000.0,3723000000.0,64701000000.0,1619360000.0,1602676000.0,2.295,2.325,3716000000.0,-7000000.0,3723000000.0,0.0,3723000000.0,-669000000.0,4392000000.0,-21000000.0,4413000000.0,2741000000.0,7154000000.0,21000000.0,-2618000000.0,2597000000.0,-44000000.0,987000000.0,689000000.0,1632000000.0,7276000000.0,18571000000.0,285000000.0,5591000000.0,12857000000.0,12857000000.0,25847000000.0,46130000000.0,71977000000.0,71977000000.0
2021-09-30,29047091.782284,0.248266,11098000000.0,117000000.0,117000000.0,5099000000.0,3075000000.0,39527000000.0,11215000000.0,8140000000.0,1432000000.0,644000000.0,1441000000.0,5011047091.782284,6161000000.0,55845000000.0,1622980000.0,1603658000.0,3.795,3.84,6156000000.0,-5000000.0,6161000000.0,0.0,6161000000.0,-537000000.0,6697000000.0,1062000000.0,5636000000.0,1861000000.0,7496000000.0,117000000.0,-130000000.0,13000000.0,1432000000.0,-635000000.0,644000000.0,1441000000.0,6419000000.0,16318000000.0,431000000.0,4859000000.0,11191000000.0,11191000000.0,22737000000.0,39527000000.0,62265000000.0,62265000000.0
