,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Investmentsin Subsidiariesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-03-31,6853458827.0,6853458827.0,28730800000.0,37782500000.0,84092300000.0,122412900000.0,22349400000.0,122147600000.0,126300000.0,84756700000.0,38055300000.0,155233600000.0,122812000000.0,0.0,122812000000.0,16222100000.0,-14890000000.0,2208300000.0,106589900000.0,68534600000.0,38055300000.0,55044000000.0,39219500000.0,39300000.0,,1537600000.0,4681700000.0,32529900000.0,108300000.0,32421600000.0,431000000.0,15824500000.0,433100000.0,14500000.0,5252600000.0,18000000.0,5234600000.0,16800000.0,16800000.0,10107500000.0,7892800000.0,14500000.0,2214700000.0,177856000000.0,139682100000.0,3082300000.0,1231900000.0,0.0,4903200000.0,7148700000.0,4903200000.0,0.0,0.0,0.0,0.0,664400000.0,662800000.0,1600000.0,130963300000.0,-55906800000.0,186870100000.0,4005200000.0,279200000.0,161593600000.0,17011400000.0,1245100000.0,2735600000.0,38173900000.0,4900000.0,6687500000.0,6425200000.0,5825400000.0,,,5825400000.0,872700000.0,500000.0,9432300000.0,-224500000.0,9656800000.0,8925400000.0,7560700000.0,8925400000.0,7996000000.0,929400000.0
2024-03-31,6853458827.0,6853458827.0,42107500000.0,42460400000.0,76166100000.0,119038900000.0,14666900000.0,114221400000.0,42500000.0,76621000000.0,38055300000.0,150924500000.0,114676300000.0,0.0,114676300000.0,8086400000.0,-23025500000.0,2208300000.0,106589900000.0,68534600000.0,38055300000.0,58356400000.0,40479700000.0,44300000.0,,1970700000.0,1845600000.0,36266500000.0,18300000.0,36248200000.0,352600000.0,17876700000.0,433100000.0,33700000.0,6193900000.0,24200000.0,6169700000.0,55400000.0,55400000.0,11160600000.0,7543600000.0,33700000.0,3617000000.0,173032700000.0,140489100000.0,2052400000.0,1226000000.0,0.0,5247300000.0,5973400000.0,5247300000.0,0.0,0.0,0.0,0.0,454900000.0,453300000.0,1600000.0,133142300000.0,-51216700000.0,184359000000.0,3076900000.0,181000000.0,160268500000.0,16949100000.0,1147900000.0,2735600000.0,32543600000.0,2700000.0,9262000000.0,5581200000.0,5235500000.0,,,5235500000.0,287900000.0,0.0,11863900000.0,-224500000.0,12088400000.0,310400000.0,9549900000.0,310400000.0,0.0,310400000.0
2023-03-31,6853458827.0,6853458827.0,46958800000.0,47605800000.0,66011500000.0,113944900000.0,4843400000.0,104066800000.0,60900000.0,66400000000.0,38055300000.0,144371800000.0,104455300000.0,0.0,104455300000.0,-2134600000.0,,,106589900000.0,68534600000.0,38055300000.0,68616100000.0,42777700000.0,49100000.0,,2403800000.0,0.0,39954800000.0,38300000.0,39916500000.0,370000000.0,25838400000.0,433100000.0,88500000.0,7651000000.0,22600000.0,7628400000.0,51100000.0,51100000.0,14355900000.0,10160500000.0,88500000.0,4195400000.0,173071400000.0,142389600000.0,1514400000.0,1346400000.0,221600000.0,1909700000.0,2613000000.0,1909700000.0,0.0,0.0,0.0,0.0,388500000.0,386900000.0,1600000.0,137979400000.0,-46689700000.0,184669100000.0,4130100000.0,181000000.0,159603200000.0,16871300000.0,1147900000.0,2735600000.0,30681800000.0,3700000.0,1216800000.0,7848300000.0,7121900000.0,2442700000.0,,4679200000.0,2232400000.0,109000000.0,11672600000.0,,,586100000.0,3449200000.0,586100000.0,200000.0,585900000.0
2022-03-31,6853458827.0,6853458827.0,50087800000.0,50783500000.0,65836400000.0,116545300000.0,3327800000.0,103891700000.0,76300000.0,65838100000.0,38055300000.0,148406400000.0,103893400000.0,0.0,103893400000.0,38055300000.0,-33799200000.0,2208300000.0,106589900000.0,68534600000.0,38055300000.0,69571900000.0,47857900000.0,2890800000.0,400400000.0,2890800000.0,0.0,44566700000.0,53700000.0,44513000000.0,400400000.0,21714000000.0,433100000.0,71300000.0,6216800000.0,22600000.0,6194200000.0,51200000.0,51200000.0,11936700000.0,8622100000.0,71300000.0,3314600000.0,173465300000.0,148423500000.0,2152400000.0,1259800000.0,1204100000.0,2339800000.0,3091300000.0,2339800000.0,0.0,,0.0,0.0,1700000.0,100000.0,1600000.0,142300500000.0,-42078100000.0,184378600000.0,4276000000.0,181000000.0,159292700000.0,16745400000.0,1147900000.0,2735600000.0,25041800000.0,1900000.0,3313600000.0,5454000000.0,5187000000.0,500000.0,0.0,5186500000.0,1163800000.0,60800000.0,9302100000.0,0.0,9302100000.0,619400000.0,4477400000.0,619400000.0,200000.0,619200000.0
2021-03-31,,,,,,,,,,,,,,,,,-34874000000.0,2208300000.0,,,,,,,421700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500000.0,0.0,,,,,0.0,7909100000.0,,,,,
