,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Dividends Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Investments And Advances,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Other Inventories,Receivables,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-01-31,455566995.0,455566995.0,11178000000.0,19875000000.0,14035000000.0,30606000000.0,-1345000000.0,14035000000.0,3935000000.0,14666000000.0,28970000000.0,14666000000.0,14666000000.0,-458000000.0,-458000000.0,8090000000.0,6996000000.0,38000000.0,38000000.0,43103000000.0,22304000000.0,169000000.0,,592000000.0,31000000.0,338000000.0,3319000000.0,388000000.0,2303000000.0,17886000000.0,3582000000.0,14304000000.0,20799000000.0,1062000000.0,1209000000.0,1209000000.0,1989000000.0,353000000.0,1636000000.0,1636000000.0,211000000.0,16328000000.0,1723000000.0,126000000.0,14605000000.0,510000000.0,1042000000.0,334000000.0,13053000000.0,57769000000.0,38315000000.0,238000000.0,661000000.0,,631000000.0,,631000000.0,36785000000.0,-26277000000.0,63062000000.0,1185000000.0,3763000000.0,12627000000.0,38752000000.0,6735000000.0,0.0,19454000000.0,185000000.0,226000000.0,12740000000.0,-183000000.0,12923000000.0,1541000000.0,543000000.0,998000000.0,4762000000.0,,4762000000.0,4486000000.0,276000000.0
2024-01-31,461675441.0,461675441.0,12233000000.0,19646000000.0,12801000000.0,29470000000.0,-1806000000.0,12801000000.0,3608000000.0,13432000000.0,28354000000.0,13432000000.0,13432000000.0,-460000000.0,-460000000.0,7093000000.0,6761000000.0,38000000.0,38000000.0,41924000000.0,22620000000.0,181000000.0,,491000000.0,33000000.0,272000000.0,3475000000.0,419000000.0,2480000000.0,18201000000.0,3279000000.0,14922000000.0,19304000000.0,1302000000.0,1162000000.0,1162000000.0,1445000000.0,329000000.0,1116000000.0,1116000000.0,192000000.0,15203000000.0,1657000000.0,122000000.0,13546000000.0,508000000.0,940000000.0,113000000.0,12098000000.0,55356000000.0,37858000000.0,229000000.0,540000000.0,,631000000.0,,631000000.0,36458000000.0,-24413000000.0,60871000000.0,1703000000.0,3362000000.0,12193000000.0,37066000000.0,6547000000.0,0.0,17498000000.0,202000000.0,201000000.0,11886000000.0,-153000000.0,12039000000.0,1404000000.0,513000000.0,891000000.0,3805000000.0,,3805000000.0,3517000000.0,288000000.0
2023-01-31,460346947.0,460346947.0,13910000000.0,19073000000.0,10587000000.0,27371000000.0,-1654000000.0,10587000000.0,2934000000.0,11232000000.0,27241000000.0,11232000000.0,11232000000.0,-419000000.0,-419000000.0,5005000000.0,6608000000.0,38000000.0,38000000.0,42103000000.0,22603000000.0,169000000.0,,424000000.0,37000000.0,168000000.0,3195000000.0,449000000.0,2196000000.0,18647000000.0,2638000000.0,16009000000.0,19500000000.0,1492000000.0,1240000000.0,1240000000.0,426000000.0,296000000.0,130000000.0,130000000.0,173000000.0,16169000000.0,1413000000.0,94000000.0,14756000000.0,497000000.0,772000000.0,,13487000000.0,53335000000.0,35489000000.0,160000000.0,515000000.0,440000000.0,645000000.0,,,34169000000.0,-22631000000.0,56800000000.0,2688000000.0,2657000000.0,10478000000.0,34746000000.0,6231000000.0,0.0,17846000000.0,235000000.0,188000000.0,13499000000.0,,,1695000000.0,526000000.0,1169000000.0,2229000000.0,1343000000.0,2229000000.0,1943000000.0,286000000.0
2022-01-31,471274073.0,471274073.0,7809000000.0,16467000000.0,12171000000.0,26547000000.0,-174000000.0,12171000000.0,2747000000.0,12827000000.0,26376000000.0,12827000000.0,12827000000.0,-553000000.0,-553000000.0,6920000000.0,6421000000.0,39000000.0,39000000.0,40984000000.0,19237000000.0,44000000.0,77000000.0,395000000.0,45000000.0,139000000.0,2617000000.0,479000000.0,1566000000.0,16042000000.0,2493000000.0,13549000000.0,21747000000.0,1310000000.0,1202000000.0,1202000000.0,425000000.0,254000000.0,171000000.0,171000000.0,169000000.0,18641000000.0,1697000000.0,77000000.0,16944000000.0,424000000.0,1042000000.0,,15478000000.0,53811000000.0,32238000000.0,375000000.0,470000000.0,470000000.0,656000000.0,25000000.0,631000000.0,30737000000.0,-21137000000.0,51874000000.0,1257000000.0,2556000000.0,8912000000.0,32985000000.0,6164000000.0,0.0,21573000000.0,237000000.0,170000000.0,13902000000.0,,,1353000000.0,518000000.0,835000000.0,5911000000.0,4985000000.0,5911000000.0,5562000000.0,349000000.0
2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473000000.0,,,,,,450000000.0,,37000000.0,631000000.0,,,,,,,,,,,,,,,,,,,,7644000000.0,,,
