,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-4882157.0,0.287,571240000.0,-17011000.0,-17011000.0,194357000.0,157935000.0,1456481000.0,554229000.0,396294000.0,-123881000.0,123881000.0,,206485843.0,194357000.0,1858111000.0,127446000.0,371359000.0,205614000.0,204351000.0,0.95,0.95,194357000.0,194357000.0,194357000.0,194357000.0,194357000.0,78056000.0,272413000.0,7913000.0,24924000.0,-17022000.0,,,9713000.0,7309000.0,11000.0,-123881000.0,123881000.0,,388381000.0,401630000.0,-11513000.0,157935000.0,157935000.0,14701000.0,14701000.0,143234000.0,255208000.0,255208000.0,255208000.0,,790011000.0,1456481000.0,2246492000.0,2246492000.0
2023-12-31,-4769328.0,0.268,569842000.0,-17796000.0,-17796000.0,204440000.0,148567000.0,1405110000.0,552046000.0,403479000.0,-124061000.0,124061000.0,,217466672.0,204440000.0,1789873000.0,125371000.0,381984000.0,211534000.0,209486000.0,0.97,0.98,204440000.0,204440000.0,204440000.0,204440000.0,204440000.0,74978000.0,279418000.0,11774000.0,29570000.0,-7438000.0,-2283000.0,,1401000.0,8320000.0,-10358000.0,-124061000.0,124061000.0,,391705000.0,384763000.0,-13768000.0,148567000.0,148567000.0,12778000.0,12778000.0,135789000.0,249964000.0,249964000.0,249964000.0,22500000.0,776468000.0,1405110000.0,2181578000.0,2181578000.0
2022-12-31,480896.0,0.272,499864000.0,1768000.0,1768000.0,177370000.0,135808000.0,1374748000.0,501632000.0,365824000.0,-122319000.0,122319000.0,,176082896.0,177370000.0,1741852000.0,124083000.0,353314000.0,215839000.0,213766000.0,0.82,0.83,177370000.0,177370000.0,177370000.0,177370000.0,177370000.0,66135000.0,243505000.0,12171000.0,10403000.0,-339000.0,,0.0,6420000.0,-6081000.0,2107000.0,-122319000.0,122319000.0,,353653000.0,367104000.0,-23683000.0,135808000.0,135808000.0,2394000.0,2394000.0,133414000.0,254979000.0,254979000.0,254979000.0,,720757000.0,1374748000.0,2095505000.0,2095505000.0
2021-12-31,813147.702616,0.167039,470435000.0,4868000.0,4868000.0,200392000.0,125540000.0,1360342000.0,475303000.0,349763000.0,-109185000.0,109185000.0,,196337147.702616,200392000.0,1552814000.0,132411000.0,366960000.0,224405000.0,221375000.0,0.89,0.91,200392000.0,200392000.0,200392000.0,200392000.0,200392000.0,40186000.0,240578000.0,5549000.0,681000.0,4829000.0,17917000.0,0.0,2251000.0,-24997000.0,39000.0,-109185000.0,109185000.0,,344184000.0,192472000.0,-14468000.0,125540000.0,125540000.0,0.0,0.0,125540000.0,81400000.0,81400000.0,59400000.0,22000000.0,536656000.0,1360342000.0,1896998000.0,1896998000.0
2020-12-31,,,,,,,,,,,,,29067000.0,,,,,,,,,,,,,,,,,,,,,471000.0,,,,,,29067000.0,,,,,,,,,,,,,,,,
