,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Liabilities Heldfor Sale Non Current,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2025-09-30,1074000000.0,1074000000.0,9291000000.0,14811000000.0,8700000000.0,36017000000.0,16610000000.0,8700000000.0,21206000000.0,36017000000.0,21206000000.0,21206000000.0,560000000.0,560000000.0,20646000000.0,0.0,0.0,0.0,28937000000.0,19793000000.0,4911000000.0,,,71000000.0,71000000.0,14811000000.0,14811000000.0,9144000000.0,3149000000.0,358000000.0,358000000.0,,,,,5637000000.0,1839000000.0,3798000000.0,1007000000.0,1007000000.0,2791000000.0,50143000000.0,24389000000.0,6450000000.0,743000000.0,743000000.0,12506000000.0,1148000000.0,11358000000.0,4690000000.0,-9814000000.0,14504000000.0,594000000.0,154000000.0,11673000000.0,1915000000.0,168000000.0,0.0,25754000000.0,2435000000.0,,2323000000.0,6526000000.0,2205000000.0,3985000000.0,336000000.0,4315000000.0,1460000000.0,2855000000.0,10155000000.0,4635000000.0,5520000000.0
2024-09-30,1113000000.0,1113000000.0,6785000000.0,14634000000.0,14231000000.0,40908000000.0,14727000000.0,14231000000.0,26274000000.0,39544000000.0,26274000000.0,26274000000.0,587000000.0,587000000.0,25687000000.0,0.0,0.0,0.0,28880000000.0,18376000000.0,5018000000.0,0.0,,88000000.0,88000000.0,13270000000.0,13270000000.0,10504000000.0,3345000000.0,297000000.0,297000000.0,1364000000.0,1364000000.0,1364000000.0,,5498000000.0,1834000000.0,3664000000.0,1080000000.0,1080000000.0,2584000000.0,55154000000.0,29923000000.0,8053000000.0,5162000000.0,5162000000.0,12043000000.0,1244000000.0,10799000000.0,4665000000.0,-8876000000.0,13541000000.0,550000000.0,126000000.0,10808000000.0,1888000000.0,169000000.0,0.0,25231000000.0,1579000000.0,0.0,,6423000000.0,2586000000.0,3497000000.0,340000000.0,3929000000.0,1582000000.0,2347000000.0,13300000000.0,5451000000.0,7849000000.0
2023-09-30,1114000000.0,1114000000.0,6948000000.0,15398000000.0,9531000000.0,36979000000.0,12836000000.0,9531000000.0,21581000000.0,36065000000.0,21581000000.0,21581000000.0,358000000.0,358000000.0,20733000000.0,490000000.0,490000000.0,0.0,29459000000.0,19831000000.0,5210000000.0,38000000.0,1080000000.0,99000000.0,99000000.0,14484000000.0,14484000000.0,9628000000.0,3107000000.0,293000000.0,293000000.0,914000000.0,914000000.0,914000000.0,0.0,5314000000.0,1685000000.0,3629000000.0,1717000000.0,1717000000.0,1912000000.0,51040000000.0,28576000000.0,8174000000.0,3310000000.0,3310000000.0,12050000000.0,1408000000.0,10642000000.0,5042000000.0,-7668000000.0,12710000000.0,485000000.0,226000000.0,9981000000.0,1849000000.0,169000000.0,0.0,22464000000.0,1194000000.0,341000000.0,,6422000000.0,2150000000.0,4096000000.0,176000000.0,3183000000.0,1260000000.0,1923000000.0,11324000000.0,2874000000.0,8450000000.0
2022-09-30,1121000000.0,1121000000.0,12709000000.0,15482000000.0,5623000000.0,33495000000.0,8858000000.0,5623000000.0,18013000000.0,31550000000.0,18013000000.0,18013000000.0,-22000000.0,-22000000.0,17840000000.0,195000000.0,195000000.0,0.0,31001000000.0,19135000000.0,3863000000.0,119000000.0,1472000000.0,144000000.0,144000000.0,13537000000.0,13537000000.0,11866000000.0,3636000000.0,369000000.0,369000000.0,1945000000.0,1945000000.0,1446000000.0,499000000.0,5916000000.0,1486000000.0,4430000000.0,634000000.0,634000000.0,3796000000.0,49014000000.0,28290000000.0,8929000000.0,1803000000.0,1803000000.0,12390000000.0,1882000000.0,10508000000.0,5168000000.0,-6602000000.0,11770000000.0,369000000.0,330000000.0,9134000000.0,1767000000.0,170000000.0,0.0,20724000000.0,1625000000.0,733000000.0,,6341000000.0,2791000000.0,3329000000.0,221000000.0,5643000000.0,1468000000.0,4175000000.0,6382000000.0,3609000000.0,2773000000.0
2021-09-30,,,,,,,,,,,,,,,,,,,,,,0.0,1713000000.0,,,,,,,,,2044000000.0,2044000000.0,1544000000.0,500000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
