,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash From Discontinued Financing Activities,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash From Discontinued Investing Activities,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net Intangibles Purchase And Sale,Sale Of Intangibles,Purchase Of Intangibles,Capital Expenditure Reported,Operating Cash Flow,Cash From Discontinued Operating Activities,Cash Flow From Continuing Operating Activities,Taxes Refund Paid,Interest Received Cfo,Interest Paid Cfo,Change In Working Capital,Change In Other Working Capital,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations
2024-12-31,4423000000.0,-2106000000.0,-1495000000.0,2767000000.0,-797000000.0,9609000000.0,8124000000.0,333000000.0,1152000000.0,-3412000000.0,0.0,-3411000000.0,-13000000.0,-2565000000.0,-2565000000.0,-2106000000.0,-2106000000.0,1272000000.0,1272000000.0,-1495000000.0,2767000000.0,-656000000.0,0.0,-657000000.0,1000000.0,1132000000.0,7533000000.0,-6401000000.0,-1114000000.0,0.0,-1114000000.0,-675000000.0,122000000.0,-797000000.0,,5220000000.0,0.0,5218000000.0,-2277000000.0,563000000.0,-550000000.0,623000000.0,899000000.0,-632000000.0,603000000.0,603000000.0,603000000.0,-247000000.0,-1568000000.0,2385000000.0,,1614000000.0,1614000000.0,1280000000.0,1280000000.0,3150000000.0
2023-12-31,5547000000.0,-949000000.0,-4413000000.0,13000000.0,-785000000.0,8124000000.0,9008000000.0,-388000000.0,-496000000.0,-7734000000.0,24000000.0,-7757000000.0,-14000000.0,-2395000000.0,-2395000000.0,-949000000.0,-949000000.0,-4400000000.0,-4400000000.0,-4413000000.0,13000000.0,906000000.0,5510000000.0,-4604000000.0,,-2659000000.0,907000000.0,-3566000000.0,-1259000000.0,0.0,-1259000000.0,-686000000.0,99000000.0,-785000000.0,,6332000000.0,122000000.0,6211000000.0,-2161000000.0,469000000.0,-393000000.0,-27000000.0,433000000.0,-700000000.0,633000000.0,633000000.0,633000000.0,-393000000.0,-613000000.0,2220000000.0,,1741000000.0,1741000000.0,1373000000.0,1373000000.0,3601000000.0
2022-12-31,4770000000.0,-1500000000.0,-1855000000.0,158000000.0,-877000000.0,9008000000.0,8898000000.0,134000000.0,-24000000.0,-6337000000.0,-263000000.0,-6074000000.0,-12000000.0,-2865000000.0,-2865000000.0,-1500000000.0,-1500000000.0,-1697000000.0,-1697000000.0,-1855000000.0,158000000.0,667000000.0,-32000000.0,698000000.0,1000000.0,1870000000.0,4190000000.0,-2320000000.0,-390000000.0,289000000.0,-679000000.0,-782000000.0,95000000.0,-877000000.0,,5647000000.0,-29000000.0,5674000000.0,-1642000000.0,156000000.0,-244000000.0,-143000000.0,720000000.0,-1213000000.0,154000000.0,154000000.0,154000000.0,196000000.0,36000000.0,1431000000.0,,1446000000.0,1446000000.0,1569000000.0,1569000000.0,3067000000.0
2021-12-31,5522000000.0,0.0,-2327000000.0,1680000000.0,-701000000.0,8898000000.0,5311000000.0,484000000.0,3103000000.0,-56000000.0,2828000000.0,-2885000000.0,-55000000.0,-2182000000.0,-2182000000.0,0.0,0.0,-647000000.0,-647000000.0,-2327000000.0,1680000000.0,-3063000000.0,-208000000.0,-2855000000.0,-1000000.0,-1139000000.0,3229000000.0,-4368000000.0,-1104000000.0,,-1104000000.0,-612000000.0,89000000.0,-701000000.0,,6223000000.0,41000000.0,6182000000.0,-2047000000.0,56000000.0,-198000000.0,213000000.0,-68000000.0,-645000000.0,429000000.0,429000000.0,429000000.0,497000000.0,-3219000000.0,1335000000.0,,1682000000.0,1682000000.0,1537000000.0,1537000000.0,6823000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,203000000.0,,,,,-816000000.0,,,,,,,,,,,,,,,,68000000.0,,,,,
