,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Other Special Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-2938740000.0,0.21,17162000000.0,-13994000000.0,-13994000000.0,-8948000000.0,9600000000.0,13240000000.0,3168000000.0,-6432000000.0,-1947000000.0,1947000000.0,2107260000.0,-8948000000.0,42413000000.0,2027000000.0,2027000000.0,-4.41,-4.41,-8948000000.0,-8948000000.0,-8948000000.0,-15000000.0,-8933000000.0,-8933000000.0,554000000.0,-8379000000.0,-12319000000.0,1675000000.0,-14488000000.0,-15000000.0,84000000.0,47000000.0,14342000000.0,,494000000.0,-1947000000.0,1947000000.0,5887000000.0,28445000000.0,,,8872000000.0,8872000000.0,8872000000.0,8872000000.0,11159000000.0,8414000000.0,,,,,34332000000.0,13968000000.0,48300000000.0,47257000000.0
2023-12-31,-42394000.0,0.047,20268000000.0,-902000000.0,-902000000.0,8025000000.0,9760000000.0,9980000000.0,19366000000.0,9606000000.0,-1166000000.0,1166000000.0,8884606000.0,8025000000.0,36811000000.0,2078000000.0,2069000000.0,3.86,3.88,8025000000.0,8025000000.0,8025000000.0,-15000000.0,8040000000.0,8040000000.0,400000000.0,8440000000.0,1411000000.0,2313000000.0,-1191000000.0,0.0,-390000000.0,29000000.0,1552000000.0,-160000000.0,289000000.0,-1166000000.0,1166000000.0,8195000000.0,26118000000.0,,,9047000000.0,9047000000.0,9047000000.0,9047000000.0,9299000000.0,7772000000.0,,,,,34313000000.0,10693000000.0,45006000000.0,44386000000.0
2022-12-31,-388161000.0,0.177,21414000000.0,-2193000000.0,-2193000000.0,6327000000.0,10276000000.0,9456000000.0,19221000000.0,8945000000.0,-1232000000.0,1232000000.0,8131839000.0,6327000000.0,37055000000.0,2146000000.0,2130000000.0,2.95,2.97,6327000000.0,6327000000.0,6327000000.0,-18000000.0,6345000000.0,6345000000.0,1368000000.0,7713000000.0,-159000000.0,2034000000.0,-1563000000.0,211000000.0,444000000.0,0.0,1330000000.0,-801000000.0,-630000000.0,-1232000000.0,1232000000.0,9104000000.0,26918000000.0,,,9595000000.0,9595000000.0,9595000000.0,9595000000.0,9509000000.0,7814000000.0,7814000000.0,7814000000.0,7814000000.0,,36022000000.0,10137000000.0,46159000000.0,45413000000.0
2021-12-31,-123151395.406273,0.13386,21038000000.0,-920000000.0,-920000000.0,6994000000.0,10686000000.0,9277000000.0,20118000000.0,9432000000.0,-1334000000.0,1334000000.0,7790848604.593727,6994000000.0,37848000000.0,2245000000.0,2153000000.0,3.12,3.24849,6994000000.0,6994000000.0,6994000000.0,-20000000.0,7014000000.0,7014000000.0,1084000000.0,8098000000.0,895000000.0,1815000000.0,-1704000000.0,9000000.0,363000000.0,0.0,1350000000.0,745000000.0,784000000.0,-1334000000.0,1334000000.0,8537000000.0,27908000000.0,,0.0,10023000000.0,10023000000.0,10023000000.0,10023000000.0,10195000000.0,7690000000.0,7690000000.0,7675000000.0,7690000000.0,-15000000.0,36445000000.0,9940000000.0,46385000000.0,45771000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228000000.0,,,,,,530000000.0,76000000.0,,,,,,,7661000000.0,7648000000.0,7661000000.0,-13000000.0,,,,
