,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Dividend Received Cfo,Dividend Paid Cfo,Change In Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Pension And Employee Benefit Expense,Earnings Losses From Equity Investments,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2024-12-31,6739000000.0,-426000000.0,-45680000000.0,57312000000.0,-8684000000.0,23190000000.0,25110000000.0,-458000000.0,-1462000000.0,7485000000.0,7485000000.0,-327000000.0,-3118000000.0,-3118000000.0,-426000000.0,-426000000.0,11356000000.0,-276000000.0,11632000000.0,-45680000000.0,57312000000.0,-24370000000.0,-24370000000.0,-14606000000.0,-222000000.0,12346000000.0,-12568000000.0,-858000000.0,1465000000.0,-2323000000.0,-8684000000.0,15423000000.0,15423000000.0,,,1656000000.0,8425000000.0,,,27000000.0,-6796000000.0,-6796000000.0,439000000.0,511000000.0,575000000.0,,350000000.0,350000000.0,5867000000.0,5867000000.0,-1700000000.0,-1700000000.0,7567000000.0,131000000.0,149000000.0,-287000000.0,42000000.0,227000000.0,,5894000000.0
2023-12-31,6682000000.0,-335000000.0,-41965000000.0,51659000000.0,-8236000000.0,25110000000.0,25340000000.0,-104000000.0,-126000000.0,2584000000.0,2584000000.0,-241000000.0,-4995000000.0,-4995000000.0,-335000000.0,-335000000.0,8155000000.0,-1539000000.0,9694000000.0,-41965000000.0,51659000000.0,-17628000000.0,-17628000000.0,-10632000000.0,3972000000.0,12700000000.0,-8728000000.0,-2732000000.0,1000000.0,-2733000000.0,-8236000000.0,14918000000.0,14918000000.0,-33000000.0,-33000000.0,1163000000.0,9829000000.0,,,-1219000000.0,-7447000000.0,-7447000000.0,664000000.0,460000000.0,438000000.0,,-1649000000.0,-1649000000.0,6523000000.0,6523000000.0,-1167000000.0,-1167000000.0,7690000000.0,2990000000.0,3052000000.0,-33000000.0,205000000.0,-234000000.0,,4329000000.0
2022-12-31,-13000000.0,-484000000.0,-45655000000.0,45470000000.0,-6866000000.0,25340000000.0,20737000000.0,-414000000.0,5017000000.0,2511000000.0,2511000000.0,-271000000.0,-2009000000.0,-2009000000.0,-484000000.0,-484000000.0,5275000000.0,5460000000.0,-185000000.0,-45655000000.0,45470000000.0,-4347000000.0,-4347000000.0,1055000000.0,1753000000.0,19211000000.0,-17458000000.0,-289000000.0,449000000.0,-738000000.0,-6866000000.0,6853000000.0,6853000000.0,3324000000.0,,-7051000000.0,7268000000.0,,,-2576000000.0,-11743000000.0,-11743000000.0,654000000.0,336000000.0,46000000.0,32000000.0,-1910000000.0,-1910000000.0,6493000000.0,6493000000.0,-1149000000.0,-1149000000.0,7642000000.0,10437000000.0,-378000000.0,3324000000.0,7518000000.0,-27000000.0,,-2152000000.0
2021-12-31,9560000000.0,0.0,-54164000000.0,27901000000.0,-6227000000.0,20737000000.0,25935000000.0,-232000000.0,-4966000000.0,-23498000000.0,-23498000000.0,-105000000.0,-403000000.0,-403000000.0,0.0,0.0,-22990000000.0,3273000000.0,-26263000000.0,-54164000000.0,27901000000.0,2745000000.0,2745000000.0,3418000000.0,5466000000.0,33229000000.0,-27763000000.0,88000000.0,145000000.0,-57000000.0,-6227000000.0,15787000000.0,15787000000.0,116000000.0,,4701000000.0,-36000000.0,-36000000.0,-36000000.0,-1778000000.0,6515000000.0,6515000000.0,-186000000.0,305000000.0,-298000000.0,0.0,-563000000.0,-563000000.0,5960000000.0,5960000000.0,-1358000000.0,-1358000000.0,7318000000.0,-12158000000.0,-4865000000.0,-368000000.0,-9159000000.0,532000000.0,-368000000.0,17910000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000000.0,,,,6809000000.0,6809000000.0,,,,,,,23000000.0,,,,,,,,,,,,,-3446000000.0,
