,Treasury Shares Number,Preferred Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Foreign Currency Translation Adjustments,Minimum Pension Liabilities,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Dividends Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Investments And Advances,Other Investments,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,894000000.0,3484.0,2029000000.0,2923000000.0,39303000000.0,51200000000.0,-29027000000.0,65984000000.0,6006000000.0,-29027000000.0,1551000000.0,16335000000.0,63938000000.0,16388000000.0,53000000.0,16335000000.0,-1238000000.0,378000000.0,-968000000.0,-648000000.0,43655000000.0,14912000000.0,46024000000.0,292000000.0,292000000.0,0.0,76215000000.0,52441000000.0,522000000.0,400000000.0,400000000.0,1491000000.0,1055000000.0,230000000.0,369000000.0,48973000000.0,1370000000.0,47603000000.0,23774000000.0,12907000000.0,2227000000.0,181000000.0,2046000000.0,2046000000.0,1694000000.0,6946000000.0,572000000.0,572000000.0,6374000000.0,1258000000.0,1514000000.0,1514000000.0,3602000000.0,92603000000.0,62823000000.0,2123000000.0,234000000.0,4236000000.0,4236000000.0,,2508000000.0,,772000000.0,452000000.0,320000000.0,1736000000.0,45362000000.0,23643000000.0,21719000000.0,8360000000.0,-4949000000.0,13309000000.0,1525000000.0,1224000000.0,3818000000.0,6581000000.0,161000000.0,0.0,29780000000.0,1940000000.0,0.0,,2557000000.0,,,,,14424000000.0,2120000000.0,3292000000.0,9012000000.0,-945000000.0,9957000000.0,10859000000.0,513000000.0,10346000000.0
2023-12-31,902000000.0,3484.0,2021000000.0,2923000000.0,28308000000.0,41464000000.0,-19224000000.0,69202000000.0,9508000000.0,-19224000000.0,1692000000.0,29430000000.0,66083000000.0,29485000000.0,55000000.0,29430000000.0,-1546000000.0,4000000.0,-812000000.0,-738000000.0,43766000000.0,28766000000.0,45684000000.0,292000000.0,292000000.0,0.0,65674000000.0,43412000000.0,396000000.0,480000000.0,480000000.0,3288000000.0,1065000000.0,300000000.0,338000000.0,38183000000.0,1530000000.0,36653000000.0,22262000000.0,11498000000.0,3281000000.0,162000000.0,3119000000.0,3119000000.0,1291000000.0,6192000000.0,349000000.0,349000000.0,5843000000.0,1213000000.0,1371000000.0,1371000000.0,3259000000.0,95159000000.0,63389000000.0,1148000000.0,284000000.0,2768000000.0,2768000000.0,436000000.0,2499000000.0,,800000000.0,436000000.0,364000000.0,1699000000.0,48654000000.0,27485000000.0,21169000000.0,8036000000.0,-4803000000.0,12839000000.0,1075000000.0,1390000000.0,3717000000.0,6495000000.0,162000000.0,0.0,31770000000.0,1509000000.0,55000000.0,,2662000000.0,,,,,15264000000.0,2455000000.0,3927000000.0,8882000000.0,-669000000.0,9551000000.0,12280000000.0,816000000.0,11464000000.0
2022-12-31,825000000.0,3484.0,2075000000.0,2900000000.0,30197000000.0,40717000000.0,-26443000000.0,70381000000.0,5383000000.0,-26443000000.0,1397000000.0,31061000000.0,66117000000.0,31118000000.0,57000000.0,31061000000.0,-1281000000.0,232000000.0,-890000000.0,-623000000.0,38618000000.0,25503000000.0,45165000000.0,292000000.0,292000000.0,0.0,65702000000.0,43812000000.0,303000000.0,402000000.0,402000000.0,3992000000.0,2798000000.0,283000000.0,2166000000.0,36317000000.0,1261000000.0,35056000000.0,21890000000.0,10566000000.0,4400000000.0,136000000.0,4264000000.0,4264000000.0,1425000000.0,5499000000.0,321000000.0,321000000.0,5178000000.0,1196000000.0,942000000.0,942000000.0,3040000000.0,96820000000.0,69547000000.0,752000000.0,285000000.0,1344000000.0,1344000000.0,,2187000000.0,,0.0,0.0,,2187000000.0,57504000000.0,36355000000.0,21149000000.0,7475000000.0,-4164000000.0,11639000000.0,1053000000.0,1220000000.0,3284000000.0,5920000000.0,162000000.0,0.0,27273000000.0,1596000000.0,148000000.0,,2339000000.0,-484000000.0,509000000.0,1850000000.0,464000000.0,13937000000.0,2239000000.0,3547000000.0,8151000000.0,-697000000.0,8848000000.0,9253000000.0,130000000.0,9123000000.0
2021-12-31,747000000.0,3484.0,2153000000.0,2900000000.0,30574000000.0,45596000000.0,-27331000000.0,80499000000.0,11394000000.0,-27331000000.0,1043000000.0,35946000000.0,75551000000.0,36006000000.0,60000000.0,35946000000.0,-1268000000.0,180000000.0,-680000000.0,-768000000.0,31259000000.0,23820000000.0,44361000000.0,292000000.0,292000000.0,0.0,73308000000.0,51440000000.0,218000000.0,654000000.0,654000000.0,4835000000.0,5254000000.0,326000000.0,4501000000.0,40479000000.0,874000000.0,39605000000.0,21868000000.0,10109000000.0,5117000000.0,169000000.0,4948000000.0,4948000000.0,1375000000.0,5267000000.0,378000000.0,378000000.0,4889000000.0,1186000000.0,754000000.0,754000000.0,2949000000.0,109314000000.0,76052000000.0,1338000000.0,317000000.0,1439000000.0,1439000000.0,,2713000000.0,,0.0,,2713000000.0,2713000000.0,63277000000.0,42775000000.0,20502000000.0,6968000000.0,-4033000000.0,11001000000.0,764000000.0,919000000.0,3252000000.0,5897000000.0,169000000.0,0.0,33262000000.0,1290000000.0,140000000.0,,2095000000.0,-909000000.0,543000000.0,2111000000.0,350000000.0,12516000000.0,1751000000.0,2786000000.0,7979000000.0,-744000000.0,8723000000.0,17221000000.0,3242000000.0,13979000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433000000.0,,433000000.0,433000000.0,,,,,,,,,,,,,,,,,1799000000.0,,-1080000000.0,932000000.0,2015000000.0,207000000.0,,,,,,,,,
