,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Changes In Cash,Other Cash Adjustment Inside Changein Cash,Financing Cash Flow,Net Other Financing Charges,Interest Paid Cff,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Other Investing Changes,Interest Received Cfi,Dividends Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Taxes Refund Paid,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Provisionand Write Offof Assets,Depreciation And Amortization,Depreciation,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-03-31,91773600000.0,-67739400000.0,39133400000.0,,-80489200000.0,34063200000.0,13071000000.0,15757300000.0,5234900000.0,-2600000.0,-69155200000.0,1415600000.0,-25785000000.0,-13362800000.0,,,,-28606000000.0,-504600000.0,-504600000.0,,-28101400000.0,-67234800000.0,39133400000.0,-97872700000.0,24953200000.0,6105300000.0,2557600000.0,-713700000.0,27613200000.0,-713700000.0,-51513700000.0,2485400000.0,-53999100000.0,-79982000000.0,507200000.0,-80489200000.0,172262800000.0,-14650400000.0,-3704600000.0,6368800000.0,-8541600000.0,878900000.0,-373500000.0,-4509900000.0,21993200000.0,,43789300000.0,43789300000.0,-5208400000.0,7193300000.0,-83600000.0,-6032700000.0,130296200000.0
2024-03-31,76012800000.0,-60587800000.0,19297500000.0,,-74163000000.0,15757300000.0,1789900000.0,11258200000.0,2709200000.0,0.0,-78001100000.0,2646400000.0,-28085100000.0,-10796800000.0,,,,-41290300000.0,-4749700000.0,-4749700000.0,,-36540600000.0,-55838100000.0,19297500000.0,-69465500000.0,-8460200000.0,9691600000.0,2139000000.0,31908600000.0,33050500000.0,-1141900000.0,-32730300000.0,2477700000.0,-35208000000.0,-73895900000.0,267100000.0,-74163000000.0,150175800000.0,-12719200000.0,-95500000.0,5940900000.0,2974800000.0,-6203200000.0,80900000.0,-3297900000.0,21012700000.0,,38884600000.0,38884600000.0,-2857000000.0,3287900000.0,-88900000.0,0.0,100937300000.0
2023-03-31,27584600000.0,-17106900000.0,74458700000.0,0.0,-91410400000.0,11258200000.0,30576600000.0,86760500000.0,-106078900000.0,-2135100000.0,-27338000000.0,4377700000.0,-23710000000.0,-10929100000.0,,0.0,0.0,3453500000.0,-53898300000.0,,,57351800000.0,-17106900000.0,74458700000.0,-195600800000.0,5490000000.0,14610000000.0,3500000.0,4073000000.0,7279400000.0,-3206400000.0,-144307800000.0,0.0,-144307800000.0,-89372500000.0,2037900000.0,-91410400000.0,118995000000.0,-8474000000.0,-8741300000.0,4615900000.0,-5177300000.0,1327300000.0,-666600000.0,-7477400000.0,25175300000.0,,34247100000.0,34247100000.0,-2595300000.0,25277600000.0,-603200000.0,0.0,54868900000.0
2022-03-31,66064400000.0,-22931000000.0,72443100000.0,8000000000.0,-38137000000.0,86760500000.0,-338600000.0,43348100000.0,43751000000.0,-1774500000.0,-5857700000.0,-52745000000.0,-25505100000.0,-10266500000.0,,8000000000.0,8000000000.0,75275900000.0,25763800000.0,,,49512100000.0,-22931000000.0,72443100000.0,-52818200000.0,7722200000.0,18193100000.0,40100000.0,-39483300000.0,2881600000.0,-42364900000.0,-5393000000.0,1162700000.0,-6555700000.0,-38007900000.0,129100000.0,-38137000000.0,104201400000.0,-9597200000.0,7583900000.0,-3240500000.0,1266200000.0,1097400000.0,6054300000.0,2301800000.0,5245300000.0,0.0,30993000000.0,30993000000.0,-125800000.0,9179100000.0,35200000.0,-592300000.0,57171400000.0
2021-03-31,,,,0.0,,,,,,,,,,,-2300000.0,0.0,0.0,,,-63500000000.0,52000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,250000000.0,,,,,,,
