,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-81420000.0,0.118,87566000000.0,-690000000.0,-690000000.0,62360000000.0,15498000000.0,30161000000.0,86876000000.0,71378000000.0,1973000000.0,715000000.0,2517000000.0,62968580000.0,62360000000.0,95121000000.0,69380000000.0,2614000000.0,2534000000.0,23.86,24.61,62360000000.0,62360000000.0,,62360000000.0,62360000000.0,62360000000.0,8303000000.0,70663000000.0,-690000000.0,,,-690000000.0,1973000000.0,-171000000.0,715000000.0,2517000000.0,69380000000.0,64960000000.0,43873000000.0,21087000000.0,11347000000.0,9740000000.0,9740000000.0,134340000000.0,30161000000.0,164501000000.0,162779000000.0
2023-12-31,-64416000.0,0.176,59418000000.0,-366000000.0,-366000000.0,39098000000.0,11178000000.0,25959000000.0,59052000000.0,47874000000.0,1043000000.0,446000000.0,1639000000.0,39399584000.0,39098000000.0,88151000000.0,46751000000.0,2629000000.0,2574000000.0,14.87,15.19,39098000000.0,39098000000.0,,39098000000.0,39098000000.0,39098000000.0,8330000000.0,47428000000.0,-366000000.0,,,-366000000.0,1043000000.0,150000000.0,446000000.0,1639000000.0,46751000000.0,62192000000.0,38483000000.0,23709000000.0,12301000000.0,11408000000.0,11408000000.0,108943000000.0,25959000000.0,134902000000.0,133844000000.0
2022-12-31,-15795000.0,0.195,37771000000.0,-81000000.0,-81000000.0,23200000000.0,8686000000.0,25249000000.0,37690000000.0,29004000000.0,-44000000.0,185000000.0,461000000.0,23265205000.0,23200000000.0,87665000000.0,28944000000.0,2702000000.0,2687000000.0,8.59,8.63,23200000000.0,23200000000.0,,23200000000.0,23200000000.0,23200000000.0,5619000000.0,28819000000.0,-81000000.0,-320000000.0,,-81000000.0,-44000000.0,320000000.0,185000000.0,461000000.0,28944000000.0,62416000000.0,35338000000.0,27078000000.0,15262000000.0,11816000000.0,11816000000.0,91360000000.0,25249000000.0,116609000000.0,115801000000.0
2021-12-31,-23380000.0,0.167,55414000000.0,-140000000.0,-140000000.0,39370000000.0,7967000000.0,22649000000.0,55274000000.0,47307000000.0,671000000.0,23000000.0,484000000.0,39486620000.0,39370000000.0,71176000000.0,46753000000.0,2859000000.0,2815000000.0,13.77,13.99,39370000000.0,39370000000.0,,39370000000.0,39370000000.0,39370000000.0,7914000000.0,47284000000.0,-140000000.0,210000000.0,0.0,-140000000.0,671000000.0,-210000000.0,23000000.0,484000000.0,46753000000.0,48527000000.0,24655000000.0,23872000000.0,14043000000.0,9829000000.0,9829000000.0,95280000000.0,22649000000.0,117929000000.0,117208000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,-34000000.0,0.0,,,,,,,,,,,,,,,,
