,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-76033829.174664,0.244482,8809000000.0,-311000000.0,-311000000.0,3149000000.0,2928000000.0,40571000000.0,8498000000.0,5570000000.0,-676000000.0,1402000000.0,726000000.0,3383966170.825336,3149000000.0,51855000000.0,3630000000.0,5096000000.0,333200000.0,327899771.0,9.45,9.603544,3149000000.0,3149000000.0,3149000000.0,3149000000.0,3149000000.0,1019000000.0,4168000000.0,-364000000.0,-53000000.0,-112000000.0,-112000000.0,,,0.0,-199000000.0,-676000000.0,1402000000.0,726000000.0,5208000000.0,11284000000.0,9053000000.0,2231000000.0,2231000000.0,16492000000.0,40571000000.0,57063000000.0,53572000000.0
2023-12-31,-209335104.812518,0.227045,8754000000.0,-922000000.0,-922000000.0,2618000000.0,2671000000.0,38518000000.0,7832000000.0,5161000000.0,-947000000.0,1774000000.0,827000000.0,3330664895.187482,2618000000.0,48557000000.0,3273000000.0,4211000000.0,331900000.0,328018739.0,7.89,7.981251,2618000000.0,2618000000.0,2618000000.0,2618000000.0,2618000000.0,769000000.0,3387000000.0,-826000000.0,96000000.0,-949000000.0,-135000000.0,,0.0,814000000.0,27000000.0,-947000000.0,1774000000.0,827000000.0,5160000000.0,10039000000.0,8062000000.0,1977000000.0,1977000000.0,15199000000.0,38518000000.0,53717000000.0,50541000000.0
2022-12-31,-30666666.666667,0.255556,5239000000.0,-120000000.0,-120000000.0,737000000.0,2456000000.0,34315000000.0,5119000000.0,2663000000.0,-1375000000.0,1673000000.0,298000000.0,826333333.333333,737000000.0,42478000000.0,2828000000.0,2337000000.0,330100000.0,326930321.0,2.23,2.254303,737000000.0,737000000.0,737000000.0,737000000.0,737000000.0,253000000.0,990000000.0,-112000000.0,8000000.0,-140000000.0,-140000000.0,,0.0,0.0,20000000.0,-1375000000.0,1673000000.0,298000000.0,2477000000.0,8163000000.0,6628000000.0,1535000000.0,1535000000.0,10640000000.0,34315000000.0,44955000000.0,42203000000.0
2021-12-31,772964020.336332,0.231912,-1828000000.0,3333000000.0,3333000000.0,-1964000000.0,2485000000.0,23913000000.0,1505000000.0,-980000000.0,-1541000000.0,1577000000.0,36000000.0,-4524035979.663668,-1964000000.0,29023000000.0,2644000000.0,-1022000000.0,323810825.0,323810825.0,-6.1,-6.06527,-1964000000.0,-1964000000.0,-1964000000.0,-1964000000.0,-1964000000.0,-593000000.0,-2557000000.0,3373000000.0,40000000.0,3367000000.0,-119000000.0,-4021000000.0,97000000.0,438000000.0,-34000000.0,-1541000000.0,1577000000.0,36000000.0,-4389000000.0,5110000000.0,4433000000.0,677000000.0,677000000.0,721000000.0,23913000000.0,24634000000.0,22546000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3536000000.0,318000000.0,,,,,,,,,,,,,,
