,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Changes In Account Receivables,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Net Foreign Currency Exchange Gain Loss,Net Income From Continuing Operations
2025-05-31,3268000000.0,-2985000000.0,-1000000000.0,,-430000000.0,389000000.0,1226000000.0,7464000000.0,9860000000.0,1000000.0,-2397000000.0,-5820000000.0,-5820000000.0,-85000000.0,551000000.0,-2300000000.0,-2300000000.0,-2985000000.0,-2985000000.0,-1001000000.0,-1000000.0,-1000000000.0,-1000000000.0,,-275000000.0,-275000000.0,8000000.0,147000000.0,3381000000.0,-3234000000.0,-430000000.0,-430000000.0,3698000000.0,3698000000.0,-787000000.0,-426000000.0,-426000000.0,-426000000.0,-224000000.0,120000000.0,-257000000.0,-257000000.0,709000000.0,-288000000.0,-288000000.0,808000000.0,808000000.0,33000000.0,33000000.0,775000000.0,37000000.0,37000000.0,3219000000.0
2024-05-31,6617000000.0,-4250000000.0,0.0,,-812000000.0,381000000.0,1299000000.0,9860000000.0,7441000000.0,-16000000.0,2435000000.0,-5888000000.0,-5888000000.0,-136000000.0,667000000.0,-2169000000.0,-2169000000.0,-4250000000.0,-4250000000.0,0.0,0.0,0.0,0.0,,894000000.0,894000000.0,-15000000.0,1721000000.0,6488000000.0,-4767000000.0,-812000000.0,-812000000.0,7429000000.0,7429000000.0,716000000.0,397000000.0,397000000.0,397000000.0,-260000000.0,908000000.0,-329000000.0,-329000000.0,804000000.0,-497000000.0,-497000000.0,844000000.0,844000000.0,48000000.0,48000000.0,796000000.0,-138000000.0,-138000000.0,5700000000.0
2023-05-31,4872000000.0,-5480000000.0,-500000000.0,,-969000000.0,347000000.0,1517000000.0,7441000000.0,8574000000.0,-91000000.0,-1042000000.0,-7447000000.0,-7447000000.0,-102000000.0,651000000.0,-2012000000.0,-2012000000.0,-5480000000.0,-5480000000.0,-504000000.0,-4000000.0,-500000000.0,-500000000.0,,564000000.0,564000000.0,52000000.0,1481000000.0,7540000000.0,-6059000000.0,-969000000.0,-969000000.0,5841000000.0,5841000000.0,-513000000.0,-225000000.0,-225000000.0,-225000000.0,-644000000.0,-133000000.0,489000000.0,489000000.0,755000000.0,-117000000.0,-117000000.0,859000000.0,859000000.0,156000000.0,156000000.0,703000000.0,-213000000.0,-213000000.0,5070000000.0
2022-05-31,4430000000.0,-4014000000.0,0.0,0.0,-758000000.0,290000000.0,1231000000.0,8574000000.0,9889000000.0,-143000000.0,-1172000000.0,-4836000000.0,-4836000000.0,-151000000.0,1151000000.0,-1837000000.0,-1837000000.0,-4014000000.0,-4014000000.0,15000000.0,15000000.0,0.0,0.0,0.0,-1524000000.0,-1524000000.0,-19000000.0,-747000000.0,12166000000.0,-12913000000.0,-758000000.0,-758000000.0,5188000000.0,5188000000.0,-1660000000.0,1365000000.0,1365000000.0,1365000000.0,-845000000.0,-1676000000.0,-504000000.0,-504000000.0,638000000.0,-650000000.0,-650000000.0,840000000.0,840000000.0,123000000.0,123000000.0,717000000.0,-26000000.0,-26000000.0,6046000000.0
2021-05-31,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
