,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Derivative Product Liabilities,Non Current Accrued Expenses,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Non Current Deferred Taxes Assets,Financial Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Prepaid Assets,Inventory,Receivables Adjustments Allowances,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2025-03-31,6324997701.0,6324997701.0,,1272174600000.0,1272263900000.0,1272174600000.0,1272263900000.0,1272263900000.0,1275036600000.0,2772700000.0,1272263900000.0,1202165100000.0,171200000.0,63250000000.0,63250000000.0,55330648000000.0,148100000.0,32115800000.0,0.0,,,149460800000.0,33001100000.0,132500000.0,11800000.0,18316600000.0,14540200000.0,56605684600000.0,2700000.0,123300000.0,52500586000000.0,51724466500000.0,4830701200000.0,494908200000.0,494908200000.0,171732100000.0,89300000.0,89300000.0,0.0,44742500000.0,-47490200000.0,92232700000.0,3259200000.0,41472400000.0,6948200000.0,39243000000.0,1309900000.0,119441800000.0,557300000.0,-900000000.0,1072519100000.0,11501400000.0,119979100000.0,825747600000.0,281211300000.0,544536300000.0
2024-03-31,6324997701.0,6324997701.0,,827357500000.0,827468700000.0,827357500000.0,827468700000.0,827468700000.0,828996000000.0,1527300000.0,827468700000.0,757018300000.0,21000000.0,63250000000.0,63250000000.0,52331478200000.0,0.0,52342600000.0,0.0,,,149461400000.0,30115200000.0,145700000.0,4600000.0,18523900000.0,11441000000.0,53160474200000.0,3000000.0,-600000.0,49408522900000.0,48558002700000.0,4367451700000.0,415766600000.0,415766600000.0,169950200000.0,111200000.0,111200000.0,0.0,40636500000.0,-44164600000.0,84801100000.0,4025200000.0,36256500000.0,6444200000.0,36639800000.0,1435400000.0,202160300000.0,575500000.0,-1037700000.0,994088700000.0,8026700000.0,152392300000.0,796406700000.0,434753600000.0,361653100000.0
2023-03-31,6324997701.0,6324997701.0,,462174700000.0,462328700000.0,462174700000.0,462328700000.0,462328700000.0,463499700000.0,1171000000.0,462328700000.0,392175300000.0,21000000.0,63250000000.0,63250000000.0,45321413900000.0,,50402700000.0,,,,149462200000.0,29822800000.0,133600000.0,1600000.0,20260100000.0,9427500000.0,45784913600000.0,,0.0,42166823800000.0,41574088100000.0,4274422400000.0,383469900000.0,383469900000.0,169680000000.0,154000000.0,154000000.0,0.0,38213300000.0,-41430400000.0,79643700000.0,3314600000.0,34331600000.0,6064600000.0,34214000000.0,1718900000.0,237123800000.0,634000000.0,,913414700000.0,,152746900000.0,518289100000.0,209265800000.0,309023300000.0
2022-03-31,6324997701.0,6324997701.0,12885000.0,113171287000.0,113396148000.0,113171287000.0,113383263000.0,113396148000.0,114586693000.0,1203430000.0,113383263000.0,41751375000.0,21021000.0,63249977000.0,63249977000.0,42426002646000.0,,44501166000.0,,12885000.0,12885000.0,149480689000.0,26147044000.0,140922000.0,,17836953000.0,8169169000.0,42540589339000.0,,0.0,39022537564000.0,38393262577000.0,4532506742000.0,341656440000.0,341656440000.0,143980476000.0,211976000.0,211976000.0,0.0,35494819000.0,-38701137000.0,74195956000.0,1987541000.0,31484249000.0,5857587000.0,32514418000.0,2352161000.0,352142581000.0,725331000.0,,841846565000.0,,106057739000.0,619267247000.0,287618547000.0,331648700000.0
2021-03-31,,,36650000.0,,,,,,,,,,,,,,,,,36650000.0,36650000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
