,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Note Receivables,Investments And Advances,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,327899771.0,327899771.0,19887000000.0,33633000000.0,5465000000.0,41331000000.0,-4431000000.0,5465000000.0,4977000000.0,12675000000.0,37878000000.0,12675000000.0,12675000000.0,188000000.0,188000000.0,3377000000.0,6880000000.0,8980000000.0,4000000.0,4000000.0,0.0,61408000000.0,38094000000.0,1530000000.0,,1233000000.0,1233000000.0,5618000000.0,4038000000.0,1580000000.0,29713000000.0,4510000000.0,25203000000.0,23314000000.0,948000000.0,10964000000.0,10964000000.0,3920000000.0,467000000.0,3453000000.0,3453000000.0,7482000000.0,3289000000.0,4193000000.0,4193000000.0,74083000000.0,55200000000.0,,,,,1267000000.0,1267000000.0,,7210000000.0,2683000000.0,4527000000.0,46723000000.0,-25123000000.0,71846000000.0,3427000000.0,15723000000.0,18883000000.0,673000000.0,,,1572000000.0,2163000000.0,2163000000.0,,,14475000000.0,5706000000.0,8769000000.0
2023-12-31,328018739.0,328018739.0,25602000000.0,36739000000.0,2072000000.0,40984000000.0,-3716000000.0,2072000000.0,5079000000.0,9324000000.0,36737000000.0,9324000000.0,9324000000.0,-62000000.0,-62000000.0,3441000000.0,3831000000.0,8992000000.0,4000000.0,4000000.0,0.0,61780000000.0,39577000000.0,1414000000.0,,1605000000.0,1605000000.0,4642000000.0,4048000000.0,594000000.0,31916000000.0,4503000000.0,27413000000.0,22203000000.0,806000000.0,9799000000.0,9799000000.0,4823000000.0,576000000.0,4247000000.0,4247000000.0,6775000000.0,2940000000.0,3835000000.0,3835000000.0,71104000000.0,52617000000.0,245000000.0,0.0,0.0,,1636000000.0,1636000000.0,,7252000000.0,2725000000.0,4527000000.0,43729000000.0,-22710000000.0,66439000000.0,3550000000.0,14441000000.0,18487000000.0,640000000.0,31000000.0,,1561000000.0,1898000000.0,1898000000.0,-18000000.0,1916000000.0,14388000000.0,8330000000.0,6058000000.0
2022-12-31,326930321.0,326930321.0,24028000000.0,36433000000.0,-393000000.0,38090000000.0,66000000.0,-393000000.0,5239000000.0,6896000000.0,35179000000.0,6896000000.0,6896000000.0,175000000.0,175000000.0,3534000000.0,1265000000.0,8986000000.0,4000000.0,4000000.0,0.0,60462000000.0,40470000000.0,2213000000.0,844000000.0,1418000000.0,1418000000.0,3982000000.0,3982000000.0,0.0,32857000000.0,4574000000.0,28283000000.0,19992000000.0,802000000.0,10248000000.0,10248000000.0,3576000000.0,665000000.0,2911000000.0,2911000000.0,5366000000.0,1971000000.0,3395000000.0,3395000000.0,67358000000.0,47300000000.0,210000000.0,91000000.0,91000000.0,,1373000000.0,1373000000.0,,7289000000.0,2762000000.0,4527000000.0,38337000000.0,-20481000000.0,58818000000.0,2820000000.0,13223000000.0,20058000000.0,689000000.0,45000000.0,,1109000000.0,1801000000.0,1801000000.0,-11000000.0,1812000000.0,16414000000.0,9248000000.0,7166000000.0
2021-12-31,323810825.0,323810825.0,15080000000.0,39366000000.0,-2301000000.0,38392000000.0,3530000000.0,-2301000000.0,6003000000.0,5029000000.0,35390000000.0,5029000000.0,5029000000.0,-942000000.0,-942000000.0,3814000000.0,625000000.0,9156000000.0,4000000.0,4000000.0,0.0,63146000000.0,44842000000.0,2147000000.0,863000000.0,2920000000.0,2920000000.0,4043000000.0,4043000000.0,,35732000000.0,5371000000.0,30361000000.0,18304000000.0,1394000000.0,8593000000.0,8593000000.0,3634000000.0,632000000.0,3002000000.0,3002000000.0,4683000000.0,2121000000.0,2562000000.0,2562000000.0,68175000000.0,46341000000.0,213000000.0,659000000.0,659000000.0,76000000.0,1420000000.0,1420000000.0,1344000000.0,7330000000.0,2803000000.0,4527000000.0,36719000000.0,-18489000000.0,55208000000.0,2215000000.0,13409000000.0,21834000000.0,745000000.0,37000000.0,745000000.0,983000000.0,1663000000.0,1663000000.0,-28000000.0,1691000000.0,18406000000.0,123000000.0,18283000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,1140000000.0,,,,,0.0,,,,,,,,,,,,,,,,,,218000000.0,131000000.0,131000000.0,31000000.0,,,1000000000.0,,,,,,,,,,,255000000.0,635000000.0,,,,-78000000.0,1373000000.0,,,
