,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Trading Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investments In Other Ventures Under Equity Method,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-03-31,314402574.0,314402574.0,,870000000.0,953480000000.0,962399000000.0,-10463000000.0,953480000000.0,870000000.0,962399000000.0,962399000000.0,962399000000.0,,962399000000.0,960827000000.0,769044000000.0,132584000000.0,1572000000.0,1572000000.0,357319000000.0,51614000000.0,33819000000.0,33819000000.0,15944000000.0,586000000.0,586000000.0,,1260000000.0,305705000000.0,16011000000.0,284000000.0,284000000.0,0.0,15646000000.0,237335000000.0,19549000000.0,34000000.0,12737000000.0,205015000000.0,1319718000000.0,1024476000000.0,10778000000.0,4940000000.0,6000000.0,535963000000.0,582281000000.0,535963000000.0,43315000000.0,1292000000.0,20317000000.0,21706000000.0,8919000000.0,8919000000.0,413491000000.0,-365580000000.0,779071000000.0,88565000000.0,6977000000.0,532742000000.0,81581000000.0,69206000000.0,0.0,295242000000.0,2538000000.0,129000000.0,203000000.0,34000000.0,34964000000.0,69132000000.0,2306000000.0,34509000000.0,3752000000.0,28565000000.0,7634000000.0,,65397000000.0,-31000000.0,65428000000.0,115211000000.0,113366000000.0,1845000000.0,1018000000.0,827000000.0
2024-03-31,314402574.0,314402574.0,,1186000000.0,849518000000.0,856691000000.0,-33180000000.0,849518000000.0,855000000.0,856360000000.0,856360000000.0,856360000000.0,,856360000000.0,854788000000.0,664158000000.0,132584000000.0,1572000000.0,1572000000.0,297148000000.0,37630000000.0,31617000000.0,31617000000.0,3888000000.0,677000000.0,677000000.0,,1448000000.0,259518000000.0,15393000000.0,509000000.0,178000000.0,331000000.0,13119000000.0,200420000000.0,18463000000.0,43000000.0,12030000000.0,169884000000.0,1153508000000.0,927170000000.0,10024000000.0,4833000000.0,467000000.0,494081000000.0,536819000000.0,494081000000.0,39757000000.0,1201000000.0,18935000000.0,19621000000.0,6842000000.0,6842000000.0,363207000000.0,-315935000000.0,679142000000.0,89096000000.0,6010000000.0,459032000000.0,56041000000.0,68963000000.0,0.0,226338000000.0,2834000000.0,0.0,203000000.0,43000000.0,22032000000.0,53181000000.0,2183000000.0,23145000000.0,2841000000.0,25012000000.0,10081000000.0,,45968000000.0,-27000000.0,45995000000.0,91996000000.0,65401000000.0,26595000000.0,26337000000.0,258000000.0
2023-03-31,302080060.0,302080060.0,11785000000.0,12476000000.0,739634000000.0,758160000000.0,-70975000000.0,739634000000.0,318000000.0,746002000000.0,746002000000.0,746002000000.0,0.0,746002000000.0,616403000000.0,556860000000.0,132590000000.0,1572000000.0,1572000000.0,257852000000.0,30185000000.0,25850000000.0,25850000000.0,3210000000.0,250000000.0,250000000.0,,875000000.0,227667000000.0,8399000000.0,12226000000.0,68000000.0,12158000000.0,10830000000.0,162503000000.0,14121000000.0,43000000.0,11584000000.0,136755000000.0,1003854000000.0,847162000000.0,12833000000.0,4146000000.0,2794000000.0,458525000000.0,492438000000.0,458525000000.0,33318000000.0,1346000000.0,15245000000.0,16727000000.0,6368000000.0,6368000000.0,321362000000.0,-269220000000.0,590582000000.0,47430000000.0,5103000000.0,418644000000.0,51833000000.0,67572000000.0,0.0,156692000000.0,1789000000.0,2000000.0,0.0,43000000.0,12318000000.0,54435000000.0,1978000000.0,19656000000.0,2544000000.0,30257000000.0,13721000000.0,,32848000000.0,-30000000.0,32878000000.0,41536000000.0,23684000000.0,17852000000.0,17400000000.0,452000000.0
2022-03-31,302080060.0,302080060.0,3495000000.0,4255000000.0,546933000000.0,557181000000.0,-2301000000.0,546933000000.0,409000000.0,553335000000.0,553335000000.0,553335000000.0,0.0,553335000000.0,551825000000.0,492459000000.0,4241000000.0,1510000000.0,1510000000.0,193220000000.0,22985000000.0,21812000000.0,21812000000.0,0.0,329000000.0,329000000.0,0.0,844000000.0,170235000000.0,8857000000.0,3926000000.0,80000000.0,3846000000.0,8613000000.0,120649000000.0,11842000000.0,42000000.0,11113000000.0,97652000000.0,746555000000.0,578621000000.0,11433000000.0,3495000000.0,1411000000.0,349542000000.0,379721000000.0,349542000000.0,29804000000.0,1146000000.0,13296000000.0,15362000000.0,6402000000.0,6402000000.0,171086000000.0,-178786000000.0,349872000000.0,37113000000.0,8950000000.0,234048000000.0,29207000000.0,40554000000.0,0.0,167934000000.0,1936000000.0,8000000.0,,42000000.0,10858000000.0,35323000000.0,1060000000.0,10873000000.0,2299000000.0,21091000000.0,27617000000.0,,20345000000.0,-29000000.0,20374000000.0,71805000000.0,71454000000.0,351000000.0,,351000000.0
2021-03-31,,,4535000000.0,,,,,,,,,,0.0,,,,,,,,,,,,,,28000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5407000000.0,,,,,,,0.0,
