,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2025-05-31,2807000000.0,2807000000.0,81782000000.0,104104000000.0,-46343000000.0,113019000000.0,-8064000000.0,-46343000000.0,11536000000.0,20451000000.0,105748000000.0,20969000000.0,518000000.0,20451000000.0,-1175000000.0,-1175000000.0,-15481000000.0,37107000000.0,37107000000.0,0.0,147392000000.0,114749000000.0,7647000000.0,,10269000000.0,,,96833000000.0,11536000000.0,85297000000.0,32643000000.0,8629000000.0,9387000000.0,9387000000.0,7271000000.0,7271000000.0,,2243000000.0,5113000000.0,5113000000.0,5113000000.0,168361000000.0,143782000000.0,21589000000.0,11877000000.0,11877000000.0,66794000000.0,4587000000.0,62207000000.0,43522000000.0,-16032000000.0,59554000000.0,16510000000.0,30811000000.0,10881000000.0,1352000000.0,0.0,24579000000.0,4818000000.0,,8558000000.0,8558000000.0,-557000000.0,9115000000.0,11203000000.0,417000000.0,10786000000.0
2024-05-31,2755000000.0,2755000000.0,76415000000.0,93124000000.0,-60416000000.0,95573000000.0,-8990000000.0,-60416000000.0,6255000000.0,8704000000.0,84968000000.0,9239000000.0,535000000.0,8704000000.0,-1432000000.0,-1432000000.0,-22628000000.0,32764000000.0,32764000000.0,0.0,131737000000.0,100193000000.0,6857000000.0,,10817000000.0,3692000000.0,3692000000.0,82519000000.0,6255000000.0,76264000000.0,31544000000.0,7353000000.0,9313000000.0,9313000000.0,10605000000.0,10605000000.0,,1916000000.0,2357000000.0,2357000000.0,2357000000.0,140976000000.0,118422000000.0,15493000000.0,12273000000.0,12273000000.0,69120000000.0,6890000000.0,62230000000.0,21536000000.0,-13282000000.0,34818000000.0,5634000000.0,21452000000.0,6493000000.0,1239000000.0,0.0,22554000000.0,4019000000.0,,7874000000.0,7874000000.0,-485000000.0,8359000000.0,10661000000.0,207000000.0,10454000000.0
2023-05-31,2713000000.0,2713000000.0,80716000000.0,90481000000.0,-71025000000.0,91554000000.0,-2086000000.0,-71025000000.0,,1073000000.0,87493000000.0,1556000000.0,483000000.0,1073000000.0,-1522000000.0,-1522000000.0,-27620000000.0,30215000000.0,30215000000.0,0.0,132828000000.0,109738000000.0,6469000000.0,-52000000.0,11077000000.0,5772000000.0,5772000000.0,86420000000.0,,86420000000.0,23090000000.0,6802000000.0,8970000000.0,8970000000.0,4061000000.0,4061000000.0,4061000000.0,2053000000.0,1204000000.0,1204000000.0,1204000000.0,134384000000.0,113380000000.0,11987000000.0,12226000000.0,12226000000.0,72098000000.0,9837000000.0,62261000000.0,17069000000.0,-11605000000.0,28674000000.0,3846000000.0,17705000000.0,5880000000.0,1243000000.0,0.0,21004000000.0,3902000000.0,,6915000000.0,6915000000.0,-428000000.0,7343000000.0,10187000000.0,422000000.0,9765000000.0
2022-05-31,2665000000.0,2665000000.0,54499000000.0,75882000000.0,-51471000000.0,69662000000.0,12122000000.0,-51471000000.0,,-6220000000.0,65913000000.0,-5768000000.0,452000000.0,-6220000000.0,-1692000000.0,-1692000000.0,-31336000000.0,26808000000.0,26808000000.0,0.0,115065000000.0,95554000000.0,5203000000.0,-23000000.0,12210000000.0,6031000000.0,6031000000.0,72133000000.0,,72133000000.0,19511000000.0,4144000000.0,8357000000.0,8357000000.0,3749000000.0,3749000000.0,3749000000.0,1944000000.0,1317000000.0,1317000000.0,1317000000.0,109297000000.0,77664000000.0,9915000000.0,12782000000.0,12782000000.0,45251000000.0,1440000000.0,43811000000.0,9716000000.0,-9958000000.0,19674000000.0,512000000.0,13267000000.0,4729000000.0,1166000000.0,0.0,31633000000.0,3778000000.0,3778000000.0,5953000000.0,5953000000.0,-362000000.0,6315000000.0,21902000000.0,519000000.0,21383000000.0
2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,7864000000.0,7864000000.0,,,,,,,,,,8250000000.0,,,,,,,,,,,,,,,,,,,,,,,3604000000.0,,,,,,,
