,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-03-31,1458600000.0,0.26,156120000000.0,5610000000.0,5610000000.0,106490000000.0,13630000000.0,318590000000.0,161730000000.0,148100000000.0,3600000000.0,3950000000.0,7550000000.0,102338600000.0,106490000000.0,487920000000.0,530000000.0,2349760716.0,2349591262.0,45.32,45.32,106490000000.0,106490000000.0,0.0,106490000000.0,-220000000.0,106710000000.0,,,106710000000.0,37440000000.0,144150000000.0,60000000.0,3050000000.0,-6000000000.0,2950000000.0,3600000000.0,,3950000000.0,7550000000.0,134960000000.0,169330000000.0,50140000000.0,13550000000.0,250000000.0,13300000000.0,82670000000.0,82670000000.0,530000000.0,304290000000.0,318590000000.0,622880000000.0,622880000000.0
2024-03-31,668100000.0,0.262,152210000000.0,2550000000.0,2550000000.0,102770000000.0,12160000000.0,308920000000.0,154760000000.0,142600000000.0,2120000000.0,3340000000.0,5460000000.0,100888100000.0,102770000000.0,475190000000.0,810000000.0,2349591262.0,2349591262.0,43.74,43.74,102770000000.0,102770000000.0,0.0,102770000000.0,-50000000.0,102820000000.0,,,102820000000.0,36440000000.0,139260000000.0,130000000.0,60000000.0,20000000.0,-80000000.0,2120000000.0,,3340000000.0,5460000000.0,134470000000.0,166270000000.0,47570000000.0,12160000000.0,250000000.0,11910000000.0,84940000000.0,84940000000.0,810000000.0,300740000000.0,308920000000.0,609660000000.0,609660000000.0
2023-03-31,83650000.0,0.239,145750000000.0,350000000.0,350000000.0,101200000000.0,11520000000.0,327190000000.0,146100000000.0,134580000000.0,2970000000.0,1140000000.0,4110000000.0,100933650000.0,101200000000.0,465390000000.0,790000000.0,2349591262.0,2349591262.0,43.07,43.07,101200000000.0,101200000000.0,0.0,101200000000.0,-230000000.0,101430000000.0,0.0,-10000000.0,101430000000.0,32010000000.0,133440000000.0,5120000000.0,-640000000.0,-1730000000.0,2370000000.0,2970000000.0,,1140000000.0,4110000000.0,130100000000.0,138200000000.0,39010000000.0,11380000000.0,240000000.0,11140000000.0,68790000000.0,68790000000.0,790000000.0,268300000000.0,327190000000.0,595490000000.0,595490000000.0
2022-03-31,37350000.0,0.249,130710000000.0,150000000.0,150000000.0,88740000000.0,11060000000.0,265870000000.0,130860000000.0,119800000000.0,920000000.0,1060000000.0,1980000000.0,88627350000.0,88770000000.0,397820000000.0,820000000.0,2349591262.0,2349587637.0,37.79,37.79,88790000000.0,88790000000.0,0.0,88790000000.0,-130000000.0,88920000000.0,20000000.0,30000000.0,88870000000.0,29870000000.0,118740000000.0,2580000000.0,-440000000.0,-1690000000.0,2130000000.0,920000000.0,20000000.0,1060000000.0,1980000000.0,117660000000.0,131950000000.0,37570000000.0,10910000000.0,260000000.0,10650000000.0,66180000000.0,66180000000.0,820000000.0,249610000000.0,265870000000.0,515480000000.0,515480000000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-10000000.0,,,,,,,,,,,,,,,,,,,,,,,,
