,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Insurance And Claims,Rent And Landing Fees,Salaries And Wages,Total Revenue,Operating Revenue,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense
2025-03-31,111086481.0,0.253,0.0,439077000.0,510291955000.0,26903750000.0,973038112000.0,890276529000.0,1863314700000.0,510292000000.0,510291955000.0,,7173067191.0,7047258666.0,71.14,72.41,509874000000.0,-418000000.0,510291955000.0,510291955000.0,-35401801000.0,545693565000.0,,545693565000.0,184348300000.0,730041865000.0,439077000.0,-439077000.0,,26273160000.0,,26273160000.0,552972889000.0,52494869000.0,974361200000.0,,241165358000.0,,236508575000.0,2047152637000.0,2047152637000.0,38200665000.0,,658084121000.0
2024-03-31,36167343.0,0.251,144093000.0,144093000.0,442563735000.0,19958856000.0,854077625000.0,741081627000.0,1595159252000.0,442455809343.0,442563735000.0,17054394000.0,7142732408.0,7003698370.0,61.96,63.19,441875400000.0,-688300000.0,442563735000.0,442563735000.0,-18241392000.0,460805103000.0,,460805103000.0,154276200000.0,615081303000.0,144093000.0,-144093000.0,30822095000.0,19352106000.0,19352106000.0,19352106000.0,370325892000.0,66279545000.0,304046347000.0,,95126170000.0,17054394000.0,191865783000.0,1612101952000.0,1612101952000.0,36171827000.0,1759687000.0,570657210000.0
2023-03-31,162773700.0,0.3,542579000.0,542579000.0,340366408000.0,16351038000.0,705234219000.0,505433879000.0,1210668098000.0,339986602700.0,340366408000.0,15846567000.0,7114682274.0,6966156365.0,47.84,48.86,340366408000.0,,340366408000.0,340366408000.0,-14246738000.0,354613146000.0,0.0,354613146000.0,117934400000.0,354613146000.0,542579000.0,-542579000.0,-2504473000.0,15145592000.0,15145592000.0,15145592000.0,301948279000.0,65407090000.0,236541189000.0,10188362000.0,68215530000.0,15846567000.0,152479092000.0,1355811552000.0,1355811552000.0,34644161000.0,2020560000.0,470631640000.0
2022-03-31,16990500.0,0.3,56635000.0,56635000.0,251100960000.0,14699244000.0,542401943000.0,411666711000.0,954068654000.0,251061315500.0,251100960000.0,14085917000.0,7085242664.0,6934576084.0,35.44,36.21,251100960000.0,,251100960000.0,251100960000.0,-14281645000.0,265382605000.0,0.0,265382605000.0,84574400000.0,265382605000.0,56635000.0,-56635000.0,25126881000.0,13300074000.0,13300074000.0,13300074000.0,258700517000.0,49011460000.0,209689057000.0,9324939000.0,72063619000.0,14085917000.0,123539521000.0,1163639822000.0,1163639822000.0,26994748000.0,1926738000.0,430595198000.0
2021-03-31,,,,,,,,,,,,13829516000.0,,,,,,,,,,,0.0,,,,,,79823949000.0,,13400744000.0,,,,,7951883000.0,,13829516000.0,,,,,2372867000.0,
