,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-03-31,38317920.205191,0.262812,45967400000.0,145800000.0,145800000.0,27080200000.0,8695200000.0,505855500000.0,46113200000.0,37418000000.0,183800000.0,691300000.0,878300000.0,26972717920.205193,27080200000.0,556081600000.0,120000000.0,652318596.0,650733068.0,41.5,41.61,27080200000.0,27080200000.0,0.0,27080200000.0,5700000.0,27074500000.0,27074500000.0,9652200000.0,36726700000.0,104700000.0,-71800000.0,71800000.0,183800000.0,3200000.0,691300000.0,878300000.0,36249900000.0,50226100000.0,15578300000.0,8695200000.0,82000000.0,8613200000.0,461300000.0,461300000.0,120000000.0,86476000000.0,505855500000.0,592331500000.0,592331500000.0
2024-03-31,67503453.296854,0.267446,42247900000.0,252400000.0,252400000.0,25361700000.0,7307600000.0,433061700000.0,42500300000.0,35192700000.0,493300000.0,579400000.0,1074600000.0,25176803453.296852,25361700000.0,473257900000.0,99800000.0,651536951.0,650437695.0,38.93,38.99,25361700000.0,25361700000.0,0.0,25361700000.0,5600000.0,25356100000.0,25356100000.0,9257200000.0,34613300000.0,92700000.0,-18700000.0,18700000.0,493300000.0,1900000.0,579400000.0,1074600000.0,33748800000.0,40196200000.0,13174400000.0,7307600000.0,67900000.0,7239700000.0,338400000.0,338400000.0,99800000.0,73945000000.0,433061700000.0,507006700000.0,507006700000.0
2023-03-31,15795638.363578,0.222788,37589600000.0,70900000.0,70900000.0,23785100000.0,6388700000.0,364139100000.0,37660500000.0,31271800000.0,401500000.0,670900000.0,1075600000.0,23729995638.36358,23785100000.0,397354800000.0,39300000.0,651758267.0,647780053.0,36.49,36.72,23785100000.0,23785100000.0,0.0,23785100000.0,1700000.0,23783400000.0,23783400000.0,6817500000.0,30600900000.0,67900000.0,-17400000.0,17400000.0,401500000.0,3200000.0,670900000.0,1075600000.0,29999000000.0,33215700000.0,10581600000.0,6388700000.0,60000000.0,6328700000.0,313800000.0,313800000.0,39300000.0,63214700000.0,364139100000.0,427353800000.0,427353800000.0
2022-03-31,-526262.039029,0.27698,26160000000.0,-1900000.0,-1900000.0,14925500000.0,4980800000.0,264242000000.0,26158100000.0,21177300000.0,501700000.0,536100000.0,1039600000.0,14926873737.960972,14925500000.0,288809400000.0,15000000.0,652893283.0,647774691.0,22.86,23.04,14925500000.0,14925500000.0,0.0,14925500000.0,1500000.0,14924000000.0,14924000000.0,5717200000.0,20641200000.0,71700000.0,-38500000.0,38500000.0,501700000.0,1800000.0,536100000.0,1039600000.0,20042700000.0,24567400000.0,7238100000.0,4980800000.0,187000000.0,4793800000.0,271200000.0,271200000.0,15000000.0,44610100000.0,264242000000.0,308852100000.0,308852100000.0
