,Treasury Shares Number,Preferred Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Liabilities Heldfor Sale Non Current,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Receivables,Receivables Adjustments Allowances,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,6491000.0,4561000.0,53069000.0,59560000.0,32665000.0,126326000.0,187603000.0,2646000.0,126326000.0,7794000.0,162732000.0,162732000.0,162732000.0,,162732000.0,0.0,,169676000.0,-740466000.0,1072869000.0,5000.0,5000.0,0.0,239222000.0,14361000.0,-349000.0,0.0,3675000.0,4583000.0,4583000.0,6452000.0,6452000.0,,224861000.0,,43095000.0,43095000.0,26213000.0,1342000.0,24871000.0,24871000.0,8345000.0,9526000.0,137682000.0,36795000.0,100887000.0,6205000.0,94682000.0,401954000.0,174447000.0,412000.0,3242000.0,,,103985000.0,25799000.0,14814000.0,10985000.0,78186000.0,,36406000.0,30246000.0,6160000.0,30402000.0,-184025000.0,214427000.0,1466000.0,6858000.0,206103000.0,,,0.0,227507000.0,1876000.0,,26924000.0,12145000.0,11546000.0,15847000.0,-2236000.0,3187000.0,14896000.0,159169000.0,,159169000.0
2023-12-31,6356000.0,4561000.0,45414000.0,51770000.0,3754000.0,327718000.0,359132000.0,117678000.0,327718000.0,3754000.0,359132000.0,359132000.0,359132000.0,0.0,359132000.0,-506000.0,-506000.0,166345000.0,-481671000.0,1007649000.0,5000.0,5000.0,0.0,276686000.0,44291000.0,-160000.0,34244000.0,3684000.0,5583000.0,5583000.0,940000.0,940000.0,,232395000.0,232000.0,49597000.0,49597000.0,2814000.0,2814000.0,,,12912000.0,8651000.0,158189000.0,34006000.0,124183000.0,7034000.0,117149000.0,635818000.0,285745000.0,55181000.0,1748000.0,152000.0,152000.0,166357000.0,10484000.0,0.0,10484000.0,155873000.0,,31414000.0,25254000.0,6160000.0,31045000.0,-234345000.0,265390000.0,1795000.0,3468000.0,260127000.0,,,0.0,350073000.0,2376000.0,,144000.0,12488000.0,13040000.0,19420000.0,-1298000.0,4553000.0,16165000.0,302605000.0,,302605000.0
2022-12-31,6151000.0,4561000.0,44951000.0,51102000.0,8036000.0,639657000.0,645826000.0,223367000.0,639657000.0,8036000.0,645826000.0,645826000.0,645826000.0,0.0,645826000.0,-522000.0,-522000.0,162546000.0,-173829000.0,982718000.0,5000.0,5000.0,0.0,232720000.0,41578000.0,-56000.0,34476000.0,3532000.0,0.0,0.0,3626000.0,3626000.0,34476000.0,191142000.0,3508000.0,44480000.0,44480000.0,4410000.0,4410000.0,,,12018000.0,10222000.0,116504000.0,21743000.0,94761000.0,5288000.0,89473000.0,878546000.0,464037000.0,83802000.0,1827000.0,41439000.0,41439000.0,296317000.0,0.0,,296317000.0,296317000.0,296317000.0,6169000.0,9000.0,6160000.0,34483000.0,-228671000.0,263154000.0,2904000.0,7460000.0,252790000.0,79141000.0,19841000.0,0.0,414509000.0,5467000.0,,194000.0,13366000.0,6526000.0,17693000.0,-3223000.0,4561000.0,16355000.0,371263000.0,,371263000.0
2021-12-31,3602000.0,4561000.0,43023000.0,46625000.0,51346000.0,738226000.0,782370000.0,279457000.0,738226000.0,13362000.0,744386000.0,782370000.0,744386000.0,0.0,744386000.0,-537000.0,-537000.0,79035000.0,-136590000.0,960544000.0,4000.0,4000.0,0.0,321580000.0,49247000.0,3303000.0,0.0,,,,45944000.0,7960000.0,37984000.0,272333000.0,3349000.0,59387000.0,59387000.0,5402000.0,5402000.0,,,21910000.0,13923000.0,168362000.0,31742000.0,136620000.0,8756000.0,127864000.0,1065966000.0,514176000.0,3236000.0,,40035000.0,40035000.0,342682000.0,342682000.0,,342682000.0,342682000.0,342682000.0,6160000.0,,6160000.0,122063000.0,-229353000.0,351416000.0,2601000.0,12584000.0,237323000.0,79102000.0,19806000.0,0.0,551790000.0,5071000.0,0.0,25000.0,17026000.0,5137000.0,21190000.0,-2429000.0,2970000.0,20649000.0,503341000.0,,503341000.0
2020-12-31,,,,,,,,,,,,,,62634000.0,,,-553000.0,,,,,,,,,,,,,,,,41334000.0,,16859000.0,,,,,,,,,,,,,,,,,,37000.0,37000.0,,,,,,1412000.0,,13997000.0,,,,,,,,79038000.0,19791000.0,,,,34129000.0,,,,,,,,,1762000.0,
