,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Insurance And Claims,Rent And Landing Fees,Total Revenue,Operating Revenue
2025-03-31,-41728006.748931,0.257115,-162293000.0,-162293000.0,775613371000.0,39914767000.0,1899944498000.0,3009433353000.0,4909377851000.0,775733935993.2511,775613371000.0,8924617147.0,8924617147.0,86.91,86.91,775613371000.0,775613371000.0,775613371000.0,-29612882000.0,805226244000.0,0.0,805226244000.0,273481400000.0,1063652935000.0,-162293000.0,162293000.0,174590223000.0,2328766437000.0,352038868000.0,39914767000.0,39914767000.0,47839189000.0,37419792000.0,10419397000.0,1116938615000.0,67925712000.0,3495234156000.0,3495234156000.0
2024-03-31,-63819520.14808,0.253198,-252054000.0,-252054000.0,670846661000.0,38491245000.0,1794524642000.0,2597360481000.0,4391885123000.0,671034895479.8519,670846661000.0,8924611934.0,8924611934.0,75.17,75.17,670846661000.0,670846661000.0,670846661000.0,-24587491000.0,695434219000.0,0.0,695434219000.0,231017800000.0,912400476000.0,-252054000.0,252054000.0,137828728000.0,2288145880000.0,282213147000.0,38491245000.0,38491245000.0,44226864000.0,34490995000.0,9735869000.0,1020886893000.0,65461669000.0,3236135037000.0,3236135037000.0
2023-03-31,-72542383.86833,0.249874,-290316000.0,-290316000.0,556481728000.0,36955986000.0,1608637634000.0,1899808167000.0,3508445801000.0,556699501616.1317,556481728000.0,8924611707.0,8924611707.0,62.35,62.35,556481728000.0,556481728000.0,556481728000.0,-21017092000.0,577498807000.0,0.0,577498807000.0,188401300000.0,753985586000.0,-290316000.0,290316000.0,2354761000.0,1861696085000.0,266484524000.0,36955986000.0,36955986000.0,42205328000.0,34192691000.0,8012637000.0,835678715000.0,61030583000.0,2703369068000.0,2703369068000.0
2022-03-31,-44137774.290276,0.269056,-164047000.0,-164047000.0,353738798000.0,36912700000.0,1337783419000.0,1561943441000.0,2899726860000.0,353858707225.7097,353738798000.0,8924611534.0,8924611534.0,39.64,39.64,353738798000.0,353738798000.0,353738798000.0,-18093049000.0,371831831000.0,0.0,371831831000.0,133824600000.0,497386298000.0,-164047000.0,164047000.0,59299092000.0,1741951087000.0,254053816000.0,36912700000.0,36912700000.0,34260654000.0,26939263000.0,7321391000.0,745067008000.0,57077368000.0,2360910738000.0,2360910738000.0
