,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Current Notes Payable,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investments And Advances,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents
2024-12-31,81753488.0,4209680158.0,4291433646.0,139820000000.0,168357000000.0,-91346000000.0,243251000000.0,-24248000000.0,-91346000000.0,24343000000.0,99237000000.0,220618000000.0,100575000000.0,1338000000.0,99237000000.0,738000000.0,-923000000.0,-923000000.0,3583000000.0,89110000000.0,13466000000.0,429000000.0,429000000.0,0.0,284136000000.0,219365000000.0,19327000000.0,11997000000.0,46732000000.0,46732000000.0,141309000000.0,19928000000.0,121381000000.0,64771000000.0,3979000000.0,7492000000.0,7492000000.0,27048000000.0,4415000000.0,22633000000.0,22633000000.0,,,26252000000.0,11047000000.0,1553000000.0,15205000000.0,2878000000.0,1902000000.0,10425000000.0,384711000000.0,344188000000.0,19769000000.0,842000000.0,842000000.0,,190583000000.0,167742000000.0,22841000000.0,132994000000.0,-222884000000.0,355878000000.0,10562000000.0,9424000000.0,107282000000.0,188740000000.0,39130000000.0,740000000.0,0.0,40523000000.0,1793000000.0,2118000000.0,2932000000.0,319000000.0,811000000.0,2247000000.0,26109000000.0,26109000000.0,-1152000000.0,27261000000.0,4194000000.0,4194000000.0
2023-12-31,87172997.0,4204260649.0,4291433646.0,148609000000.0,174942000000.0,-97137000000.0,243104000000.0,-16409000000.0,-97137000000.0,24268000000.0,92430000000.0,230131000000.0,93799000000.0,1369000000.0,92430000000.0,656000000.0,-1380000000.0,-1380000000.0,3821000000.0,82915000000.0,13631000000.0,429000000.0,429000000.0,0.0,286456000000.0,233233000000.0,16560000000.0,13189000000.0,45781000000.0,45781000000.0,157703000000.0,20002000000.0,137701000000.0,53223000000.0,2755000000.0,6955000000.0,6955000000.0,17239000000.0,4266000000.0,12973000000.0,12973000000.0,0.0,,26274000000.0,10820000000.0,1570000000.0,15454000000.0,2821000000.0,2612000000.0,10021000000.0,380255000000.0,343441000000.0,19885000000.0,953000000.0,953000000.0,,189567000000.0,166724000000.0,22843000000.0,133036000000.0,-211798000000.0,344834000000.0,10355000000.0,12092000000.0,103081000000.0,181615000000.0,36940000000.0,751000000.0,0.0,36814000000.0,1651000000.0,1406000000.0,2756000000.0,1244000000.0,550000000.0,2057000000.0,25085000000.0,25085000000.0,-1017000000.0,26102000000.0,2065000000.0,2065000000.0
2022-12-31,91572258.0,4199861388.0,4291433646.0,148034000000.0,176331000000.0,-98784000000.0,241783000000.0,-12314000000.0,-98784000000.0,25692000000.0,91144000000.0,231820000000.0,92463000000.0,1319000000.0,91144000000.0,793000000.0,-1865000000.0,-1865000000.0,4013000000.0,82380000000.0,13420000000.0,429000000.0,429000000.0,0.0,287217000000.0,237046000000.0,18397000000.0,12974000000.0,43441000000.0,43441000000.0,162234000000.0,21558000000.0,140676000000.0,50171000000.0,2750000000.0,6583000000.0,6583000000.0,14097000000.0,4134000000.0,9963000000.0,9813000000.0,150000000.0,,26741000000.0,13351000000.0,1577000000.0,13390000000.0,2764000000.0,1876000000.0,8750000000.0,379680000000.0,341823000000.0,17260000000.0,1071000000.0,1071000000.0,,189928000000.0,161257000000.0,28671000000.0,133564000000.0,-200255000000.0,333819000000.0,10159000000.0,12889000000.0,101752000000.0,172890000000.0,35382000000.0,747000000.0,0.0,37857000000.0,1933000000.0,2286000000.0,2629000000.0,1343000000.0,167000000.0,2388000000.0,24506000000.0,24506000000.0,-826000000.0,25332000000.0,2605000000.0,2605000000.0
2021-12-31,93634725.0,4197798921.0,4291433646.0,147947000000.0,177930000000.0,-106109000000.0,232658000000.0,-10432000000.0,-106109000000.0,27062000000.0,81790000000.0,225215000000.0,83200000000.0,1410000000.0,81790000000.0,538000000.0,-927000000.0,-927000000.0,4104000000.0,71993000000.0,13861000000.0,429000000.0,429000000.0,0.0,283396000000.0,236236000000.0,13513000000.0,15410000000.0,40685000000.0,40685000000.0,166628000000.0,23203000000.0,143425000000.0,47160000000.0,2263000000.0,6053000000.0,6053000000.0,11302000000.0,3859000000.0,7443000000.0,7443000000.0,,,27542000000.0,15169000000.0,1561000000.0,12373000000.0,2709000000.0,1624000000.0,8040000000.0,366596000000.0,329868000000.0,13329000000.0,1061000000.0,1061000000.0,,187899000000.0,159296000000.0,28603000000.0,127579000000.0,-190201000000.0,317780000000.0,9587000000.0,13057000000.0,97616000000.0,163486000000.0,33361000000.0,673000000.0,0.0,36728000000.0,2266000000.0,21000000.0,2432000000.0,1094000000.0,1093000000.0,3055000000.0,23846000000.0,23846000000.0,-896000000.0,24742000000.0,2921000000.0,2921000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320000000.0,,,,,,,,,,,,,589000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
