,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-03-31,12514119781.0,12514119781.0,2848400000.0,664050700000.0,701216100000.0,295591700000.0,664050700000.0,1932800000.0,700300500000.0,700300500000.0,703979400000.0,3678900000.0,700300500000.0,4227600000.0,490101400000.0,158486800000.0,12514100000.0,12514100000.0,176927400000.0,33586300000.0,345100000.0,,345100000.0,25824600000.0,1372100000.0,1372100000.0,0.0,3031100000.0,143341100000.0,48840900000.0,,1476300000.0,560700000.0,915600000.0,,800600000.0,62981500000.0,19200000.0,2592800000.0,12296500000.0,48073000000.0,880906800000.0,441974000000.0,10159300000.0,12134000000.0,879800000.0,149970800000.0,149970800000.0,,47117800000.0,3224000000.0,36249800000.0,27280500000.0,8969300000.0,191718700000.0,-110374100000.0,302092800000.0,11610900000.0,319700000.0,198784400000.0,75501700000.0,15876100000.0,0.0,438932800000.0,13718500000.0,2648400000.0,15938300000.0,158361400000.0,3029000000.0,39286900000.0,4146000000.0,111899500000.0,14437800000.0,47196700000.0,-1761300000.0,48958000000.0,200350200000.0,194150200000.0,6200000000.0,2026000000.0,4174000000.0
2024-03-31,12484721471.0,12484721471.0,3037300000.0,710395200000.0,745185800000.0,273751400000.0,710395200000.0,2921500000.0,745070000000.0,745087600000.0,748899700000.0,3829700000.0,745070000000.0,5075100000.0,361725700000.0,148278500000.0,12484700000.0,12484700000.0,169361900000.0,32457900000.0,1497200000.0,,1497200000.0,21414400000.0,2323700000.0,2306100000.0,17600000.0,2883000000.0,136904000000.0,47085500000.0,,713600000.0,615400000.0,98200000.0,1069100000.0,1069100000.0,59919100000.0,20100000.0,2511900000.0,9408800000.0,47978300000.0,918261600000.0,507606200000.0,13798600000.0,11647000000.0,721900000.0,179495200000.0,179495200000.0,1574800000.0,5497300000.0,3409300000.0,34674800000.0,26877500000.0,7797300000.0,271647600000.0,-118208000000.0,389855600000.0,31433100000.0,418300000.0,219914900000.0,109435100000.0,28654200000.0,0.0,410655400000.0,13831900000.0,2689400000.0,12002900000.0,143028800000.0,2457300000.0,33457000000.0,13347200000.0,93767300000.0,13744500000.0,40258200000.0,-1881300000.0,42139500000.0,198931600000.0,192672700000.0,6258900000.0,1386600000.0,4872300000.0
2023-03-31,12428017741.0,12428017741.0,3063400000.0,656296200000.0,691943700000.0,259314800000.0,656296200000.0,2672300000.0,691552600000.0,691587500000.0,695387900000.0,3835300000.0,691552600000.0,7414500000.0,353402300000.0,130506900000.0,12428000000.0,12428000000.0,163441900000.0,26047800000.0,828400000.0,2589200000.0,828400000.0,16290000000.0,2168600000.0,2133700000.0,34900000.0,2592100000.0,137394100000.0,42765100000.0,,894800000.0,538600000.0,356200000.0,1005600000.0,1005600000.0,58120700000.0,23900000.0,2390700000.0,9116200000.0,46589900000.0,858829800000.0,462120900000.0,13119500000.0,26802000000.0,520200000.0,139886400000.0,138338700000.0,1547700000.0,3375900000.0,3522600000.0,35256400000.0,27459100000.0,7797300000.0,252012300000.0,-103411900000.0,355424200000.0,32092700000.0,486300000.0,196655600000.0,97894500000.0,28295100000.0,0.0,396708900000.0,15617500000.0,2394300000.0,13668200000.0,119141300000.0,2580600000.0,30290100000.0,9610800000.0,76659800000.0,13207200000.0,29561700000.0,-1975500000.0,31537200000.0,218736200000.0,214102700000.0,4633500000.0,50800000.0,4582700000.0
2022-03-31,12323255931.0,12323255931.0,2497400000.0,596356500000.0,624614600000.0,220687400000.0,596356500000.0,2438500000.0,624555700000.0,624604200000.0,628218700000.0,3663000000.0,624555700000.0,13162300000.0,312920300000.0,99595300000.0,12323300000.0,12323300000.0,144376800000.0,22739700000.0,364300000.0,2207600000.0,364300000.0,16734700000.0,1985200000.0,1936700000.0,48500000.0,2900000.0,121637100000.0,38378600000.0,,512200000.0,501800000.0,10400000.0,795600000.0,795600000.0,53302100000.0,17300000.0,2241300000.0,6870900000.0,44172600000.0,772595500000.0,430271000000.0,12912200000.0,26573800000.0,635300000.0,123223900000.0,123223900000.0,,2692400000.0,3642000000.0,28199200000.0,20401900000.0,7797300000.0,244766300000.0,-88981400000.0,333747700000.0,34020700000.0,486300000.0,179951800000.0,90997500000.0,28291400000.0,0.0,342324500000.0,13060800000.0,2244900000.0,26634000000.0,109735900000.0,1893300000.0,29759700000.0,7324100000.0,70758800000.0,12148600000.0,24619000000.0,-1968700000.0,26587700000.0,166942100000.0,164228400000.0,2713700000.0,31200000.0,2682500000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,1872100000.0,,,,,,,,,3500000.0,,,,1940100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
