,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-03-31,208908931000.0,0.253,7924202000000.0,825727000000.0,825727000000.0,4765086000000.0,2251233000000.0,38458666000000.0,8749929000000.0,6498696000000.0,245554000000.0,84106000000.0,364628000000.0,4148267931000.0,4765086000000.0,43241118000000.0,4795586000000.0,1325245600.0,1325245600.0,3595.6,3595.6,4765086000000.0,,4765086000000.0,,4765086000000.0,-24670000000.0,4789755000000.0,4789755000000.0,1624835000000.0,6414590000000.0,1373449000000.0,-43497000000.0,591219000000.0,825727000000.0,245554000000.0,34968000000.0,84106000000.0,364628000000.0,4795586000000.0,4782452000000.0,4782452000000.0,9578038000000.0,38458666000000.0,48036704000000.0,48036704000000.0
2024-03-31,85610912000.0,0.272,8802138000000.0,314746000000.0,314746000000.0,4944933000000.0,2087066000000.0,35727007000000.0,9116884000000.0,7029818000000.0,516350000000.0,64733000000.0,454688000000.0,4715797912000.0,4944933000000.0,39742390000000.0,5352934000000.0,1351284800.0,1351284800.0,3659.4,3659.4,4944933000000.0,0.0,4944933000000.0,,4944933000000.0,-126488000000.0,5071421000000.0,5071421000000.0,1893665000000.0,6965085000000.0,1095801000000.0,17918000000.0,763137000000.0,314746000000.0,516350000000.0,-126395000000.0,64733000000.0,454688000000.0,5352935000000.0,4015383000000.0,4015383000000.0,9368318000000.0,35727007000000.0,45095325000000.0,45095325000000.0
2023-03-31,74823680000.0,0.32,5522169000000.0,233824000000.0,233824000000.0,2451318000000.0,2039904000000.0,30841282000000.0,5755993000000.0,3716089000000.0,144928000000.0,47356000000.0,234102000000.0,2292317680000.0,2451318000000.0,34429272000000.0,2725025000000.0,1365838200.0,1365838200.0,1794.7,1794.7,2451318000000.0,0.0,2451318000000.0,,2451318000000.0,-41650000000.0,2492967000000.0,2492967000000.0,1175765000000.0,3668733000000.0,798778000000.0,-78109000000.0,643063000000.0,233824000000.0,144928000000.0,41818000000.0,47356000000.0,234102000000.0,2725026000000.0,3587990000000.0,3587990000000.0,6313016000000.0,30841282000000.0,37154298000000.0,37154298000000.0
2022-03-31,87085600000.0,0.28,5533850000000.0,311020000000.0,311020000000.0,2850110000000.0,1821880000000.0,25407834000000.0,5844870000000.0,4022990000000.0,195931000000.0,32458000000.0,101512000000.0,2626175600000.0,2850110000000.0,28383811000000.0,2995697000000.0,1388765900.0,1388734786.0,2052.3,2052.3,2850132000000.0,23000000.0,2850110000000.0,,2850110000000.0,-24504000000.0,2874614000000.0,2874614000000.0,1115918000000.0,3990532000000.0,798905000000.0,-72461000000.0,560346000000.0,311020000000.0,195931000000.0,-126877000000.0,32458000000.0,101512000000.0,2995696000000.0,2975977000000.0,2975977000000.0,5971673000000.0,25407834000000.0,31379507000000.0,31379507000000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,12569000000.0,,-12569000000.0,,,,,,,,,,,,,,,,,,,,,
