Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,42.00381655234167,42.40276556983828,41.12359225324743,41.598533630371094,4503800,0.0,0.0
2015-01-05 00:00:00-05:00,40.990598349004394,41.44020882004513,40.95259976361701,41.243896484375,5004600,0.0,0.0
2015-01-06 00:00:00-05:00,41.42120657942312,41.63651093287896,40.566308573514654,41.09191131591797,4282900,0.0,0.0
2015-01-07 00:00:00-05:00,42.78270007270923,42.95368160356301,41.965800660972846,42.776371002197266,8131800,0.0,0.0
2015-01-08 00:00:00-05:00,43.22598478075642,43.25131555883566,42.681385130432545,42.941017150878906,4995900,0.0,0.0
2015-01-09 00:00:00-05:00,41.972139508312964,42.17478090965794,41.48453529710392,41.74416732788086,7366300,0.0,0.0
2015-01-12 00:00:00-05:00,41.78216615893035,41.92147819770413,41.402209301731624,41.820159912109375,3023000,0.0,0.0
2015-01-13 00:00:00-05:00,42.25711006124933,42.57373757462752,41.262899862495885,41.528865814208984,3612600,0.0,0.0
2015-01-14 00:00:00-05:00,41.142579322446224,41.25023151606007,40.09770757571462,40.800621032714844,7026200,0.0,0.0
2015-01-15 00:00:00-05:00,40.89559994858737,41.29454877042065,39.46444261464951,39.477108001708984,5234800,0.0,0.0
2015-01-16 00:00:00-05:00,39.52145056980309,40.14204027596585,39.40746445890826,39.983726501464844,4284100,0.0,0.0
2015-01-20 00:00:00-05:00,40.27501706314611,40.370006279485935,39.48344831256795,40.08504104614258,3718700,0.0,0.0
2015-01-21 00:00:00-05:00,40.161026376173915,40.69929209872956,40.14836340340805,40.654964447021484,3322300,0.0,0.0
2015-01-22 00:00:00-05:00,40.89560561373969,41.57318821339379,40.69296422406795,41.47819900512695,3336600,0.0,0.0
2015-01-23 00:00:00-05:00,42.02280011114068,42.12411839383375,41.351551390324154,41.68717575073242,3691700,0.0,0.0
2015-01-26 00:00:00-05:00,41.56685576962102,41.90881403256896,41.300889842223285,41.845489501953125,2418500,0.0,0.0
2015-01-27 00:00:00-05:00,41.35155225084765,41.68084271564261,41.19956757661727,41.484535217285156,2771700,0.0,0.0
2015-01-28 00:00:00-05:00,41.88981386680178,42.04812759658459,41.07291444136029,41.09191131591797,2264100,0.0,0.0
2015-01-29 00:00:00-05:00,41.11723802970439,41.43386545798447,40.686624533989445,41.3895378112793,2360300,0.0,0.0
2015-01-30 00:00:00-05:00,41.12990793001009,41.12990793001009,40.41433156083363,40.452327728271484,2965800,0.0,0.0
2015-02-02 00:00:00-05:00,40.52831357691049,40.79427947523462,39.553100451703905,40.64229965209961,3155000,0.0,0.0
2015-02-03 00:00:00-05:00,40.82594263950076,41.85181244682643,40.69295969526785,41.839149475097656,3960900,0.0,0.0
2015-02-04 00:00:00-05:00,41.12990506503333,41.402204873513824,40.78161775832211,41.09191131591797,5723200,0.0,0.0
2015-02-05 00:00:00-05:00,40.55364753869698,41.129907030338906,40.338340759277344,40.338340759277344,4680800,0.0,0.0
2015-02-06 00:00:00-05:00,40.50933169079391,40.635980785039465,40.14837645770548,40.35734939575195,6499100,0.0,0.0
2015-02-09 00:00:00-05:00,40.24967934078869,40.445986799256886,39.99637643322743,40.332000732421875,3302900,0.0,0.0
2015-02-10 00:00:00-05:00,40.62964144937837,40.95259800753289,40.389001467202014,40.857608795166016,3104500,0.0,0.0
2015-02-11 00:00:00-05:00,40.939943145570076,41.26290459906729,40.863950794349265,41.00960159301758,2136800,0.0,0.0
2015-02-12 00:00:00-05:00,41.07291905452404,41.104583736577716,40.61064078584209,40.94626998901367,2284700,0.0,0.0
2015-02-13 00:00:00-05:00,40.78163004365832,41.00326836585177,40.57265469786746,40.7309684753418,2897200,0.0,0.0
2015-02-17 00:00:00-05:00,40.205355771602896,40.30034255981445,39.711415293334746,40.30034255981445,4618800,0.0,0.0
2015-02-18 00:00:00-05:00,40.33199831997391,40.52197669711912,40.06603245705127,40.22434616088867,2547600,0.0,0.0
2015-02-19 00:00:00-05:00,40.2243543538537,40.351005825855296,39.87606461760625,39.89506149291992,2958700,0.0,0.0
2015-02-20 00:00:00-05:00,39.9330579781759,40.414330676814885,39.58476582347067,40.338340759277344,4340300,0.0,0.0
2015-02-23 00:00:00-05:00,40.56632073997892,40.69930373311794,40.167371760561885,40.6296501159668,4529700,0.0,0.0
2015-02-24 00:00:00-05:00,40.67396656507541,40.81327859231744,38.69187552820338,39.325130462646484,12863900,0.0,0.0
2015-02-25 00:00:00-05:00,39.35678973524501,40.591634755230736,39.32512506033211,40.26234436035156,6970900,0.0,0.0
2015-02-26 00:00:00-05:00,40.34466575123359,40.4396549446212,39.63542099847951,40.26234436035156,4891500,0.0,0.0
2015-02-27 00:00:00-05:00,40.325674776834255,40.56630991477375,40.066040348033084,40.35100555419922,3573900,0.0,0.0
2015-03-02 00:00:00-05:00,40.148372615918746,40.93360755407945,40.059714876483206,40.46500015258789,4664400,0.0,0.0
2015-03-03 00:00:00-05:00,40.45865387823561,40.61696759816339,39.895057421800814,40.19268798828125,2944600,0.0,0.0
2015-03-04 00:00:00-05:00,40.12303573308455,40.20535955649175,39.67342527913358,39.82540512084961,2763500,0.0,0.0
2015-03-05 00:00:00-05:00,40.015384674072266,40.078711626791375,39.787414891312196,40.015384674072266,2598400,0.0,0.0
2015-03-06 00:00:00-05:00,39.838072854946226,40.02804887611034,39.70508988169896,39.88240051269531,2775000,0.0,0.0
2015-03-09 00:00:00-04:00,39.8000781295487,39.89506735141782,39.57843983275578,39.61643600463867,2703200,0.0,0.0
2015-03-10 00:00:00-04:00,39.2744754185669,40.13570260570411,39.16682081233669,40.08504104614258,4792500,0.0,0.0
2015-03-11 00:00:00-04:00,40.21423217247086,40.22696050083838,39.59055864854473,39.68601989746094,2878200,0.313,0.0
2015-03-12 00:00:00-04:00,39.870570668562706,40.25241074806523,39.80056608752857,40.21422576904297,3218600,0.0,0.0
2015-03-13 00:00:00-04:00,40.207865695311256,40.424242403218926,39.845116865536674,40.322418212890625,3226700,0.0,0.0
2015-03-16 00:00:00-04:00,40.494236759971116,40.825165901861816,40.48150843593537,40.812435150146484,3611400,0.0,0.0
2015-03-17 00:00:00-04:00,40.634257385703805,40.89518447628135,40.47515692228651,40.793357849121094,2787200,0.0,0.0
2015-03-18 00:00:00-04:00,40.76790834291134,41.35976236484768,40.41152479606337,41.1179313659668,4013100,0.0,0.0
2015-03-19 00:00:00-04:00,41.003370631395036,41.48703738795109,40.96518807481664,41.410667419433594,2823900,0.0,0.0
2015-03-20 00:00:00-04:00,41.47430689098593,42.09161745477911,41.36611974309825,41.98979568481445,5929100,0.0,0.0
2015-03-23 00:00:00-04:00,41.88796713235691,42.091615518277756,41.76704923418624,41.773414611816406,3473000,0.0,0.0
2015-03-24 00:00:00-04:00,41.56975690773223,41.85613571720934,41.4552044128695,41.57612228393555,2338400,0.0,0.0
2015-03-25 00:00:00-04:00,41.57612890046913,41.88796440902643,41.187923431396484,41.187923431396484,3670000,0.0,0.0
