,Treasury Shares Number,Preferred Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Payables And Accrued Expenses,Payables,Other Payable,Accounts Payable,Total Assets,Investments And Advances,Held To Maturity Securities,Available For Sale Securities,Trading Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Gross PPE,Other Properties,Properties,Receivables,Other Receivables,Accounts Receivable,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Cash Cash Equivalents And Federal Funds Sold
2024-12-31,1307313494.0,391850000.0,2797620401.0,4104933895.0,454311000000.0,260148000000.0,779019000000.0,280198000000.0,324708000000.0,20050000000.0,734594000000.0,344758000000.0,344758000000.0,-12456000000.0,-12456000000.0,134018000000.0,376166000000.0,90911000000.0,24155000000.0,4105000000.0,20050000000.0,3658056000000.0,389836000000.0,389836000000.0,64475000000.0,64475000000.0,64475000000.0,,305933000000.0,305933000000.0,152780000000.0,153153000000.0,4002814000000.0,1172872000000.0,274468000000.0,,501714000000.0,64560000000.0,11995000000.0,52565000000.0,32223000000.0,32223000000.0,15349000000.0,16874000000.0,101223000000.0,,101223000000.0,396690000000.0,469317000000.0,23372000000.0,764318000000.0
2023-12-31,1228275301.0,391850000.0,2876658594.0,4104933895.0,436537000000.0,236093000000.0,737011000000.0,263497000000.0,300474000000.0,27404000000.0,719703000000.0,327878000000.0,327878000000.0,-10443000000.0,-10443000000.0,116217000000.0,332901000000.0,90128000000.0,31509000000.0,4105000000.0,27404000000.0,3547515000000.0,391825000000.0,391825000000.0,44712000000.0,44712000000.0,44712000000.0,,317954000000.0,317954000000.0,155994000000.0,161960000000.0,3875393000000.0,973946000000.0,369848000000.0,,411613000000.0,64381000000.0,11747000000.0,52634000000.0,30157000000.0,30157000000.0,15295000000.0,14862000000.0,107363000000.0,,107363000000.0,192485000000.0,624151000000.0,29066000000.0,900303000000.0
2022-12-31,1170676094.0,391850000.0,2934257801.0,4104933895.0,339892000000.0,204069000000.0,604820000000.0,231473000000.0,264928000000.0,27404000000.0,588197000000.0,292332000000.0,292332000000.0,-17341000000.0,-17341000000.0,107336000000.0,296456000000.0,89044000000.0,31509000000.0,4105000000.0,27404000000.0,3373411000000.0,295865000000.0,295865000000.0,44027000000.0,44027000000.0,44027000000.0,,339982000000.0,339982000000.0,151290000000.0,188692000000.0,3665743000000.0,982116000000.0,425305000000.0,,360112000000.0,60859000000.0,9197000000.0,51662000000.0,27734000000.0,27734000000.0,14248000000.0,13486000000.0,125189000000.0,,125189000000.0,196699000000.0,567234000000.0,27697000000.0,882826000000.0
2021-12-31,1160784750.0,391850000.0,2944149145.0,4104933895.0,354599000000.0,202598000000.0,613888000000.0,237436000000.0,259289000000.0,34838000000.0,595132000000.0,294127000000.0,294127000000.0,-84000000.0,-84000000.0,105415000000.0,272268000000.0,88415000000.0,38943000000.0,4105000000.0,34838000000.0,3449440000000.0,301005000000.0,301005000000.0,53594000000.0,53594000000.0,53594000000.0,,303071000000.0,303071000000.0,133899000000.0,169172000000.0,3743567000000.0,984829000000.0,363707000000.0,,330865000000.0,56691000000.0,6376000000.0,50315000000.0,27070000000.0,,,,102570000000.0,,102570000000.0,290257000000.0,740834000000.0,26438000000.0,1002532000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,12031000000.0,,,,,,,,13827000000.0,,,,,,,,,,79630000000.0,,,,,
