,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Other Investments,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,0.0,245778498.0,245778498.0,7153558000.0,7248078000.0,-5679389000.0,25421659000.0,-103060000.0,-5679389000.0,56403000.0,18229984000.0,25421142000.0,18229984000.0,18229984000.0,-15384000.0,-15384000.0,0.0,-2166876000.0,20411998000.0,246000.0,246000.0,0.0,7613701000.0,7258317000.0,5379000.0,5377000.0,4970000.0,407000.0,7247561000.0,56403000.0,7191158000.0,355384000.0,237974000.0,237974000.0,517000.0,517000.0,58362000.0,58531000.0,5549000.0,5549000.0,52982000.0,52982000.0,25843685000.0,25591361000.0,75794000.0,,1525307000.0,1525307000.0,,,23909373000.0,23909373000.0,80887000.0,-133318000.0,214205000.0,29547000.0,54560000.0,130098000.0,0.0,252324000.0,31224000.0,1780000.0,,181203000.0,181203000.0,-2188000.0,183391000.0,38117000.0,,38117000.0
2023-12-31,86840000.0,168680000.0,255520000.0,2135774000.0,2243677000.0,-1461504000.0,4347563000.0,-55378000.0,-1461504000.0,61086000.0,2164972000.0,4347080000.0,2164972000.0,2164972000.0,-11444000.0,-11444000.0,782104000.0,-999234000.0,3957728000.0,26000.0,26000.0,0.0,2597556000.0,2274283000.0,22208000.0,8881000.0,8524000.0,357000.0,2243194000.0,61086000.0,2182108000.0,323273000.0,228162000.0,228162000.0,483000.0,483000.0,50045000.0,44583000.0,1493000.0,1493000.0,43090000.0,43090000.0,4762528000.0,4494633000.0,24300000.0,,757573000.0,757573000.0,,,3626476000.0,3626476000.0,86284000.0,-130464000.0,216748000.0,29944000.0,57343000.0,129461000.0,0.0,267895000.0,35407000.0,1856000.0,,183815000.0,183815000.0,-3069000.0,186884000.0,46817000.0,,46817000.0
2022-12-31,86840000.0,115490000.0,202330000.0,2335179000.0,2446358000.0,-2223148000.0,1995894000.0,-52837000.0,-2223148000.0,67344000.0,-383120000.0,1995440000.0,-383120000.0,-383120000.0,-13801000.0,-13801000.0,782104000.0,-1428355000.0,1841120000.0,20000.0,20000.0,0.0,2793392000.0,2475989000.0,17124000.0,12961000.0,12763000.0,198000.0,2445904000.0,67344000.0,2378560000.0,317403000.0,217428000.0,217428000.0,454000.0,454000.0,53716000.0,45805000.0,2829000.0,2829000.0,42976000.0,42976000.0,2410272000.0,2145706000.0,23916000.0,,188152000.0,188152000.0,,,1840028000.0,1840028000.0,93610000.0,-125317000.0,218927000.0,28755000.0,61299000.0,128873000.0,0.0,264566000.0,24418000.0,7033000.0,,189280000.0,189280000.0,-2564000.0,191844000.0,43835000.0,,43835000.0
2021-12-31,86840000.0,112860000.0,199700000.0,2091795000.0,2231759000.0,-1871252000.0,3134109000.0,-44020000.0,-1871252000.0,76608000.0,978958000.0,3134109000.0,978958000.0,978958000.0,-7543000.0,-7543000.0,782104000.0,41442000.0,1727143000.0,20000.0,20000.0,0.0,2578166000.0,2266181000.0,26224000.0,8198000.0,8089000.0,109000.0,2231759000.0,76608000.0,2155151000.0,311985000.0,209860000.0,209860000.0,,,54548000.0,47577000.0,1493000.0,1493000.0,46084000.0,46084000.0,3557124000.0,3289159000.0,15820000.0,15820000.0,319782000.0,319782000.0,,,2850210000.0,2850210000.0,103347000.0,-122630000.0,225977000.0,28872000.0,66760000.0,130345000.0,0.0,267965000.0,14251000.0,1078000.0,14251000.0,189280000.0,189280000.0,-2775000.0,192055000.0,63356000.0,,63356000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15615000.0,,,1054302000.0,1054302000.0,,,,,,,,,,,,,14400000.0,,,,,,0.0,
