,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Interest Paid Cff,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Other Investing Changes,Interest Received Cfi,Dividends Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Taxes Refund Paid,Change In Working Capital,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Deferred Tax,Depreciation And Amortization,Amortization Cash Flow,Depreciation,Pension And Employee Benefit Expense,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Net Income From Continuing Operations
2024-12-31,7548000000.0,-1508000000.0,,,-1971000000.0,5950000000.0,4045000000.0,-48000000.0,1953000000.0,-6941000000.0,-291000000.0,-1085000000.0,-4319000000.0,-4319000000.0,-1508000000.0,-1508000000.0,643000000.0,643000000.0,,,,-625000000.0,,432000000.0,261000000.0,426000000.0,592000000.0,-166000000.0,190000000.0,985000000.0,-795000000.0,-233000000.0,-233000000.0,-1701000000.0,37000000.0,-1738000000.0,,9519000000.0,-2625000000.0,-160000000.0,244000000.0,-198000000.0,-206000000.0,1020000000.0,324000000.0,330000000.0,2500000000.0,1757000000.0,375000000.0,1382000000.0,-159000000.0,526000000.0,-95000000.0,6369000000.0
2023-12-31,7681000000.0,-1507000000.0,-3905000000.0,4972000000.0,-1745000000.0,4045000000.0,4225000000.0,-119000000.0,-61000000.0,-7193000000.0,540000000.0,-899000000.0,-4363000000.0,-4363000000.0,-1507000000.0,-1507000000.0,-570000000.0,-570000000.0,1067000000.0,-3905000000.0,4972000000.0,-2294000000.0,,267000000.0,239000000.0,-829000000.0,62000000.0,-891000000.0,-268000000.0,436000000.0,-704000000.0,-243000000.0,-243000000.0,-1460000000.0,42000000.0,-1502000000.0,,9426000000.0,-2135000000.0,814000000.0,-294000000.0,340000000.0,768000000.0,872000000.0,212000000.0,-185000000.0,2199000000.0,1578000000.0,228000000.0,1350000000.0,-391000000.0,-519000000.0,49000000.0,7140000000.0
2022-12-31,5573000000.0,-1509000000.0,-8440000000.0,7776000000.0,-1709000000.0,4225000000.0,3387000000.0,-7000000.0,845000000.0,-8890000000.0,-1245000000.0,-744000000.0,-4329000000.0,-4329000000.0,-1509000000.0,-1509000000.0,-545000000.0,-545000000.0,-664000000.0,-8440000000.0,7776000000.0,2453000000.0,,287000000.0,185000000.0,-35000000.0,266000000.0,-301000000.0,3643000000.0,4622000000.0,-979000000.0,-253000000.0,-253000000.0,-1374000000.0,82000000.0,-1456000000.0,,7282000000.0,-2807000000.0,-422000000.0,2828000000.0,-1398000000.0,-1852000000.0,549000000.0,177000000.0,203000000.0,2068000000.0,1946000000.0,,1946000000.0,-163000000.0,-2458000000.0,152000000.0,8269000000.0
2021-12-31,6632000000.0,-3018000000.0,-3550000000.0,4748000000.0,-1340000000.0,3387000000.0,5475000000.0,285000000.0,-2373000000.0,-7099000000.0,698000000.0,-488000000.0,-4483000000.0,-4483000000.0,-3018000000.0,-3018000000.0,656000000.0,656000000.0,1198000000.0,-3550000000.0,4748000000.0,-3246000000.0,,148000000.0,185000000.0,-252000000.0,137000000.0,-389000000.0,-2088000000.0,43000000.0,-2131000000.0,-232000000.0,-232000000.0,-1007000000.0,101000000.0,-1108000000.0,,7972000000.0,-2333000000.0,-47000000.0,718000000.0,-458000000.0,-307000000.0,372000000.0,161000000.0,-61000000.0,1935000000.0,1763000000.0,,1763000000.0,-173000000.0,91000000.0,-75000000.0,6621000000.0
2020-12-31,,,-3577000000.0,3117000000.0,,,,,,,,,,,,,,,-181000000.0,-3577000000.0,3117000000.0,,669000000.0,,,,,,,,,,,,,,-932000000.0,,,,,,,,,,,,,,,,,
