,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Interest Received Cfi,Dividends Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Taxes Refund Paid,Interest Received Cfo,Interest Paid Cfo,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payable,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Depreciation And Amortization,Amortization Cash Flow,Depreciation,Gain Loss On Investment Securities,Gain Loss On Sale Of PPE,Net Income From Continuing Operations
2025-03-31,-692362900000.0,-390265600000.0,937547700000.0,77119400000.0,-10818200000.0,36424600000.0,,40345100000.0,-3920500000.0,705274400000.0,105272200000.0,-22252400000.0,-22252400000.0,77119400000.0,77119400000.0,547282100000.0,87876300000.0,87876300000.0,459405800000.0,-390265600000.0,849671400000.0,-27650200000.0,,12800000.0,-17208700000.0,461785700000.0,-478994400000.0,0.0,0.0,-4977600000.0,-4977600000.0,-5476700000.0,363900000.0,-5840600000.0,-681544700000.0,-59479000000.0,605301400000.0,-224213500000.0,-941700200000.0,380800000.0,-601600000.0,-196700000.0,-2063100000.0,-369719300000.0,3939800000.0,79660300000.0,8809900000.0,2779100000.0,6030800000.0,-5403100000.0,355000000.0,220796300000.0
2024-03-31,-708810900000.0,-343759100000.0,946898100000.0,93643800000.0,-10377800000.0,40345100000.0,,15507500000.0,24837600000.0,824150800000.0,147599300000.0,-18145800000.0,-18145800000.0,93643800000.0,93643800000.0,603139000000.0,220235000000.0,220235000000.0,382904000000.0,-343759100000.0,726663100000.0,-100880100000.0,9439900000.0,,-88216500000.0,214334200000.0,-302550700000.0,-2674700000.0,-2674700000.0,-4341600000.0,-4341600000.0,-5647300000.0,388900000.0,-6036200000.0,-698433100000.0,-50979900000.0,467975100000.0,-170440400000.0,-895316200000.0,1421600000.0,-584600000.0,7371700000.0,-4575400000.0,-296452100000.0,2682300000.0,46307000000.0,6833200000.0,2099300000.0,4733900000.0,-3082900000.0,125400000.0,193095700000.0
2023-03-31,-429901100000.0,-364736400000.0,747840400000.0,1581200000.0,-8783200000.0,15507500000.0,500000.0,33814400000.0,-18306900000.0,506750100000.0,135569200000.0,-12068600000.0,-12068600000.0,1581200000.0,1581200000.0,383104000000.0,79236600000.0,79236600000.0,303867400000.0,-364736400000.0,668603800000.0,-103939100000.0,6067100000.0,,-100493700000.0,3083608100000.0,-3184101800000.0,-927400000.0,-927400000.0,-3924400000.0,-3924400000.0,-4660700000.0,198100000.0,-4858800000.0,-421117900000.0,-39721800000.0,350328400000.0,-131073800000.0,-562262700000.0,-1810900000.0,559200000.0,5786200000.0,-934300000.0,-230500300000.0,2244100000.0,31896500000.0,4853800000.0,1420200000.0,3433600000.0,-3343200000.0,133300000.0,155278600000.0
2022-03-31,-377240700000.0,-184356100000.0,417909700000.0,1729000000.0,-6341700000.0,33814400000.0,,18493300000.0,15321100000.0,322752200000.0,47836800000.0,-6026300000.0,-6026300000.0,1729000000.0,1729000000.0,280271600000.0,46718000000.0,,233553600000.0,-184356100000.0,417909700000.0,63467900000.0,4005800000.0,,65612400000.0,2477421300000.0,-2411808900000.0,0.0,,-2586200000.0,-2586200000.0,-3564100000.0,191400000.0,-3755500000.0,-370899000000.0,-25861000000.0,276273600000.0,-90026500000.0,-501758700000.0,1142100000.0,-234800000.0,4138900000.0,-3209300000.0,-175985000000.0,1612300000.0,48034000000.0,3845700000.0,968800000.0,2876900000.0,-3277300000.0,248400000.0,95037800000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,2267000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
