,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Derivative Product Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Current Notes Payable,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Dividends Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-05-31,1476000000.0,1476000000.0,502000000.0,11018000000.0,12714000000.0,21179000000.0,12796000000.0,12714000000.0,3052000000.0,13213000000.0,21174000000.0,13213000000.0,13213000000.0,-258000000.0,-258000000.0,-727000000.0,14195000000.0,3000000.0,3000000.0,23366000000.0,12800000000.0,2289000000.0,0.0,,,,10511000000.0,2550000000.0,7961000000.0,10566000000.0,507000000.0,502000000.0,5000000.0,,,5000000.0,1726000000.0,1834000000.0,6499000000.0,1753000000.0,4746000000.0,598000000.0,669000000.0,669000000.0,3479000000.0,36579000000.0,13217000000.0,5178000000.0,,,499000000.0,259000000.0,240000000.0,7540000000.0,-6104000000.0,13644000000.0,2037000000.0,404000000.0,2712000000.0,4647000000.0,3510000000.0,334000000.0,0.0,23362000000.0,2005000000.0,,7489000000.0,7489000000.0,4717000000.0,4717000000.0,-27000000.0,4744000000.0,9151000000.0,1687000000.0,7464000000.0,6243000000.0,1221000000.0
2024-05-31,1503000000.0,1503000000.0,,11952000000.0,13931000000.0,23339000000.0,14789000000.0,13931000000.0,3043000000.0,14430000000.0,22333000000.0,14430000000.0,14430000000.0,53000000.0,53000000.0,965000000.0,13409000000.0,3000000.0,3000000.0,23680000000.0,13087000000.0,2618000000.0,0.0,,,,10469000000.0,2566000000.0,7903000000.0,10593000000.0,1483000000.0,477000000.0,1006000000.0,1000000000.0,,6000000.0,1869000000.0,1282000000.0,5959000000.0,2011000000.0,3948000000.0,563000000.0,534000000.0,534000000.0,2851000000.0,38110000000.0,12728000000.0,4511000000.0,,,499000000.0,259000000.0,240000000.0,7718000000.0,-5914000000.0,13632000000.0,2023000000.0,193000000.0,2718000000.0,4930000000.0,3439000000.0,329000000.0,0.0,25382000000.0,1854000000.0,,7519000000.0,7519000000.0,4427000000.0,4427000000.0,-35000000.0,4462000000.0,11582000000.0,1722000000.0,9860000000.0,8638000000.0,1222000000.0
2023-05-31,1532000000.0,1532000000.0,1492000000.0,12144000000.0,13449000000.0,22937000000.0,15946000000.0,13449000000.0,3211000000.0,14004000000.0,22931000000.0,14004000000.0,14004000000.0,231000000.0,231000000.0,1358000000.0,12412000000.0,3000000.0,3000000.0,23527000000.0,14271000000.0,2558000000.0,0.0,,,,11713000000.0,2786000000.0,8927000000.0,9256000000.0,431000000.0,425000000.0,6000000.0,,,6000000.0,2289000000.0,994000000.0,5542000000.0,1911000000.0,3631000000.0,529000000.0,240000000.0,240000000.0,2862000000.0,37531000000.0,12329000000.0,3770000000.0,,,555000000.0,274000000.0,281000000.0,8004000000.0,-5634000000.0,13638000000.0,1876000000.0,525000000.0,2923000000.0,4695000000.0,3293000000.0,326000000.0,0.0,25202000000.0,1942000000.0,,8454000000.0,8454000000.0,4131000000.0,4131000000.0,-35000000.0,4166000000.0,10675000000.0,3234000000.0,7441000000.0,5674000000.0,1767000000.0
2022-05-31,1571000000.0,1571000000.0,856000000.0,12627000000.0,14711000000.0,24711000000.0,17483000000.0,14711000000.0,3197000000.0,15281000000.0,24201000000.0,15281000000.0,15281000000.0,318000000.0,318000000.0,3476000000.0,11484000000.0,3000000.0,3000000.0,25040000000.0,14310000000.0,2613000000.0,0.0,,2613000000.0,2613000000.0,11697000000.0,2777000000.0,8920000000.0,10730000000.0,930000000.0,420000000.0,510000000.0,500000000.0,,10000000.0,1793000000.0,1412000000.0,6595000000.0,2530000000.0,4065000000.0,485000000.0,222000000.0,222000000.0,3358000000.0,40321000000.0,12108000000.0,3821000000.0,3821000000.0,3821000000.0,570000000.0,286000000.0,284000000.0,7717000000.0,-5306000000.0,13023000000.0,1712000000.0,399000000.0,2926000000.0,4486000000.0,3170000000.0,330000000.0,0.0,28213000000.0,2129000000.0,2129000000.0,8420000000.0,8420000000.0,4667000000.0,4667000000.0,-34000000.0,4701000000.0,12997000000.0,4423000000.0,8574000000.0,7735000000.0,839000000.0
2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,9413000000.0,2955000000.0,2955000000.0,,,,,,,,,0.0,,,,,,,,,,,,,,2921000000.0,2921000000.0,,,,,,,,,,,,,,,,1498000000.0,,,,,,,,,,,
