,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Write Off,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Insurance And Claims,Rent And Landing Fees,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-03-31,17051000.0,0.289,5006000000.0,59000000.0,59000000.0,3158000000.0,569000000.0,13405000000.0,5065000000.0,4496000000.0,296000000.0,49000000.0,345000000.0,3116051000.0,3158000000.0,15200000000.0,,4071000000.0,4152051184.0,4155263158.0,0.76,0.76,3158000000.0,3158000000.0,3158000000.0,-4000000.0,3162000000.0,3162000000.0,1285000000.0,4447000000.0,74000000.0,15000000.0,-6000000.0,,6000000.0,,65000000.0,296000000.0,49000000.0,345000000.0,4077000000.0,1795000000.0,123000000.0,41000000.0,1631000000.0,201000000.0,1430000000.0,379000000.0,35000000.0,,1016000000.0,5872000000.0,13405000000.0,19277000000.0,19277000000.0
2024-03-31,11382000.0,0.271,4925000000.0,42000000.0,42000000.0,3167000000.0,565000000.0,12975000000.0,4967000000.0,4402000000.0,431000000.0,56000000.0,487000000.0,3136382000.0,3167000000.0,14713000000.0,,3834000000.0,4144680425.0,4138568090.0,0.76,0.77,3167000000.0,3167000000.0,3167000000.0,-2000000.0,3169000000.0,3169000000.0,1177000000.0,4346000000.0,66000000.0,24000000.0,-15000000.0,,15000000.0,,57000000.0,431000000.0,56000000.0,487000000.0,3849000000.0,1738000000.0,121000000.0,39000000.0,1578000000.0,168000000.0,1410000000.0,400000000.0,25000000.0,,985000000.0,5587000000.0,12975000000.0,18562000000.0,18562000000.0
2023-03-31,19102545.454545,0.276848,4615000000.0,69000000.0,69000000.0,2981000000.0,524000000.0,12709000000.0,4684000000.0,4160000000.0,191000000.0,35000000.0,226000000.0,2931102545.454545,2981000000.0,14387000000.0,11000000.0,3825000000.0,4187731070.0,4180897857.0,0.71,0.71,2981000000.0,2981000000.0,2981000000.0,-2000000.0,2983000000.0,2983000000.0,1142000000.0,4125000000.0,109000000.0,40000000.0,-35000000.0,,35000000.0,,69000000.0,191000000.0,35000000.0,226000000.0,3825000000.0,1678000000.0,116000000.0,37000000.0,1678000000.0,776000000.0,902000000.0,902000000.0,21000000.0,7000000.0,905000000.0,5503000000.0,12709000000.0,18212000000.0,18212000000.0
2022-03-31,15877106.04559,0.264618,4469000000.0,60000000.0,60000000.0,2963000000.0,466000000.0,10996000000.0,4529000000.0,4063000000.0,194000000.0,27000000.0,221000000.0,2918877106.04559,2963000000.0,12556000000.0,9000000.0,3755000000.0,4218525134.0,4209546724.0,0.7,0.7,2963000000.0,2963000000.0,2963000000.0,-5000000.0,2968000000.0,2968000000.0,1068000000.0,4036000000.0,87000000.0,27000000.0,-23000000.0,,23000000.0,,60000000.0,194000000.0,27000000.0,221000000.0,3755000000.0,1560000000.0,110000000.0,35000000.0,1560000000.0,692000000.0,868000000.0,868000000.0,22000000.0,6000000.0,873000000.0,5315000000.0,10996000000.0,16311000000.0,16311000000.0
2021-03-31,,,,,,,,,,,,,,,,,10000000.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,6000000.0,,,,,
