,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-06-30,-35305343.51145,0.282443,6484000000.0,-125000000.0,-125000000.0,2354000000.0,1718000000.0,8072000000.0,6359000000.0,4641000000.0,-866000000.0,1104000000.0,210000000.0,2443694656.48855,2354000000.0,15910000000.0,,4335000000.0,557000000.0,555500000.0,4.228,4.236,2354000000.0,2354000000.0,0.0,2354000000.0,-184000000.0,2538000000.0,2538000000.0,999000000.0,3537000000.0,,-123000000.0,147000000.0,,-24000000.0,-866000000.0,-28000000.0,1104000000.0,210000000.0,4335000000.0,7838000000.0,4176000000.0,3662000000.0,3662000000.0,12173000000.0,8072000000.0,20245000000.0,20245000000.0
2024-06-30,-4739926.739927,0.236996,7107000000.0,-20000000.0,-20000000.0,3870000000.0,493000000.0,8071000000.0,7087000000.0,6594000000.0,-925000000.0,1134000000.0,194000000.0,3885260073.260073,3870000000.0,14268000000.0,,6001000000.0,559750000.0,558500000.0,6.912,6.928,3870000000.0,3870000000.0,0.0,3870000000.0,-296000000.0,4166000000.0,4166000000.0,1294000000.0,5460000000.0,4000000.0,-19000000.0,19000000.0,,0.0,-925000000.0,-15000000.0,1134000000.0,194000000.0,6001000000.0,6197000000.0,2506000000.0,3691000000.0,3691000000.0,12198000000.0,8071000000.0,20269000000.0,20269000000.0
2023-06-30,2267458.348104,0.206133,7879000000.0,11000000.0,11000000.0,4445000000.0,1297000000.0,8289000000.0,7890000000.0,6593000000.0,-723000000.0,951000000.0,201000000.0,4436267458.348104,4445000000.0,15008000000.0,,5547000000.0,567750000.0,566000000.0,8.294338,8.319564,4445000000.0,4445000000.0,0.0,4445000000.0,-34000000.0,4479000000.0,4479000000.0,1163000000.0,5642000000.0,364000000.0,10000000.0,-10000000.0,,10090435.528423,-723000000.0,-27000000.0,951000000.0,201000000.0,5547000000.0,6719000000.0,3056000000.0,3663000000.0,3663000000.0,12266000000.0,8289000000.0,20555000000.0,20555000000.0
2022-06-30,0.0,0.239,8089000000.0,-499708907.432564,-499708907.432564,4280000000.0,1064000000.0,7923000000.0,8089000000.0,7025000000.0,-556000000.0,1217000000.0,661000000.0,4280000000.0,4280000000.0,14619000000.0,,5897000000.0,581250000.0,579500000.0,6.777605,6.801863,4280000000.0,4280000000.0,0.0,4280000000.0,-130000000.0,4410000000.0,4410000000.0,1398000000.0,5808000000.0,-88000000.0,-493644478.944304,86114884.533282,407529594.411023,0.0,-556000000.0,14554628.371822,1217000000.0,661000000.0,5897000000.0,6696000000.0,3080000000.0,3616000000.0,3616000000.0,12593000000.0,7923000000.0,20516000000.0,20516000000.0
2021-06-30,,,,,,,,,,,,,,,,,42904199.075484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
