Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-01 00:00:00+05:30,480.4045066731913,485.2134004881048,478.21862950330916,484.2419128417969,944551,0.0,0.0
2015-01-02 00:00:00+05:30,483.07609957471595,502.6517555179037,483.07609957471595,497.21136474609375,4193093,0.0,0.0
2015-01-05 00:00:00+05:30,495.55985257522065,511.0065966332417,492.256764487063,508.86932373046875,6758676,0.0,0.0
2015-01-06 00:00:00+05:30,499.6887358022468,499.6887358022468,485.01915102641817,487.1078796386719,7979598,0.0,0.0
2015-01-07 00:00:00+05:30,480.89025156722636,486.1363148346608,475.25556327471406,479.7730407714844,9232656,0.0,0.0
2015-01-08 00:00:00+05:30,489.63367887000004,500.12583491059706,486.719186086664,497.4056396484375,5535587,0.0,0.0
2015-01-09 00:00:00+05:30,506.39201730756054,509.98658178796035,500.8059329751535,507.412109375,4053562,0.0,0.0
2015-01-12 00:00:00+05:30,503.7203961230051,509.7436798932813,496.6770802166723,507.412109375,2560568,0.0,0.0
2015-01-13 00:00:00+05:30,505.51764944120725,510.71513838987204,500.5630324076348,504.643310546875,4328812,0.0,0.0
2015-01-14 00:00:00+05:30,506.634941082598,511.6381330015107,499.30014857901637,505.5177001953125,6070608,0.0,0.0
2015-01-15 00:00:00+05:30,513.2410970641448,520.7216124296564,508.8207979782864,517.758544921875,6902556,0.0,0.0
2015-01-16 00:00:00+05:30,515.9612525869302,520.5273047069986,507.5092496679796,510.7637634277344,4250137,0.0,0.0
2015-01-19 00:00:00+05:30,511.49241708145706,524.2189660760691,508.23790327135214,523.1503295898438,4617341,0.0,0.0
2015-01-20 00:00:00+05:30,523.393240985648,545.0089928597015,519.5072301247192,543.2603149414062,6140342,0.0,0.0
2015-01-21 00:00:00+05:30,540.9772743513472,542.531654681637,530.436542839497,535.77978515625,6521363,0.0,0.0
2015-01-22 00:00:00+05:30,534.9539442125548,552.4894456202214,532.9138202061077,550.3521728515625,6010572,0.0,0.0
2015-01-23 00:00:00+05:30,558.6099143959428,574.2995304245087,557.6384267097823,571.676513671875,7764736,0.0,0.0
2015-01-27 00:00:00+05:30,579.0598609264788,590.37778199417,579.0598609264788,587.3175659179688,7213518,0.0,0.0
2015-01-28 00:00:00+05:30,581.9257904892991,582.1200880238038,570.2678185562554,572.4051513671875,8297785,0.0,0.0
2015-01-29 00:00:00+05:30,569.2963064000404,583.5772944347164,564.0502731940287,581.5371704101562,5874507,0.0,0.0
