,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-939960000.0,0.21,22603000000.0,-4476000000.0,-4476000000.0,8020000000.0,7013000000.0,16124000000.0,18127000000.0,11114000000.0,-2546000000.0,3091000000.0,545000000.0,11556040000.0,8031000000.0,48797000000.0,5700000000.0,5664000000.0,1.41,1.42,8031000000.0,8031000000.0,8031000000.0,-31000000.0,8062000000.0,11000000.0,8051000000.0,-28000000.0,8023000000.0,-4261000000.0,113000000.0,-5756000000.0,,525000000.0,567000000.0,432000000.0,3295000000.0,2419000000.0,102000000.0,1280000000.0,-2546000000.0,3091000000.0,545000000.0,14830000000.0,30946000000.0,5286000000.0,5286000000.0,5286000000.0,5286000000.0,10930000000.0,14730000000.0,45776000000.0,17851000000.0,63627000000.0,63627000000.0
2023-12-31,-872130000.0,0.21,13710000000.0,-4153000000.0,-4153000000.0,2134000000.0,6290000000.0,23397000000.0,9557000000.0,3267000000.0,-585000000.0,2209000000.0,1624000000.0,5414870000.0,2119000000.0,55331000000.0,5709000000.0,5643000000.0,0.37,0.38,2119000000.0,2119000000.0,2119000000.0,-39000000.0,2158000000.0,-15000000.0,2172000000.0,-1115000000.0,1058000000.0,-2580000000.0,1068000000.0,-6219000000.0,,222000000.0,474000000.0,227000000.0,3024000000.0,2943000000.0,505000000.0,2066000000.0,-585000000.0,2209000000.0,1624000000.0,4223000000.0,30377000000.0,4733000000.0,4733000000.0,4733000000.0,4733000000.0,10873000000.0,14771000000.0,34600000000.0,24954000000.0,59554000000.0,59554000000.0
2022-12-31,-293856000.0,0.096,44092000000.0,-3061000000.0,-3061000000.0,31366000000.0,5064000000.0,32889000000.0,41031000000.0,35967000000.0,-987000000.0,1238000000.0,251000000.0,34133144000.0,31372000000.0,64011000000.0,5733000000.0,5608000000.0,5.47,5.59,31372000000.0,31372000000.0,31372000000.0,-35000000.0,31407000000.0,6000000.0,31401000000.0,3328000000.0,34729000000.0,-1447000000.0,1178000000.0,-2102000000.0,0.0,,230000000.0,52000000.0,421000000.0,1451000000.0,436000000.0,-959000000.0,-987000000.0,1238000000.0,251000000.0,37164000000.0,29667000000.0,3609000000.0,3609000000.0,3609000000.0,3609000000.0,12381000000.0,13677000000.0,66831000000.0,34344000000.0,101175000000.0,101175000000.0
2021-12-31,22648000.0,0.076,30495000000.0,298000000.0,298000000.0,22413000000.0,5191000000.0,29330000000.0,30793000000.0,25602000000.0,-1255000000.0,1291000000.0,36000000.0,22137648000.0,21979000000.0,61053000000.0,5708000000.0,5601000000.0,3.85,3.92,21979000000.0,21979000000.0,21979000000.0,-45000000.0,22025000000.0,-434000000.0,22459000000.0,1852000000.0,24311000000.0,5331000000.0,4562000000.0,-1212000000.0,99000000.0,,182000000.0,53000000.0,86000000.0,944000000.0,471000000.0,1510000000.0,-1255000000.0,1291000000.0,36000000.0,20235000000.0,30232000000.0,3700000000.0,3700000000.0,3700000000.0,3700000000.0,13829000000.0,12703000000.0,50467000000.0,30821000000.0,81288000000.0,81288000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-237000000.0,,,,,,,,,,,,,,,,,,,,,,
