,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-03-31,-485198266.925596,0.273043,63108800000.0,455500000.0,-1777000000.0,36672300000.0,10263400000.0,195923600000.0,63564300000.0,53300900000.0,-471800000.0,2270200000.0,1798400000.0,40196601733.0744,36672300000.0,288274600000.0,,958873609.0,958721421.0,38.25,38.25,36672300000.0,36672300000.0,0.0,36672300000.0,-424800000.0,37097100000.0,,37097100000.0,13933600000.0,51030700000.0,1621100000.0,-3601300000.0,1308200000.0,60600000.0,-471800000.0,2270200000.0,1798400000.0,49877100000.0,92351000000.0,21165200000.0,10263400000.0,310900000.0,9952500000.0,35769100000.0,35389900000.0,379200000.0,,142228100000.0,195923600000.0,338151700000.0,338151700000.0
2024-03-31,560574715.866174,0.243622,81758400000.0,2301000000.0,2301000000.0,54602300000.0,8530000000.0,201743000000.0,84059400000.0,75529400000.0,-352400000.0,2051700000.0,1699300000.0,52861874715.86617,54602300000.0,286334400000.0,,958986355.0,958841696.0,56.94,56.95,54602300000.0,54602300000.0,0.0,54602300000.0,-974600000.0,55576900000.0,,55576900000.0,17900800000.0,73477700000.0,2476700000.0,4700000.0,-96700000.0,92000000.0,-352400000.0,2051700000.0,1699300000.0,67619800000.0,84591400000.0,18363200000.0,8530000000.0,273400000.0,8256600000.0,35342100000.0,34976500000.0,365600000.0,,152211200000.0,201743000000.0,353954200000.0,353954200000.0
2023-03-31,285503565.759567,0.262532,65578900000.0,1334100000.0,1087500000.0,41064500000.0,8580200000.0,212462900000.0,66913000000.0,58332800000.0,-236500000.0,1444500000.0,1208000000.0,40509103565.75957,41064500000.0,289026500000.0,,958934041.0,958868120.0,42.82,42.83,41064500000.0,41064500000.0,0.0,41064500000.0,-888800000.0,41953300000.0,,41953300000.0,14935000000.0,56888300000.0,877700000.0,-118600000.0,-162400000.0,34400000.0,-236500000.0,1444500000.0,1208000000.0,54860600000.0,76563600000.0,15648500000.0,8580200000.0,290900000.0,8289300000.0,32889900000.0,32536100000.0,353800000.0,,131424200000.0,212462900000.0,343887100000.0,343887100000.0
2022-03-31,297421093.817161,0.263368,49730900000.0,1264000000.0,1129300000.0,30305700000.0,8163600000.0,183775400000.0,50994900000.0,42831300000.0,-26900000.0,954100000.0,927200000.0,29608521093.81716,30305700000.0,250056800000.0,,959101018.0,959077302.0,31.59,31.59,30305700000.0,30305700000.0,0.0,30305700000.0,-542400000.0,30848100000.0,,30848100000.0,11029100000.0,41877200000.0,1056000000.0,360400000.0,-516600000.0,21500000.0,-26900000.0,954100000.0,927200000.0,39356700000.0,66281400000.0,13547100000.0,8163600000.0,288300000.0,7875300000.0,28223900000.0,27857900000.0,366000000.0,,105638100000.0,183775400000.0,289413500000.0,289413500000.0
2021-03-31,,,,,,,,,,,,,,,,,1317200000.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,1317200000.0,,,,
