,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Prepaid Assets,Inventory,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents
2024-12-31,28468430.0,268899805.0,297368235.0,19688000000.0,20820000000.0,6755000000.0,27639000000.0,-8112000000.0,6755000000.0,744000000.0,7563000000.0,26036000000.0,7735000000.0,172000000.0,7563000000.0,-802000000.0,-802000000.0,2081000000.0,2612000000.0,7831000000.0,3000000.0,3000000.0,0.0,29335000000.0,19518000000.0,375000000.0,,19143000000.0,670000000.0,18473000000.0,9817000000.0,90000000.0,5496000000.0,5496000000.0,1677000000.0,74000000.0,1603000000.0,1603000000.0,,2554000000.0,1635000000.0,,919000000.0,919000000.0,37070000000.0,35365000000.0,2049000000.0,808000000.0,,808000000.0,32508000000.0,-15309000000.0,47817000000.0,1048000000.0,677000000.0,1668000000.0,887000000.0,1705000000.0,670000000.0,11000000.0,,265000000.0,371000000.0,371000000.0,,,388000000.0,388000000.0
2023-12-31,28248125.0,256424261.0,284672386.0,20955000000.0,22130000000.0,3915000000.0,26176000000.0,-7609000000.0,3915000000.0,678000000.0,4724000000.0,24456000000.0,4899000000.0,175000000.0,4724000000.0,-674000000.0,-674000000.0,2069000000.0,-10000000.0,7474000000.0,3000000.0,3000000.0,0.0,30232000000.0,20831000000.0,486000000.0,,20345000000.0,613000000.0,19732000000.0,9401000000.0,35000000.0,5311000000.0,5311000000.0,1785000000.0,65000000.0,1720000000.0,1720000000.0,,2270000000.0,1478000000.0,,792000000.0,792000000.0,35131000000.0,33339000000.0,1805000000.0,809000000.0,,809000000.0,30725000000.0,-13810000000.0,44535000000.0,3052000000.0,611000000.0,1595000000.0,763000000.0,1792000000.0,617000000.0,25000000.0,,248000000.0,405000000.0,405000000.0,-6600000.0,411600000.0,497000000.0,497000000.0
2022-12-31,28018385.0,255238717.0,283257102.0,21456000000.0,23994000000.0,2060000000.0,26260000000.0,-5368000000.0,2060000000.0,603000000.0,2869000000.0,24172000000.0,2869000000.0,0.0,2869000000.0,-644000000.0,-644000000.0,2068000000.0,-1707000000.0,7285000000.0,3000000.0,3000000.0,0.0,30907000000.0,22334000000.0,508000000.0,,21826000000.0,523000000.0,21303000000.0,8573000000.0,131000000.0,4168000000.0,4168000000.0,2168000000.0,80000000.0,2088000000.0,2088000000.0,,2106000000.0,1459000000.0,388828000.0,647000000.0,647000000.0,33776000000.0,30571000000.0,1678000000.0,809000000.0,426378000.0,809000000.0,28084000000.0,-12529000000.0,40613000000.0,1061000000.0,538000000.0,1531000000.0,772000000.0,3205000000.0,456000000.0,59000000.0,,224000000.0,531000000.0,531000000.0,-11600000.0,542600000.0,1935000000.0,1935000000.0
2021-12-31,27882987.0,254820259.0,282703246.0,18388570000.0,21693988000.0,3841617000.0,26175896000.0,-3685412000.0,3841617000.0,603648000.0,5085556000.0,23932765000.0,5085556000.0,,5085556000.0,-710885000.0,-710885000.0,2065959000.0,302276000.0,7557297000.0,2827000.0,2827000.0,0.0,27172799000.0,19887116000.0,505181000.0,,19381935000.0,534726000.0,18847209000.0,7285683000.0,127236000.0,3160867000.0,3160867000.0,2312053000.0,68922000.0,2243131000.0,2243131000.0,0.0,1685527000.0,1139549000.0,251974000.0,545978000.0,545978000.0,32258355000.0,28658084000.0,964068000.0,1243939000.0,434556000.0,809383000.0,26450077000.0,-11179731000.0,37629808000.0,1180486000.0,542128000.0,1650249000.0,746785000.0,3600271000.0,286026000.0,54184000.0,286026000.0,150224000.0,408067000.0,408067000.0,-13411000.0,421478000.0,2701770000.0,2701770000.0
2020-12-31,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,409319000.0,,,252668000.0,,,,,,,444854000.0,,,,,,,,,,,,154339000.0,,,,-3867000.0,288016000.0,,
