,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investments And Advances,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Receivables,Notes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-12-31,266590000.0,203834000.0,470424000.0,2289781000.0,4092566000.0,-1704380000.0,2999645000.0,338509000.0,-1704380000.0,1352273000.0,259352000.0,2921482000.0,259352000.0,259352000.0,-74753000.0,-74753000.0,3094739000.0,399700000.0,2982102000.0,47042000.0,47042000.0,4775491000.0,4377860000.0,84227000.0,351807000.0,263420000.0,3941826000.0,1279696000.0,2662130000.0,397631000.0,141716000.0,150740000.0,72577000.0,78163000.0,78163000.0,45310000.0,2913000.0,56952000.0,,56952000.0,28497000.0,28455000.0,5034843000.0,4298703000.0,185399000.0,317054000.0,317054000.0,,,,1963732000.0,1192264000.0,771468000.0,1832518000.0,-925799000.0,2758317000.0,453381000.0,1028989000.0,,896366000.0,379581000.0,0.0,736140000.0,45563000.0,133610000.0,,6529000.0,99926000.0,13090000.0,86836000.0,-5153000.0,91989000.0,450512000.0,450512000.0,319212000.0,131300000.0
2023-12-31,265027000.0,205397000.0,470424000.0,2246027000.0,4139774000.0,-1683077000.0,3071843000.0,455723000.0,-1683077000.0,1377710000.0,309779000.0,3042593000.0,309779000.0,309779000.0,-58375000.0,-58375000.0,3048786000.0,409863000.0,2960035000.0,47042000.0,47042000.0,4873047000.0,4491117000.0,89711000.0,360485000.0,270353000.0,4040921000.0,1308107000.0,2732814000.0,381930000.0,163249000.0,98853000.0,69603000.0,29250000.0,29250000.0,44625000.0,19699000.0,55504000.0,,55504000.0,28134000.0,27370000.0,5182826000.0,4345173000.0,178577000.0,348109000.0,348109000.0,,,,1992856000.0,1219129000.0,773727000.0,1825631000.0,-868487000.0,2694118000.0,432051000.0,1024566000.0,,863867000.0,373634000.0,0.0,837653000.0,39640000.0,153603000.0,,6690000.0,121683000.0,16886000.0,104797000.0,-1538000.0,106335000.0,516037000.0,516037000.0,365901000.0,150136000.0
2022-12-31,257323000.0,213101000.0,470424000.0,2105557000.0,4281810000.0,-1556168000.0,3317166000.0,670284000.0,-1556168000.0,1430364000.0,465720000.0,3287916000.0,465720000.0,465720000.0,-64176000.0,-64176000.0,2869780000.0,414749000.0,2937885000.0,47042000.0,47042000.0,5033624000.0,4645625000.0,98849000.0,360652000.0,270421000.0,4186124000.0,1363928000.0,2822196000.0,387999000.0,178004000.0,95686000.0,66436000.0,29250000.0,29250000.0,39247000.0,907000.0,74155000.0,,74155000.0,30159000.0,43996000.0,5499344000.0,4441061000.0,170962000.0,363365000.0,363365000.0,12107000.0,12107000.0,33921000.0,2021888000.0,1248800000.0,773088000.0,1884846000.0,-798923000.0,2683769000.0,422330000.0,1065184000.0,314223000.0,824908000.0,371347000.0,0.0,1058283000.0,26963000.0,161876000.0,,7129000.0,116426000.0,17863000.0,98563000.0,-1707000.0,100270000.0,745889000.0,745889000.0,560682000.0,185207000.0
2021-12-31,254575000.0,215849000.0,470424000.0,2131228000.0,3856409000.0,-1619664000.0,2817071000.0,165924000.0,-1619664000.0,1475743000.0,436405000.0,2792821000.0,436405000.0,436405000.0,-48200000.0,-48200000.0,2805268000.0,344198000.0,2898633000.0,47042000.0,47042000.0,4664986000.0,4238061000.0,112918000.0,355812000.0,267710000.0,3769331000.0,1412915000.0,2356416000.0,426925000.0,206707000.0,87078000.0,62828000.0,24250000.0,24250000.0,63835000.0,,69305000.0,,69305000.0,28142000.0,41163000.0,5101391000.0,4508542000.0,139130000.0,349577000.0,299707000.0,10000000.0,10000000.0,39870000.0,2056069000.0,1280791000.0,775278000.0,1963766000.0,-736887000.0,2700653000.0,422094000.0,1120585000.0,282770000.0,787232000.0,370742000.0,0.0,592849000.0,30584000.0,187353000.0,30584000.0,5934000.0,119540000.0,18025000.0,101515000.0,-3229000.0,104744000.0,249438000.0,249438000.0,0.0,249438000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006000.0,,38361000.0,,,,,,,,,,,,,,,,,,,,255469000.0,,,,,,,89732000.0,,,,,,,,,,
