,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Taxes Refund Paid,Interest Received Cfo,Interest Paid Cfo,Dividend Received Cfo,Change In Working Capital,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Deferred Tax,Depreciation And Amortization,Amortization Cash Flow,Depreciation,Pension And Employee Benefit Expense,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-06-30,2685000000.0,0.0,-3128000000.0,4026000000.0,15000000.0,-1612000000.0,2178000000.0,21000000.0,1109000000.0,-35000000.0,1083000000.0,-1494000000.0,29000000.0,-2298000000.0,-2298000000.0,15000000.0,0.0,15000000.0,898000000.0,898000000.0,-3128000000.0,4026000000.0,-1720000000.0,24000000.0,143000000.0,-119000000.0,-1549000000.0,63000000.0,-1612000000.0,4297000000.0,-1114000000.0,181000000.0,-980000000.0,175000000.0,-77000000.0,442000000.0,-470000000.0,-49000000.0,747000000.0,999000000.0,1718000000.0,,1718000000.0,,,244000000.0,2538000000.0
2024-06-30,2595000000.0,-987000000.0,-2160000000.0,2612000000.0,21000000.0,-1510000000.0,1109000000.0,-30000000.0,1768000000.0,-33000000.0,-596000000.0,-3106000000.0,-233000000.0,-2242000000.0,-2242000000.0,-966000000.0,-987000000.0,21000000.0,452000000.0,452000000.0,-2160000000.0,2612000000.0,-1595000000.0,-52000000.0,87000000.0,-139000000.0,-1496000000.0,14000000.0,-1510000000.0,4105000000.0,-1099000000.0,156000000.0,-1017000000.0,269000000.0,-768000000.0,-546000000.0,-156000000.0,-66000000.0,881000000.0,1294000000.0,493000000.0,,493000000.0,,0.0,74000000.0,4166000000.0
2023-06-30,2219000000.0,-1673000000.0,-2102000000.0,3058000000.0,36000000.0,-1417000000.0,1768000000.0,,2675000000.0,-76000000.0,-831000000.0,-3041000000.0,-178000000.0,-2065000000.0,-2065000000.0,-1637000000.0,-1673000000.0,36000000.0,956000000.0,956000000.0,-2102000000.0,3058000000.0,-1426000000.0,43000000.0,559000000.0,-516000000.0,-1401000000.0,16000000.0,-1417000000.0,3636000000.0,-1443000000.0,157000000.0,-822000000.0,271000000.0,-1414000000.0,-746000000.0,-810000000.0,142000000.0,691000000.0,1163000000.0,1297000000.0,,1297000000.0,-25000000.0,0.0,-343000000.0,4479000000.0
2022-06-30,3756000000.0,-2985000000.0,-2622000000.0,3638000000.0,24000000.0,-1457000000.0,2675000000.0,,3665000000.0,-38000000.0,-952000000.0,-4373000000.0,-20000000.0,-2300000000.0,-2300000000.0,-2961000000.0,-2985000000.0,24000000.0,1016000000.0,1016000000.0,-2622000000.0,3638000000.0,-1792000000.0,-262000000.0,102000000.0,-364000000.0,-1434000000.0,23000000.0,-1457000000.0,5213000000.0,-1260000000.0,146000000.0,-582000000.0,238000000.0,-241000000.0,1245000000.0,-984000000.0,-502000000.0,548000000.0,1398000000.0,1064000000.0,54579856.394333,1064000000.0,-89000000.0,-112000000.0,96000000.0,4410000000.0
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30000000.0,0.0,,
