,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Provision For Doubtful Accounts,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-4558.009793,0.001017,-13921000000.0,-4480000.0,-4480000.0,-22657692000.0,7700681000.0,52420976000.0,-13925480000.0,-21626161000.0,55365000.0,798363000.0,853728000.0,-22653216558.009792,-22657692000.0,87605632000.0,1930423000.0,-21874073000.0,2054614522.0,2054614522.0,-11.03,-11.03,-22657692000.0,-22657692000.0,,-22657692000.0,-255983000.0,-22401709000.0,-22401709000.0,-22815000.0,-22424524000.0,-605816000.0,-98143000.0,-4480000.0,4480000.0,-503193000.0,55365000.0,798363000.0,853728000.0,-21874073000.0,28366835000.0,-411526000.0,409690000.0,-3761000.0,882860000.0,882860000.0,13037304000.0,14452268000.0,3408931000.0,11043337000.0,1707086000.0,1930423000.0,7405828000.0,6492762000.0,59238797000.0,65731559000.0,58234086000.0
2023-12-31,42548250.0,0.25,-15318140000.0,170193000.0,170193000.0,-21146967000.0,4907441000.0,48331365000.0,-15147947000.0,-20055388000.0,1806488000.0,403530000.0,2210018000.0,-21274611750.0,-21146967000.0,78273117000.0,1683929000.0,-22655184000.0,1700203886.0,1700203886.0,-12.44,-12.44,-21146967000.0,-21146967000.0,,-21146967000.0,-427214000.0,-20719753000.0,-20719753000.0,260835000.0,-20458918000.0,389778000.0,155191000.0,170193000.0,-170193000.0,64394000.0,1806488000.0,403530000.0,2210018000.0,-22655184000.0,25706980000.0,-608975000.0,290456000.0,-26315000.0,672669000.0,672669000.0,13431399000.0,11947746000.0,2642531000.0,9305215000.0,1691398000.0,1683929000.0,5929888000.0,3051796000.0,52566137000.0,55617933000.0,49257270000.0
2022-12-31,34583000.0,0.25,-10193062000.0,138332000.0,138332000.0,-14559445000.0,3994055000.0,40614876000.0,-10054730000.0,-14048785000.0,1025503000.0,333216000.0,1358719000.0,-14663194000.0,-14559445000.0,64909220000.0,1336575000.0,-15640659000.0,1636999280.0,1636999280.0,-8.89,-8.89,-14559445000.0,-14559445000.0,,-14559445000.0,-122341000.0,-14437104000.0,-14437104000.0,55103000.0,-14382001000.0,233155000.0,-282952000.0,138332000.0,-138332000.0,377775000.0,1025503000.0,333216000.0,1358719000.0,-15640659000.0,20784652000.0,-588728000.0,285076000.0,48707000.0,484363000.0,484363000.0,10836261000.0,9718973000.0,1775539000.0,7943434000.0,2074306000.0,1336575000.0,4532553000.0,5143993000.0,44124568000.0,49268561000.0,45506581000.0
2021-12-31,0.0,0.25,-985360000.0,0.0,0.0,-10572309000.0,2351914000.0,27300784000.0,-985360000.0,-3337274000.0,274423000.0,637410000.0,911833000.0,-10572309000.0,-10572309000.0,40632726000.0,845512000.0,-4496303000.0,1572702112.0,1572702112.0,-6.72,-6.72,-10572309000.0,-10572309000.0,6586579000.0,-10572309000.0,-6555360000.0,-4016949000.0,-4016949000.0,42265000.0,-3974684000.0,247196000.0,184686000.0,0.0,,62510000.0,274423000.0,637410000.0,911833000.0,-4496303000.0,11317736000.0,-152248000.0,198572000.0,54332000.0,337708000.0,337708000.0,4591852000.0,6287520000.0,1428290000.0,4859230000.0,1119410000.0,845512000.0,2894308000.0,6821433000.0,29314990000.0,36136423000.0,33169740000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
