,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Interest Paid Cff,Net Common Stock Issuance,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Other Investing Changes,Interest Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Taxes Refund Paid,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Depreciation And Amortization,Amortization Cash Flow,Depreciation,Gain Loss On Investment Securities,Gain Loss On Sale Of PPE,Net Income From Continuing Operations
2025-03-31,-9600700000.0,,,0.0,-34230400000.0,3554800000.0,3371200000.0,183600000.0,-2593000000.0,,-694500000.0,0.0,0.0,,,,,,,,-21853100000.0,52000000.0,1031000000.0,11236000000.0,60719500000.0,-49483500000.0,,,-34172100000.0,58300000.0,-34230400000.0,24629700000.0,-9592300000.0,-11127100000.0,861700000.0,-1606600000.0,860000000.0,-11170600000.0,125800000.0,-234200000.0,307200000.0,8695200000.0,82000000.0,8613200000.0,-217600000.0,71800000.0,36726700000.0
2024-03-31,145900000.0,,,748100000.0,-27312500000.0,3371200000.0,2071500000.0,1299700000.0,-1476400000.0,,-581300000.0,748100000.0,748100000.0,,,,,,,,-24682300000.0,49000000.0,2622900000.0,-136200000.0,43238100000.0,-43374300000.0,,,-27218000000.0,94500000.0,-27312500000.0,27458400000.0,-7417700000.0,-6437700000.0,143800000.0,-1026600000.0,2310200000.0,-6838300000.0,-1042100000.0,-543100000.0,188400000.0,7307600000.0,67900000.0,7239700000.0,-271100000.0,18700000.0,34613300000.0
2023-03-31,4183200000.0,0.0,0.0,146300000.0,-22119500000.0,2071500000.0,951200000.0,1120300000.0,-2051400000.0,9100000.0,-674100000.0,146300000.0,146300000.0,0.0,0.0,0.0,0.0,,,,-23131000000.0,46900000.0,387200000.0,-1500200000.0,430600000.0,-1930800000.0,-2424100000.0,-2424100000.0,-22064900000.0,54600000.0,-22119500000.0,26302700000.0,-7088900000.0,-3198800000.0,557600000.0,-536700000.0,1645900000.0,-5008200000.0,47300000.0,-448400000.0,120100000.0,6388700000.0,60000000.0,6328700000.0,-88300000.0,17400000.0,30600900000.0
2022-03-31,-10380700000.0,-2480000000.0,2480000000.0,0.0,-24104200000.0,951200000.0,1915000000.0,-963800000.0,-1792400000.0,,-537900000.0,0.0,0.0,0.0,0.0,-2480000000.0,2480000000.0,0.0,0.0,,-12894900000.0,35500000.0,428000000.0,10536600000.0,10536600000.0,0.0,-1300000000.0,-1300000000.0,-23895000000.0,209200000.0,-24104200000.0,13723500000.0,-5602500000.0,-5824900000.0,107000000.0,-955200000.0,110700000.0,-4943800000.0,-233100000.0,-537200000.0,64200000.0,4980800000.0,187000000.0,4793800000.0,-36600000.0,38500000.0,20641200000.0
2021-03-31,,-2377300000.0,2000000000.0,,,,,,,,,,,-377300000.0,-37300000.0,-2037300000.0,2000000000.0,-340000000.0,-340000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
