,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Foreign Currency Translation Adjustments,Minimum Pension Liabilities,Unrealized Gain Loss,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Accounts Receivable,Investments And Advances,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,673664306.0,1769012274.0,2442676580.0,17156000000.0,24541000000.0,147740000000.0,176255000000.0,2353000000.0,147740000000.0,604000000.0,152318000000.0,171907000000.0,153157000000.0,839000000.0,152318000000.0,-3000000000.0,-14000000.0,-259000000.0,-2708000000.0,-19000000.0,74037000000.0,205852000000.0,21671000000.0,1832000000.0,1832000000.0,0.0,103781000000.0,65223000000.0,22094000000.0,3857000000.0,19137000000.0,,19137000000.0,20135000000.0,546000000.0,19589000000.0,38558000000.0,4406000000.0,58000000.0,4348000000.0,4348000000.0,34152000000.0,8486000000.0,25666000000.0,3587000000.0,1872000000.0,22079000000.0,256938000000.0,216027000000.0,15335000000.0,,877000000.0,47438000000.0,4578000000.0,4578000000.0,147799000000.0,-198134000000.0,345933000000.0,40911000000.0,4368000000.0,,9074000000.0,6992000000.0,2082000000.0,20684000000.0,20684000000.0,-259000000.0,20943000000.0,6785000000.0,4000000.0,6781000000.0
2023-12-31,591196776.0,1851479804.0,2442676580.0,12024000000.0,20836000000.0,156235000000.0,181159000000.0,8870000000.0,156235000000.0,634000000.0,160957000000.0,180690000000.0,161929000000.0,972000000.0,160957000000.0,-3200000000.0,5000000.0,-192000000.0,-3002000000.0,-11000000.0,59065000000.0,200025000000.0,21365000000.0,1832000000.0,1832000000.0,0.0,99703000000.0,67445000000.0,24226000000.0,4082000000.0,18830000000.0,,18830000000.0,20307000000.0,574000000.0,19733000000.0,32258000000.0,529000000.0,60000000.0,469000000.0,469000000.0,31729000000.0,7655000000.0,24074000000.0,3651000000.0,1863000000.0,20423000000.0,261632000000.0,220504000000.0,14409000000.0,,942000000.0,46812000000.0,4722000000.0,4722000000.0,153619000000.0,-192462000000.0,346081000000.0,41128000000.0,4372000000.0,,8612000000.0,6465000000.0,2147000000.0,19921000000.0,19921000000.0,-301000000.0,20222000000.0,8223000000.0,45000000.0,8178000000.0
2022-12-31,541628237.0,1901048343.0,2442676580.0,5213000000.0,23339000000.0,154560000000.0,182173000000.0,16135000000.0,154560000000.0,448000000.0,159282000000.0,180254000000.0,160242000000.0,960000000.0,159282000000.0,-3038000000.0,-12000000.0,-203000000.0,-2811000000.0,-12000000.0,48196000000.0,190024000000.0,18660000000.0,1832000000.0,1832000000.0,0.0,97467000000.0,63259000000.0,20396000000.0,4357000000.0,17131000000.0,20396000000.0,17131000000.0,21375000000.0,403000000.0,20972000000.0,34208000000.0,1964000000.0,45000000.0,1919000000.0,1919000000.0,32244000000.0,7486000000.0,24758000000.0,5803000000.0,4381000000.0,18955000000.0,257709000000.0,207366000000.0,12746000000.0,12310000000.0,1069000000.0,45238000000.0,4722000000.0,4722000000.0,143591000000.0,-184194000000.0,327785000000.0,50343000000.0,3739000000.0,3739000000.0,8247000000.0,6381000000.0,1866000000.0,20456000000.0,20456000000.0,-457000000.0,20913000000.0,17901000000.0,223000000.0,17678000000.0
2021-12-31,527038523.0,1915638057.0,2442676580.0,25232000000.0,31369000000.0,134682000000.0,169939000000.0,6947000000.0,134682000000.0,497000000.0,139067000000.0,169731000000.0,139940000000.0,873000000.0,139067000000.0,-4129000000.0,-3889000000.0,-162000000.0,-3956000000.0,-11000000.0,41464000000.0,165546000000.0,17282000000.0,1832000000.0,1832000000.0,0.0,99595000000.0,72804000000.0,20778000000.0,6248000000.0,14665000000.0,20778000000.0,14665000000.0,31113000000.0,449000000.0,30664000000.0,26791000000.0,256000000.0,48000000.0,208000000.0,208000000.0,26535000000.0,6972000000.0,19563000000.0,3109000000.0,1700000000.0,16454000000.0,239535000000.0,205797000000.0,13152000000.0,12384000000.0,603000000.0,40696000000.0,4385000000.0,4385000000.0,146961000000.0,-189084000000.0,336045000000.0,33738000000.0,2849000000.0,2849000000.0,6795000000.0,4813000000.0,1982000000.0,18419000000.0,18419000000.0,-303000000.0,18722000000.0,5675000000.0,35000000.0,5640000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20328000000.0,,,,,,,,,,,,,,,,,,,11950000000.0,,,,,,,,,,3304000000.0,,,,,,,,,,
