,Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Dueto Related Parties Current,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Duefrom Related Parties Current,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,58000000.0,1622000000.0,1680000000.0,2212000000.0,13799000000.0,59289000000.0,11768000000.0,13799000000.0,491000000.0,57568000000.0,59289000000.0,57568000000.0,57568000000.0,-69000000.0,-69000000.0,6106000000.0,2364000000.0,61362000000.0,17000000.0,17000000.0,11658000000.0,4377000000.0,1816000000.0,349000000.0,349000000.0,2212000000.0,491000000.0,1721000000.0,7281000000.0,555000000.0,,,,,,1174000000.0,5552000000.0,3086000000.0,2466000000.0,476000000.0,1990000000.0,69226000000.0,50177000000.0,3146000000.0,,688000000.0,688000000.0,149000000.0,149000000.0,43769000000.0,18930000000.0,24839000000.0,2425000000.0,-2173000000.0,4598000000.0,,324000000.0,3421000000.0,,,,853000000.0,19049000000.0,1250000000.0,,5734000000.0,1094000000.0,4289000000.0,351000000.0,6933000000.0,628000000.0,113000000.0,6192000000.0,5132000000.0,1345000000.0,3787000000.0
2023-12-31,47000000.0,1616000000.0,1663000000.0,3003000000.0,10267000000.0,58360000000.0,10079000000.0,10267000000.0,535000000.0,55892000000.0,57609000000.0,55892000000.0,55892000000.0,-10000000.0,-10000000.0,4514000000.0,723000000.0,59676000000.0,17000000.0,17000000.0,11993000000.0,5304000000.0,1850000000.0,1202000000.0,1202000000.0,2252000000.0,535000000.0,1717000000.0,6689000000.0,438000000.0,544000000.0,544000000.0,751000000.0,751000000.0,751000000.0,884000000.0,4616000000.0,2198000000.0,2418000000.0,363000000.0,2055000000.0,67885000000.0,51117000000.0,2805000000.0,,366000000.0,366000000.0,99000000.0,99000000.0,45625000000.0,21363000000.0,24262000000.0,2222000000.0,-1787000000.0,4009000000.0,,209000000.0,2979000000.0,,,,821000000.0,16768000000.0,1259000000.0,,4351000000.0,812000000.0,3260000000.0,279000000.0,5385000000.0,1053000000.0,9000000.0,4323000000.0,5773000000.0,1840000000.0,3933000000.0
2022-12-31,33000000.0,1612000000.0,1645000000.0,2863000000.0,6455000000.0,57217000000.0,8650000000.0,6455000000.0,396000000.0,54750000000.0,57217000000.0,54750000000.0,54750000000.0,-41000000.0,-41000000.0,3099000000.0,-131000000.0,58005000000.0,16000000.0,16000000.0,12830000000.0,6461000000.0,1664000000.0,1934000000.0,1934000000.0,2863000000.0,396000000.0,2467000000.0,6369000000.0,336000000.0,859000000.0,859000000.0,,,,701000000.0,5332000000.0,2376000000.0,2956000000.0,463000000.0,2493000000.0,67580000000.0,52561000000.0,2152000000.0,1252000000.0,58000000.0,58000000.0,83000000.0,83000000.0,48295000000.0,24118000000.0,24177000000.0,1973000000.0,-1507000000.0,3480000000.0,,143000000.0,2623000000.0,2163000000.0,594000000.0,120000000.0,714000000.0,15019000000.0,1265000000.0,,3771000000.0,892000000.0,2648000000.0,231000000.0,4128000000.0,,2000000.0,4126000000.0,5855000000.0,1020000000.0,4835000000.0
2021-12-31,25000000.0,1207000000.0,1232000000.0,661000000.0,6885000000.0,7810000000.0,4343000000.0,6885000000.0,348000000.0,7497000000.0,7498000000.0,7497000000.0,7497000000.0,-3000000.0,-3000000.0,2130000000.0,-1451000000.0,11069000000.0,12000000.0,12000000.0,4922000000.0,682000000.0,321000000.0,12000000.0,12000000.0,349000000.0,348000000.0,1000000.0,4240000000.0,98000000.0,314000000.0,314000000.0,312000000.0,312000000.0,312000000.0,705000000.0,3125000000.0,1719000000.0,1406000000.0,85000000.0,1321000000.0,12419000000.0,3836000000.0,239000000.0,916000000.0,931000000.0,931000000.0,69000000.0,69000000.0,612000000.0,323000000.0,289000000.0,1069000000.0,-1134000000.0,2203000000.0,206000000.0,96000000.0,1901000000.0,1534000000.0,206000000.0,0.0,0.0,8583000000.0,312000000.0,312000000.0,1955000000.0,197000000.0,1676000000.0,82000000.0,2708000000.0,,2000000.0,2706000000.0,3608000000.0,1073000000.0,2535000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,208000000.0,,,1209000000.0,208000000.0,,,,,378000000.0,,,,,,,,,,,
