,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Net Intangibles Purchase And Sale,Sale Of Intangibles,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Unrealized Gain Loss On Investment Securities,Provisionand Write Offof Assets,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Net Income From Continuing Operations
2024-12-31,2556844000.0,0.0,1246025000.0,,68543000.0,0.0,14610442000.0,9555429000.0,-48367000.0,5103380000.0,2828921000.0,2828921000.0,1440330000.0,142566000.0,1246025000.0,0.0,0.0,0.0,1246025000.0,0.0,1246025000.0,-282385000.0,-282385000.0,-282385000.0,0.0,0.0,0.0,0.0,,,,,,,,,2556844000.0,2556844000.0,-478002000.0,-478002000.0,,,,,,,,,-67553000.0,912838000.0,0.0,,18717000.0,151315000.0,151315000.0,127518000.0,127518000.0,-687055000.0,-687055000.0,,,2579066000.0
2023-12-31,922951000.0,-355655000.0,31640000.0,-63202000.0,76142000.0,39122000.0,9555429000.0,9429646000.0,8772000.0,117011000.0,-811332000.0,-811332000.0,-551558000.0,64241000.0,-324015000.0,-20482000.0,-52122000.0,31640000.0,-303533000.0,-303533000.0,0.0,5392000.0,5392000.0,-147836000.0,183958000.0,461325000.0,-277367000.0,-30730000.0,,0.0,,0.0,,,,-63202000.0,922951000.0,922951000.0,326206000.0,326206000.0,,,,,,,,,-65283000.0,780668000.0,-145594000.0,11059000.0,126158000.0,-216334000.0,-216334000.0,139642000.0,139642000.0,-117383000.0,-91154000.0,17190000.0,,94871000.0
2022-12-31,-1585419000.0,-191073000.0,190956000.0,-63971000.0,82399000.0,35888000.0,9429646000.0,17680662000.0,-163257000.0,-8087759000.0,-5838518000.0,-5838518000.0,-5914425000.0,76024000.0,-117000.0,-117000.0,-191073000.0,190956000.0,0.0,0.0,0.0,-663822000.0,-663822000.0,-46825000.0,-430847000.0,969185000.0,-1400032000.0,-186150000.0,,0.0,,0.0,-2850000.0,83000.0,-2933000.0,-61038000.0,-1585419000.0,-1585419000.0,-1031448000.0,-1031448000.0,-110994000.0,-828901000.0,18612000.0,18612000.0,18612000.0,28952000.0,-139117000.0,-141023000.0,-2915000.0,1565823000.0,-36666000.0,-13051000.0,858702000.0,-468035000.0,-468035000.0,154069000.0,154069000.0,38924000.0,10466000.0,28516000.0,-58000.0,-2624949000.0
2021-12-31,3955299000.0,0.0,3399764000.0,-82873000.0,3793000.0,68614000.0,17680662000.0,4856029000.0,-64883000.0,12889516000.0,9976084000.0,9976084000.0,6339367000.0,236953000.0,3399764000.0,20000000.0,0.0,20000000.0,3379764000.0,0.0,3379764000.0,-1124740000.0,-1124740000.0,-209389000.0,-761567000.0,2574032000.0,-3335599000.0,-70911000.0,,-60800000.0,,-60800000.0,-2879000.0,31000.0,-2910000.0,-22073000.0,4038172000.0,4038172000.0,141438000.0,141438000.0,281800000.0,-97531000.0,27330000.0,27330000.0,27330000.0,-36527000.0,-8016000.0,28511000.0,-160063000.0,820685000.0,-178234000.0,22390000.0,329652000.0,-558329000.0,-558329000.0,63651000.0,63651000.0,-67138000.0,-52194000.0,-14944000.0,1425000.0,3624120000.0
2020-12-31,,,,-18802000.0,,,,,,,,,,,,,,,,,,,,,,,,,33615000.0,0.0,574115000.0,0.0,-9913000.0,0.0,-9913000.0,-8889000.0,,,,,-18600000.0,-10741000.0,6090000.0,6090000.0,6090000.0,,-157156000.0,-157156000.0,,,,-2966000.0,,,,,,,,1057000.0,355000.0,
