,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Interest Paid Cff,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Interest Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Taxes Refund Paid,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Inventory,Change In Receivables,Other Non Cash Items,Provisionand Write Offof Assets,Depreciation And Amortization,Amortization Cash Flow,Depreciation,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Net Income From Continuing Operations
2025-03-31,14715300000.0,,,-2427500000.0,8925400000.0,310400000.0,,8615000000.0,-8918900000.0,-25000000.0,-4109100000.0,-4756500000.0,,,,391100000.0,1759900000.0,1057000000.0,1057000000.0,,0.0,,0.0,-2425800000.0,1700000.0,-2427500000.0,17142800000.0,-2034600000.0,212500000.0,-1685800000.0,-11900000.0,-589900000.0,2431700000.0,1769800000.0,-6800000.0,4702000000.0,156500000.0,4545500000.0,344200000.0,,-700000.0,12156100000.0
2024-03-31,17285100000.0,,,-1986900000.0,310400000.0,586100000.0,,-275700000.0,-9638200000.0,-25000000.0,-4466200000.0,-5122800000.0,,,,-9909500000.0,147000000.0,-8069700000.0,,-8069700000.0,0.0,,0.0,-1986800000.0,100000.0,-1986900000.0,19272000000.0,-89100000.0,-1106800000.0,-6982500000.0,4387800000.0,1886400000.0,-415900000.0,4100100000.0,314100000.0,4651100000.0,156500000.0,4494600000.0,-3337600000.0,,2201300000.0,12491900000.0
2023-03-31,6476100000.0,,,-1198300000.0,586100000.0,619400000.0,,-33300000.0,-8796600000.0,-25000000.0,-5488100000.0,-3260900000.0,,,,1088900000.0,138700000.0,2146800000.0,2146800000.0,,0.0,0.0,0.0,-1196600000.0,1700000.0,-1198300000.0,7674400000.0,-61200000.0,-4065400000.0,3756900000.0,-3526500000.0,-1934900000.0,-2370500000.0,5398600000.0,-1049600000.0,4642000000.0,,4642000000.0,430100000.0,,17800000.0,2321000000.0
2022-03-31,7420200000.0,,,-1030500000.0,619400000.0,401900000.0,0.0,217500000.0,-7107700000.0,-25000000.0,-5496200000.0,-1565200000.0,,,,-1125500000.0,882600000.0,-1008600000.0,,-1008600000.0,28100000.0,28100000.0,0.0,-1027600000.0,2900000.0,-1030500000.0,8450700000.0,45300000.0,-2895000000.0,5069800000.0,-3403600000.0,-3187600000.0,-1393000000.0,4623600000.0,-87400000.0,4812800000.0,156500000.0,4812800000.0,-1221500000.0,0.0,68000000.0,3104600000.0
2021-03-31,,-5583900000.0,0.0,,,,0.0,,,,,,-5583900000.0,-5583900000.0,0.0,,,,,-412200000.0,,3516500000.0,,,,,,,,,,,,,,,156500000.0,,,0.0,,
