,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Other Cash Adjustment Inside Changein Cash,Financing Cash Flow,Net Other Financing Charges,Interest Paid Cff,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net Intangibles Purchase And Sale,Sale Of Intangibles,Purchase Of Intangibles,Operating Cash Flow,Taxes Refund Paid,Interest Received Cfo,Dividend Received Cfo,Change In Working Capital,Change In Other Current Assets,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Deferred Tax,Depreciation And Amortization,Amortization Cash Flow,Depreciation,Gain Loss On Investment Securities,Net Income From Continuing Operations
2024-09-30,9577000000.0,-3765000000.0,-6045000000.0,6688000000.0,,-2088000000.0,9156000000.0,,10084000000.0,-220000000.0,-708000000.0,-211000000.0,-8880000000.0,-19000000.0,-1462000000.0,-3709000000.0,-3709000000.0,-3765000000.0,-3765000000.0,,464000000.0,-179000000.0,643000000.0,-6045000000.0,6688000000.0,-3282000000.0,-1294000000.0,216000000.0,1158000000.0,-942000000.0,-353000000.0,60000000.0,-413000000.0,-1851000000.0,237000000.0,-2088000000.0,11665000000.0,-3463000000.0,2683000000.0,294000000.0,68000000.0,2024000000.0,-458000000.0,-81000000.0,-1417000000.0,-835000000.0,2320000000.0,3158000000.0,3158000000.0,,-918000000.0,8907000000.0
2023-09-30,10093000000.0,-1298000000.0,-5246000000.0,2470000000.0,,-2146000000.0,10084000000.0,1000000.0,10472000000.0,-721000000.0,332000000.0,0.0,-8731000000.0,3000000.0,-1208000000.0,-3362000000.0,-3362000000.0,-1298000000.0,-1298000000.0,,-2477000000.0,299000000.0,-2776000000.0,-5246000000.0,2470000000.0,-3176000000.0,-1250000000.0,23000000.0,746000000.0,-723000000.0,-39000000.0,368000000.0,-407000000.0,-1910000000.0,236000000.0,-2146000000.0,12239000000.0,-2767000000.0,2205000000.0,258000000.0,1040000000.0,4177000000.0,170000000.0,-1311000000.0,-1996000000.0,-1689000000.0,2600000000.0,3544000000.0,3544000000.0,,-979000000.0,8526000000.0
2022-09-30,8157000000.0,-1870000000.0,-6663000000.0,4969000000.0,,-2084000000.0,10465000000.0,-1000000.0,9545000000.0,679000000.0,242000000.0,-7000000.0,-7502000000.0,,-824000000.0,-3215000000.0,-3215000000.0,-1870000000.0,-1870000000.0,,-1239000000.0,455000000.0,-1694000000.0,-6663000000.0,4969000000.0,-2490000000.0,-1122000000.0,569000000.0,1973000000.0,-1404000000.0,-129000000.0,2078000000.0,-2207000000.0,-1808000000.0,276000000.0,-2084000000.0,10241000000.0,-2173000000.0,1481000000.0,348000000.0,-2046000000.0,-538000000.0,1352000000.0,-1456000000.0,-1404000000.0,1961000000.0,2741000000.0,3561000000.0,3561000000.0,3561000000.0,432000000.0,4413000000.0
2021-09-30,8266000000.0,-547000000.0,-4294000000.0,8316000000.0,2055000000.0,-1730000000.0,9545000000.0,,14054000000.0,204000000.0,-4713000000.0,0.0,785000000.0,,-704000000.0,-2804000000.0,-2804000000.0,1508000000.0,-547000000.0,2055000000.0,3070000000.0,-952000000.0,4022000000.0,-4294000000.0,8316000000.0,-15494000000.0,1065000000.0,-538000000.0,985000000.0,-1523000000.0,-14389000000.0,2000000.0,-14391000000.0,-1632000000.0,98000000.0,-1730000000.0,9996000000.0,-2324000000.0,1369000000.0,238000000.0,1216000000.0,2535000000.0,1286000000.0,-444000000.0,-2161000000.0,-210000000.0,1861000000.0,3075000000.0,,3075000000.0,-286000000.0,5635000000.0
