,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Total Other Finance Cost,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-05-31,0.0,0.171,4510000000.0,3219000000.0,808000000.0,26519000000.0,4510000000.0,3702000000.0,107000000.0,3219000000.0,3219000000.0,42607000000.0,1487600000.0,1484900000.0,2.16,2.17,3219000000.0,3219000000.0,3219000000.0,3219000000.0,3219000000.0,666000000.0,3885000000.0,76000000.0,76000000.0,107000000.0,-107000000.0,3702000000.0,16088000000.0,,16088000000.0,4689000000.0,11399000000.0,11399000000.0,19790000000.0,26519000000.0,46309000000.0,46309000000.0
2024-05-31,0.0,0.149,7155000000.0,5700000000.0,844000000.0,28475000000.0,7155000000.0,6311000000.0,161000000.0,5700000000.0,5700000000.0,45051000000.0,1529700000.0,1517600000.0,3.73,3.76,5700000000.0,5700000000.0,5700000000.0,5700000000.0,5700000000.0,1000000000.0,6700000000.0,228000000.0,228000000.0,161000000.0,-161000000.0,6311000000.0,16576000000.0,,16576000000.0,4285000000.0,12291000000.0,12291000000.0,22887000000.0,28475000000.0,51362000000.0,51362000000.0
2023-05-31,0.0,0.182,6774000000.0,5070000000.0,859000000.0,28925000000.0,6774000000.0,5915000000.0,6000000.0,5070000000.0,5070000000.0,45302000000.0,1569800000.0,1551600000.0,3.23,3.27,5070000000.0,5070000000.0,5070000000.0,5070000000.0,5070000000.0,1131000000.0,6201000000.0,280000000.0,280000000.0,6000000.0,-6000000.0,5915000000.0,16377000000.0,12317000000.0,16377000000.0,4060000000.0,12317000000.0,12317000000.0,22292000000.0,28925000000.0,51217000000.0,51217000000.0
2022-05-31,0.0,0.091,7515000000.0,6046000000.0,840000000.0,25231000000.0,7515000000.0,6675000000.0,-205000000.0,6046000000.0,6046000000.0,40035000000.0,1610800000.0,1578800000.0,3.75,3.83,6046000000.0,6046000000.0,6046000000.0,6046000000.0,6046000000.0,605000000.0,6651000000.0,181000000.0,181000000.0,-205000000.0,205000000.0,6675000000.0,14804000000.0,10954000000.0,14804000000.0,3850000000.0,10954000000.0,10954000000.0,21479000000.0,25231000000.0,46710000000.0,46710000000.0
2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9911000000.0,,,,,,,,
