,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Provisionand Write Offof Assets,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Pension And Employee Benefit Expense,Earnings Losses From Equity Investments,Net Income From Continuing Operations
2024-12-31,18922000000.0,-20344000000.0,15568000000.0,-17990000000.0,5505000000.0,5632000000.0,4635000000.0,3497000000.0,1138000000.0,-17100000000.0,-17100000000.0,-1075000000.0,-11249000000.0,-11249000000.0,-4776000000.0,0.0,,0.0,-4776000000.0,-20344000000.0,15568000000.0,-18674000000.0,-18674000000.0,28000000.0,-712000000.0,,0.0,0.0,0.0,-900000000.0,-900000000.0,-17090000000.0,36912000000.0,36912000000.0,-2278000000.0,1109000000.0,1109000000.0,1109000000.0,-626000000.0,-196000000.0,-2565000000.0,-2565000000.0,173000000.0,2338000000.0,0.0,815000000.0,815000000.0,17892000000.0,17892000000.0,2781000000.0,2781000000.0,15112000000.0,23000000.0,-52000000.0,75000000.0,17949000000.0
2023-12-31,12912000000.0,-10624000000.0,8612000000.0,-24563000000.0,4384000000.0,2343000000.0,3497000000.0,4111000000.0,-614000000.0,-14657000000.0,-14657000000.0,-1470000000.0,-11025000000.0,-11025000000.0,-2162000000.0,-150000000.0,-150000000.0,,-2012000000.0,-10624000000.0,8612000000.0,-23432000000.0,-23432000000.0,281000000.0,880000000.0,,-30000000.0,0.0,-30000000.0,-5796000000.0,-5796000000.0,-18767000000.0,37475000000.0,37475000000.0,-267000000.0,2079000000.0,2079000000.0,2079000000.0,-435000000.0,287000000.0,-2198000000.0,-2198000000.0,-3710000000.0,2214000000.0,5841000000.0,2388000000.0,2388000000.0,17624000000.0,17624000000.0,2687000000.0,2687000000.0,14937000000.0,1290000000.0,1206000000.0,84000000.0,12095000000.0
2022-12-31,10401000000.0,-13564000000.0,17806000000.0,-26740000000.0,3316000000.0,2736000000.0,4111000000.0,4161000000.0,-50000000.0,-8529000000.0,-8529000000.0,-2072000000.0,-10805000000.0,-10805000000.0,4348000000.0,106000000.0,,106000000.0,4242000000.0,-13564000000.0,17806000000.0,-28662000000.0,-28662000000.0,62000000.0,-2265000000.0,-2265000000.0,281000000.0,281000000.0,,-3653000000.0,-3653000000.0,-23087000000.0,37141000000.0,37141000000.0,-456000000.0,-33000000.0,-33000000.0,-33000000.0,928000000.0,627000000.0,-1978000000.0,-1978000000.0,-3778000000.0,1611000000.0,0.0,2973000000.0,2973000000.0,17099000000.0,17099000000.0,2507000000.0,2507000000.0,14592000000.0,-2056000000.0,-2046000000.0,-10000000.0,21748000000.0
2021-12-31,-28343000000.0,-18863000000.0,41417000000.0,-67882000000.0,,,4161000000.0,23498000000.0,-19337000000.0,8277000000.0,8277000000.0,-3832000000.0,-10445000000.0,-10445000000.0,22554000000.0,0.0,,0.0,22554000000.0,-18863000000.0,41417000000.0,-67153000000.0,-67153000000.0,693000000.0,-21000000.0,-21000000.0,57000000.0,4122000000.0,-4065000000.0,-47596000000.0,-47596000000.0,-20286000000.0,39539000000.0,39539000000.0,-890000000.0,1457000000.0,1457000000.0,1457000000.0,150000000.0,-905000000.0,-1592000000.0,-1592000000.0,-93000000.0,789000000.0,0.0,4264000000.0,4264000000.0,16206000000.0,16206000000.0,2087000000.0,2087000000.0,14119000000.0,-3355000000.0,-3391000000.0,36000000.0,22618000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-520000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
