,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Pension And Employee Benefit Expense,Earnings Losses From Equity Investments,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2024-12-31,13942000000.0,0.0,-5873000000.0,15969000000.0,-1248000000.0,10347000000.0,11519000000.0,-137000000.0,-1035000000.0,5127000000.0,5127000000.0,,-106000000.0,-4863000000.0,-4863000000.0,0.0,0.0,10096000000.0,86000000.0,-3000000000.0,3086000000.0,10010000000.0,-2873000000.0,12883000000.0,-21352000000.0,-21352000000.0,618000000.0,1387000000.0,-769000000.0,-20722000000.0,1099000000.0,-21821000000.0,-1248000000.0,15190000000.0,15190000000.0,810000000.0,2108000000.0,-1076000000.0,-1076000000.0,184000000.0,-1260000000.0,-1260000000.0,-486000000.0,264000000.0,13467000000.0,507000000.0,2963000000.0,-2089000000.0,-2089000000.0,9600000000.0,9600000000.0,-1135000000.0,,-16000000.0,-1119000000.0,-8933000000.0
2023-12-31,12651000000.0,-5155000000.0,-3999000000.0,4455000000.0,-1209000000.0,11519000000.0,9325000000.0,45000000.0,2149000000.0,-9416000000.0,-9416000000.0,,27000000.0,-4744000000.0,-4744000000.0,-5155000000.0,-5155000000.0,456000000.0,-120000000.0,-120000000.0,0.0,576000000.0,-3879000000.0,4455000000.0,-2295000000.0,-2295000000.0,-826000000.0,948000000.0,-1774000000.0,-260000000.0,909000000.0,-1169000000.0,-1209000000.0,13860000000.0,13860000000.0,-1914000000.0,237000000.0,-405000000.0,-405000000.0,198000000.0,-603000000.0,-603000000.0,-751000000.0,-995000000.0,1213000000.0,518000000.0,255000000.0,-3288000000.0,-3288000000.0,9760000000.0,9760000000.0,-724000000.0,,160000000.0,-884000000.0,8040000000.0
2022-12-31,11948000000.0,-8001000000.0,-11431000000.0,6120000000.0,-1118000000.0,9325000000.0,14316000000.0,-33000000.0,-4958000000.0,-16962000000.0,-16962000000.0,,984000000.0,-4634000000.0,-4634000000.0,-8001000000.0,-8001000000.0,-5311000000.0,194000000.0,0.0,194000000.0,-5505000000.0,-11431000000.0,5926000000.0,-1062000000.0,-1062000000.0,3037000000.0,6629000000.0,-3592000000.0,-2981000000.0,1305000000.0,-4286000000.0,-1118000000.0,13066000000.0,13066000000.0,-2229000000.0,-183000000.0,-1314000000.0,-1314000000.0,109000000.0,-1423000000.0,-1423000000.0,-69000000.0,-663000000.0,1038000000.0,457000000.0,179000000.0,-2738000000.0,-2738000000.0,10276000000.0,10276000000.0,-262000000.0,,801000000.0,-1063000000.0,6345000000.0
2021-12-31,15234000000.0,-6287000000.0,-6022000000.0,0.0,-973000000.0,14316000000.0,14973000000.0,-102000000.0,-555000000.0,-16224000000.0,-16224000000.0,641000000.0,641000000.0,-4396000000.0,-4396000000.0,-6287000000.0,-6287000000.0,-6182000000.0,-160000000.0,,,-6022000000.0,-6022000000.0,0.0,-538000000.0,-538000000.0,1297000000.0,6775000000.0,-5478000000.0,-862000000.0,748000000.0,-1610000000.0,-973000000.0,16207000000.0,16207000000.0,-1261000000.0,598000000.0,-818000000.0,-818000000.0,245000000.0,-1063000000.0,-1063000000.0,13000000.0,-1054000000.0,800000000.0,583000000.0,1207000000.0,-1393000000.0,-1393000000.0,10686000000.0,10686000000.0,-1429000000.0,35000000.0,-745000000.0,-684000000.0,7014000000.0
2020-12-31,,,,,,,,,,,,542000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43000000.0,,,
