,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash From Discontinued Financing Activities,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash From Discontinued Investing Activities,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Capital Expenditure Reported,Operating Cash Flow,Cash From Discontinued Operating Activities,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Earnings Losses From Equity Investments,Gain Loss On Investment Securities,Net Income From Continuing Operations
2024-12-31,18096000000.0,-1306000000.0,-1290000000.0,3599000000.0,-3372000000.0,13318000000.0,,6909000000.0,-293000000.0,6702000000.0,-7032000000.0,,-7032000000.0,-372000000.0,177000000.0,-7840000000.0,-7840000000.0,-1306000000.0,-1306000000.0,2309000000.0,,2309000000.0,-1290000000.0,3599000000.0,-7734000000.0,,-7734000000.0,-127000000.0,-142000000.0,377000000.0,-519000000.0,-4093000000.0,-4093000000.0,-3372000000.0,21468000000.0,,21468000000.0,-3667000000.0,-1416000000.0,-49000000.0,-1123000000.0,-2328000000.0,1205000000.0,182000000.0,1023000000.0,1023000000.0,-835000000.0,-244000000.0,-244000000.0,3966000000.0,761000000.0,39000000.0,-1249000000.0,-1249000000.0,4499000000.0,4499000000.0,2395000000.0,2395000000.0,2104000000.0,-14000000.0,,-14000000.0,17133000000.0
2023-12-31,9143000000.0,-1346000000.0,-1755000000.0,5939000000.0,-3863000000.0,6909000000.0,,12773000000.0,23000000.0,-5887000000.0,-4810000000.0,0.0,-4810000000.0,-328000000.0,125000000.0,-7445000000.0,-7445000000.0,-1346000000.0,-1346000000.0,4184000000.0,0.0,4184000000.0,-1755000000.0,5939000000.0,-14083000000.0,0.0,-14083000000.0,-36000000.0,1848000000.0,2803000000.0,-955000000.0,-12032000000.0,-12032000000.0,-3863000000.0,13006000000.0,0.0,13006000000.0,-2205000000.0,-2314000000.0,456000000.0,1617000000.0,1783000000.0,-166000000.0,-380000000.0,214000000.0,214000000.0,-816000000.0,-1148000000.0,-1148000000.0,11764000000.0,645000000.0,792000000.0,-1899000000.0,-1899000000.0,3872000000.0,3872000000.0,2044000000.0,2044000000.0,1828000000.0,-340000000.0,-340000000.0,-340000000.0,377000000.0
2022-12-31,14707000000.0,0.0,-2251000000.0,0.0,-4388000000.0,12773000000.0,0.0,8167000000.0,-410000000.0,5016000000.0,-9119000000.0,0.0,-9119000000.0,-240000000.0,384000000.0,-7012000000.0,-7012000000.0,0.0,0.0,-2251000000.0,0.0,-2251000000.0,-2251000000.0,0.0,-4960000000.0,0.0,-4960000000.0,-89000000.0,-483000000.0,721000000.0,-1204000000.0,0.0,0.0,-4388000000.0,19095000000.0,0.0,19095000000.0,-2782000000.0,-1473000000.0,-545000000.0,41000000.0,-50000000.0,91000000.0,-289000000.0,380000000.0,380000000.0,-161000000.0,-644000000.0,-644000000.0,1301000000.0,541000000.0,1749000000.0,-1568000000.0,-1568000000.0,3909000000.0,3909000000.0,2085000000.0,2085000000.0,1824000000.0,1419000000.0,1419000000.0,1419000000.0,14526000000.0
2021-12-31,9661000000.0,-840000000.0,-2319000000.0,7936000000.0,-4448000000.0,8167000000.0,0.0,8153000000.0,-133000000.0,147000000.0,2593000000.0,-504000000.0,3097000000.0,8714000000.0,202000000.0,-6610000000.0,-6610000000.0,-840000000.0,-840000000.0,1631000000.0,-3986000000.0,5617000000.0,-2319000000.0,7936000000.0,-16555000000.0,-134000000.0,-16421000000.0,-91000000.0,1025000000.0,1026000000.0,-1000000.0,-12907000000.0,-12907000000.0,-4448000000.0,14109000000.0,987000000.0,13122000000.0,-3839000000.0,-1758000000.0,484000000.0,142000000.0,277000000.0,-135000000.0,405000000.0,-540000000.0,-540000000.0,-674000000.0,-2033000000.0,-2033000000.0,2361000000.0,479000000.0,302000000.0,187000000.0,187000000.0,3214000000.0,3214000000.0,1636000000.0,1636000000.0,1578000000.0,-1940000000.0,-1940000000.0,-1940000000.0,12358000000.0
2020-12-31,,,,,,,-12000000.0,,,,,0.0,,,,,,,,,2549000000.0,,,,,-250000000.0,,,,,,,,,,2636000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
