,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Taxes Refund Paid,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Unrealized Gain Loss On Investment Securities,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Pension And Employee Benefit Expense,Earnings Losses From Equity Investments,Gain Loss On Investment Securities,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-03-31,1674148000000.0,-285548000000.0,-181085000000.0,139298000000.0,-647527000000.0,113260000000.0,,2980956000000.0,,1907113000000.0,-19469000000.0,1093312000000.0,-298243000000.0,-298243000000.0,172930000000.0,-115253000000.0,-115253000000.0,-285548000000.0,-285548000000.0,-70372000000.0,-28585000000.0,,,-41787000000.0,-181085000000.0,139298000000.0,-930120000000.0,-930120000000.0,48334000000.0,-51996000000.0,46540000000.0,-98536000000.0,-294417000000.0,0.0,-294417000000.0,-632041000000.0,15486000000.0,-647527000000.0,2321675000000.0,2321675000000.0,-300529000000.0,35432000000.0,974763000000.0,99551000000.0,-1588912000000.0,121491000000.0,,121491000000.0,121491000000.0,,,199916000000.0,228623000000.0,17384000000.0,,,,1152987000000.0,1152987000000.0,,,,-57325000000.0,,20741000000.0,-75742000000.0,-18426000000.0,1473726000000.0
2024-03-31,749267000000.0,-202974000000.0,-128150000000.0,225176000000.0,-623946000000.0,97524000000.0,,1907113000000.0,,1480900000000.0,82595000000.0,343618000000.0,-210709000000.0,-210709000000.0,12229000000.0,-98620000000.0,-98620000000.0,-202974000000.0,-202974000000.0,78656000000.0,-18370000000.0,,,97026000000.0,-128150000000.0,225176000000.0,-818886000000.0,-818886000000.0,-4429000000.0,-2827000000.0,92679000000.0,-95506000000.0,-199255000000.0,0.0,-199255000000.0,-612375000000.0,11571000000.0,-623946000000.0,1373213000000.0,1373213000000.0,-293997000000.0,-562911000000.0,1907268000000.0,-21954000000.0,-2266917000000.0,-13303000000.0,,-13303000000.0,-13303000000.0,-22491000000.0,-22491000000.0,75641000000.0,-243646000000.0,-78298000000.0,,,,1144981000000.0,1144981000000.0,,,,-105224000000.0,,-715000000.0,-73166000000.0,-26668000000.0,1268662000000.0
2023-03-31,-298944000000.0,-99248000000.0,-132198000000.0,361776000000.0,-613635000000.0,39015000000.0,,1480900000000.0,,2049636000000.0,84937000000.0,-653673000000.0,84300000000.0,84300000000.0,8147000000.0,-86568000000.0,-86568000000.0,-99248000000.0,-99248000000.0,261969000000.0,32391000000.0,0.0,32391000000.0,229578000000.0,-132198000000.0,361776000000.0,-1052664000000.0,-1052664000000.0,9138000000.0,-177581000000.0,13548000000.0,-191129000000.0,-282181000000.0,1221000000.0,-283402000000.0,-602040000000.0,11595000000.0,-613635000000.0,314691000000.0,314691000000.0,-297881000000.0,-1543894000000.0,630855000000.0,241456000000.0,-1682407000000.0,-103067000000.0,,-103067000000.0,-103067000000.0,4183000000.0,4183000000.0,-560382000000.0,-70349000000.0,-104658000000.0,,4183000000.0,4183000000.0,1004590000000.0,1004590000000.0,,,,-17962000000.0,,-17696000000.0,4469000000.0,-4318000000.0,1274496000000.0
2022-03-31,792547000000.0,-88624000000.0,-194562000000.0,31458000000.0,-441096000000.0,15450000000.0,,2049636000000.0,,1786982000000.0,94369000000.0,168285000000.0,-336578000000.0,-336578000000.0,-10916000000.0,-74342000000.0,-74342000000.0,-88624000000.0,-88624000000.0,-162696000000.0,408000000.0,0.0,408000000.0,-163104000000.0,-194562000000.0,31458000000.0,-728780000000.0,-728780000000.0,-11083000000.0,-75001000000.0,16081000000.0,-91082000000.0,-213009000000.0,64609000000.0,-277618000000.0,-429687000000.0,11409000000.0,-441096000000.0,1233643000000.0,1233643000000.0,-269885000000.0,-1380542000000.0,112899000000.0,971546000000.0,-2244098000000.0,144829000000.0,,144829000000.0,126989000000.0,17840000000.0,17840000000.0,-194624000000.0,-171094000000.0,951163000000.0,,17840000000.0,17840000000.0,835233000000.0,835233000000.0,,,835233000000.0,-19829000000.0,,-13934000000.0,60402000000.0,-74613000000.0,1117503000000.0
2021-03-31,,,,,,,119084000000.0,,-582000000.0,,,,,,,,,,,,,-414834000000.0,396500000000.0,,,,,,,,,,,,,,,,,,,,,,,,80165000000.0,,,19164000000.0,19164000000.0,,,,-247033000000.0,-153427000000.0,-153427000000.0,,,273044000000.0,273044000000.0,390693000000.0,,-42936000000.0,,,,
