,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Earnings From Equity Interest Net Of Tax,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-246971244.935436,0.135031,125644000000.0,-1829000000.0,-1829000000.0,59248000000.0,52795000000.0,326288000000.0,123815000000.0,71020000000.0,2271000000.0,2406000000.0,4677000000.0,60830028755.06457,59248000000.0,569366000000.0,68593000000.0,10721000000.0,10473000000.0,5.53,5.66,59248000000.0,59248000000.0,59248000000.0,59248000000.0,59248000000.0,-101000000.0,9265000000.0,68614000000.0,-2250000000.0,-421000000.0,-1829000000.0,2271000000.0,2406000000.0,4677000000.0,68593000000.0,243078000000.0,187812000000.0,,55266000000.0,43907000000.0,11359000000.0,11359000000.0,311671000000.0,326288000000.0,637959000000.0,637959000000.0
2023-12-31,211380035.679101,0.189579,88287000000.0,1115000000.0,1115000000.0,30425000000.0,48663000000.0,304739000000.0,89402000000.0,40739000000.0,-233000000.0,3182000000.0,2949000000.0,29521380035.6791,30425000000.0,537933000000.0,36852000000.0,10492000000.0,10304000000.0,2.9,2.95,30425000000.0,30425000000.0,30425000000.0,30425000000.0,30425000000.0,-12000000.0,7120000000.0,37557000000.0,938000000.0,-177000000.0,1115000000.0,-233000000.0,3182000000.0,2949000000.0,36852000000.0,233194000000.0,177008000000.0,,56186000000.0,44370000000.0,11816000000.0,11816000000.0,270046000000.0,304739000000.0,574785000000.0,574785000000.0
2022-12-31,-3415860000.0,0.21,54618000000.0,-16266000000.0,-16266000000.0,-2722000000.0,41921000000.0,288831000000.0,38352000000.0,-3569000000.0,-1378000000.0,2367000000.0,989000000.0,10128140000.0,-2722000000.0,501735000000.0,12248000000.0,10189000000.0,10189000000.0,-0.27,-0.27,-2722000000.0,-2722000000.0,-2722000000.0,-2722000000.0,-2722000000.0,-3000000.0,-3217000000.0,-5936000000.0,-16806000000.0,-540000000.0,-16266000000.0,-1378000000.0,2367000000.0,989000000.0,12248000000.0,212904000000.0,158775000000.0,,54129000000.0,42238000000.0,11891000000.0,11891000000.0,225152000000.0,288831000000.0,513983000000.0,513983000000.0
2021-12-31,1839997169.143666,0.12558,59741000000.0,14652000000.0,14652000000.0,33364000000.0,34433000000.0,272344000000.0,74393000000.0,39960000000.0,-1361000000.0,1809000000.0,448000000.0,20551997169.143665,33364000000.0,444943000000.0,24879000000.0,10300000000.0,10120000000.0,3.2405,3.298,33364000000.0,33364000000.0,33364000000.0,33364000000.0,33364000000.0,4000000.0,4791000000.0,38151000000.0,14633000000.0,-19000000.0,14652000000.0,-1361000000.0,1809000000.0,448000000.0,24879000000.0,172599000000.0,131225000000.0,,41374000000.0,32551000000.0,8823000000.0,8823000000.0,197478000000.0,272344000000.0,469822000000.0,469822000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42740000000.0,,,,,,,,
