,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-09-30,15130836.0,784869164.0,800000000.0,35700000000.0,47919000000.0,10288000000.0,96120000000.0,17440000000.0,10288000000.0,3062000000.0,51264000000.0,90247000000.0,56231000000.0,4967000000.0,51264000000.0,3615000000.0,2165000000.0,39657000000.0,7757000000.0,2400000000.0,2400000000.0,91581000000.0,47668000000.0,1968000000.0,912000000.0,1483000000.0,41321000000.0,2337000000.0,38983000000.0,1120000000.0,43913000000.0,1856000000.0,6598000000.0,725000000.0,5873000000.0,5260000000.0,2730000000.0,10648000000.0,1805000000.0,8843000000.0,147812000000.0,86459000000.0,2197000000.0,2677000000.0,1083000000.0,6922000000.0,6922000000.0,980000000.0,40976000000.0,9592000000.0,31384000000.0,12242000000.0,-14846000000.0,27088000000.0,1490000000.0,3759000000.0,10755000000.0,11084000000.0,61353000000.0,1635000000.0,228000000.0,2433000000.0,272000000.0,10651000000.0,3457000000.0,3863000000.0,3331000000.0,15946000000.0,1767000000.0,14955000000.0,11458000000.0,2302000000.0,9156000000.0
2023-09-30,10079918.0,789920082.0,800000000.0,33587000000.0,46596000000.0,4917000000.0,91453000000.0,15726000000.0,4917000000.0,2923000000.0,47782000000.0,84664000000.0,53052000000.0,5270000000.0,47782000000.0,2282000000.0,1177000000.0,36866000000.0,7411000000.0,2400000000.0,2400000000.0,92019000000.0,47106000000.0,1933000000.0,1426000000.0,1655000000.0,39113000000.0,2230000000.0,36882000000.0,1463000000.0,44913000000.0,1984000000.0,7483000000.0,693000000.0,6789000000.0,5522000000.0,2320000000.0,12696000000.0,2566000000.0,10130000000.0,145071000000.0,84432000000.0,1524000000.0,2235000000.0,1213000000.0,2120000000.0,2120000000.0,3014000000.0,42865000000.0,10641000000.0,32224000000.0,11938000000.0,-15342000000.0,27280000000.0,1296000000.0,3857000000.0,11233000000.0,10894000000.0,60639000000.0,1954000000.0,573000000.0,99000000.0,287000000.0,11260000000.0,3715000000.0,4029000000.0,3516000000.0,15169000000.0,1363000000.0,15454000000.0,12528000000.0,2444000000.0,10084000000.0
2022-09-30,57454171.0,792545829.0,850000000.0,37169000000.0,50636000000.0,2836000000.0,96529000000.0,16143000000.0,2836000000.0,3002000000.0,48895000000.0,90574000000.0,54805000000.0,5910000000.0,48895000000.0,6160000000.0,5948000000.0,38959000000.0,7174000000.0,2550000000.0,2550000000.0,96697000000.0,54011000000.0,1653000000.0,2275000000.0,2381000000.0,43978000000.0,2299000000.0,41679000000.0,1857000000.0,42686000000.0,1693000000.0,6658000000.0,703000000.0,5955000000.0,5126000000.0,2156000000.0,12698000000.0,2381000000.0,10317000000.0,151502000000.0,92673000000.0,1564000000.0,2459000000.0,2868000000.0,2207000000.0,2207000000.0,4955000000.0,46059000000.0,12197000000.0,33862000000.0,11733000000.0,-15193000000.0,26926000000.0,1359000000.0,4025000000.0,10932000000.0,10610000000.0,58829000000.0,355000000.0,957000000.0,413000000.0,888000000.0,10247000000.0,3419000000.0,3631000000.0,3197000000.0,14036000000.0,2242000000.0,14666000000.0,12989000000.0,2524000000.0,10465000000.0
2021-09-30,47644581.0,802355419.0,850000000.0,36226000000.0,48700000000.0,3662000000.0,89931000000.0,12298000000.0,3662000000.0,2929000000.0,44160000000.0,82811000000.0,48991000000.0,4831000000.0,44160000000.0,-233000000.0,4804000000.0,39607000000.0,7040000000.0,2550000000.0,2550000000.0,90381000000.0,50381000000.0,1924000000.0,2839000000.0,2337000000.0,40879000000.0,2228000000.0,38651000000.0,1723000000.0,40000000000.0,1616000000.0,7821000000.0,701000000.0,7120000000.0,5375000000.0,2293000000.0,10641000000.0,1809000000.0,8832000000.0,139372000000.0,87074000000.0,2185000000.0,2865000000.0,1552000000.0,2266000000.0,2266000000.0,7539000000.0,40498000000.0,10826000000.0,29672000000.0,11023000000.0,-13578000000.0,24601000000.0,1055000000.0,3860000000.0,10232000000.0,9454000000.0,52298000000.0,1752000000.0,398000000.0,223000000.0,616000000.0,8220000000.0,2825000000.0,3421000000.0,1974000000.0,11730000000.0,1795000000.0,13267000000.0,12047000000.0,2502000000.0,9545000000.0
