,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Liabilities Heldfor Sale Non Current,Derivative Product Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Accrued Expenses,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-03-31,1584032478.0,1584032478.0,758570000000.0,800400000000.0,120450000000.0,902060000000.0,-82670000000.0,120450000000.0,19710000000.0,121370000000.0,795000000000.0,225730000000.0,104360000000.0,121370000000.0,37610000000.0,30310000000.0,38420000000.0,15840000000.0,15840000000.0,888250000000.0,719370000000.0,11770000000.0,,640000000.0,,0.0,11890000000.0,11300000000.0,691870000000.0,18240000000.0,673630000000.0,3670000000.0,168880000000.0,1570000000.0,108530000000.0,1470000000.0,107060000000.0,,150000000.0,51190000000.0,41390000000.0,1670000000.0,8130000000.0,1113980000000.0,1027760000000.0,430000000.0,7980000000.0,6340000000.0,770000000.0,980000000.0,,980000000.0,8650000000.0,,,920000000.0,890000000.0,30000000.0,958250000000.0,-92400000000.0,1050650000000.0,160020000000.0,798230000000.0,850590000000.0,9780000000.0,30260000000.0,0.0,86210000000.0,30000000.0,1260000000.0,0.0,5770000000.0,1500000000.0,1010000000.0,,1010000000.0,12230000000.0,10410000000.0,8120000000.0,-50000000.0,8170000000.0,45870000000.0,23750000000.0,22120000000.0,1410000000.0,20710000000.0
2024-03-31,1584032478.0,1584032478.0,614520000000.0,648580000000.0,105490000000.0,737020000000.0,-129510000000.0,105490000000.0,17980000000.0,106420000000.0,511450000000.0,174480000000.0,68060000000.0,106420000000.0,37620000000.0,15920000000.0,38390000000.0,15840000000.0,15840000000.0,710900000000.0,442760000000.0,8810000000.0,,510000000.0,,0.0,8810000000.0,8890000000.0,421720000000.0,16690000000.0,405030000000.0,2830000000.0,268140000000.0,1380000000.0,226860000000.0,1290000000.0,225570000000.0,140000000.0,140000000.0,22430000000.0,15560000000.0,1450000000.0,5420000000.0,885380000000.0,746750000000.0,610000000.0,8340000000.0,4520000000.0,1270000000.0,740000000.0,,740000000.0,4200000000.0,,,930000000.0,900000000.0,30000000.0,693850000000.0,-67540000000.0,761390000000.0,71900000000.0,621950000000.0,653170000000.0,8730000000.0,27590000000.0,0.0,138630000000.0,30000000.0,7430000000.0,5570000000.0,56410000000.0,2490000000.0,2910000000.0,,2910000000.0,10140000000.0,5270000000.0,6820000000.0,-190000000.0,7010000000.0,41440000000.0,25360000000.0,16080000000.0,500000000.0,15580000000.0
2023-03-31,1584032478.0,1584032478.0,518460000000.0,542240000000.0,72250000000.0,601520000000.0,-6360000000.0,72250000000.0,13760000000.0,73040000000.0,559360000000.0,73500000000.0,460000000.0,73040000000.0,14300000000.0,5820000000.0,38300000000.0,15840000000.0,15840000000.0,600110000000.0,515670000000.0,-10000000.0,5020000000.0,30000000.0,2160000000.0,0.0,9890000000.0,4520000000.0,499080000000.0,12760000000.0,486320000000.0,2160000000.0,84440000000.0,850000000.0,43160000000.0,1000000000.0,42160000000.0,100000000.0,,19720000000.0,13110000000.0,920000000.0,5690000000.0,673610000000.0,595530000000.0,670000000.0,6720000000.0,4590000000.0,8490000000.0,0.0,,,1310000000.0,380000000.0,930000000.0,790000000.0,760000000.0,30000000.0,539810000000.0,-49080000000.0,588890000000.0,57240000000.0,,502050000000.0,6650000000.0,22950000000.0,0.0,78080000000.0,30000000.0,11740000000.0,5950000000.0,3570000000.0,1600000000.0,520000000.0,,520000000.0,9380000000.0,3050000000.0,15790000000.0,-230000000.0,16020000000.0,26450000000.0,16430000000.0,10020000000.0,6860000000.0,3160000000.0
2022-03-31,1564014280.0,1564014280.0,516210000000.0,528320000000.0,25310000000.0,548020000000.0,-60070000000.0,25310000000.0,6440000000.0,26140000000.0,453310000000.0,26140000000.0,0.0,26140000000.0,14290000000.0,-3130000000.0,0.0,15640000000.0,15640000000.0,565530000000.0,450400000000.0,9020000000.0,4190000000.0,890000000.0,1140000000.0,,9020000000.0,2130000000.0,433030000000.0,5860000000.0,427170000000.0,1140000000.0,115130000000.0,1270000000.0,95290000000.0,580000000.0,94710000000.0,80000000.0,,16930000000.0,14580000000.0,0.0,2350000000.0,591670000000.0,536610000000.0,830000000.0,4680000000.0,5620000000.0,3220000000.0,10000000.0,0.0,10000000.0,730000000.0,370000000.0,360000000.0,830000000.0,800000000.0,30000000.0,489110000000.0,-36420000000.0,525530000000.0,205420000000.0,283690000000.0,300190000000.0,6170000000.0,13750000000.0,0.0,55060000000.0,11220000000.0,1050000000.0,,6110000000.0,11800000000.0,170000000.0,,170000000.0,9080000000.0,,12020000000.0,-70000000.0,12090000000.0,14830000000.0,9160000000.0,5670000000.0,3960000000.0,1710000000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,1310000000.0,,210000000.0,,,,,,,,,,,,,60000000.0,60000000.0,,,,,,,,,,,,2500000000.0,170000000.0,,360000000.0,,,,,,,,,163480000000.0,,,,,,,,,,,,0.0,,,,,,,,,,,
