,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-01-31,0.0,0.222,8653000000.0,4091000000.0,2981000000.0,76050000000.0,8653000000.0,5672000000.0,-411000000.0,411000000.0,4091000000.0,4091000000.0,101000000000.0,5566000000.0,461800000.0,460400000.0,8.86,8.89,4091000000.0,4091000000.0,4091000000.0,4091000000.0,,4091000000.0,1170000000.0,5261000000.0,106000000.0,106000000.0,-411000000.0,411000000.0,5566000000.0,24498000000.0,2529000000.0,2529000000.0,21969000000.0,30064000000.0,76502000000.0,106566000000.0,106566000000.0
2024-01-31,0.0,0.219,8600000000.0,4138000000.0,2801000000.0,77442000000.0,8600000000.0,5799000000.0,-502000000.0,502000000.0,4138000000.0,4138000000.0,101705000000.0,5707000000.0,462800000.0,461500000.0,8.94,8.96,4138000000.0,4138000000.0,4138000000.0,4138000000.0,,4138000000.0,1159000000.0,5297000000.0,92000000.0,92000000.0,-502000000.0,502000000.0,5707000000.0,23877000000.0,2415000000.0,2415000000.0,21462000000.0,29584000000.0,77828000000.0,107412000000.0,107412000000.0
2023-01-31,0.0,0.187,6596000000.0,2780000000.0,2700000000.0,81991000000.0,6596000000.0,3896000000.0,-478000000.0,478000000.0,2780000000.0,2780000000.0,105272000000.0,3848000000.0,464700000.0,462100000.0,5.98,6.02,2780000000.0,2780000000.0,2780000000.0,2780000000.0,,2780000000.0,638000000.0,3418000000.0,48000000.0,48000000.0,-478000000.0,478000000.0,3848000000.0,22966000000.0,2385000000.0,2385000000.0,20581000000.0,26814000000.0,82306000000.0,109120000000.0,109120000000.0
2022-01-31,0.0,0.22,11970000000.0,6946000000.0,2642000000.0,74665000000.0,11970000000.0,9328000000.0,-421000000.0,421000000.0,6946000000.0,6946000000.0,97059000000.0,8946000000.0,492700000.0,488100000.0,14.1,14.23,6946000000.0,6946000000.0,6946000000.0,6946000000.0,0.0,6946000000.0,1961000000.0,8907000000.0,382000000.0,382000000.0,-421000000.0,421000000.0,8946000000.0,22096000000.0,2344000000.0,2344000000.0,19752000000.0,31042000000.0,74963000000.0,106005000000.0,104611000000.0
2021-01-31,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
