,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Dueto Related Parties Non Current,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Line Of Credit,Current Notes Payable,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Other Payable,Dueto Related Parties Current,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Duefrom Related Parties Non Current,Non Current Accounts Receivable,Investments And Advances,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Trading Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Finished Goods,Work In Process,Raw Materials,Receivables,Receivables Adjustments Allowances,Other Receivables,Duefrom Related Parties Current,Taxes Receivable,Accrued Interest Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,3472933.0,2091505895.0,2094978828.0,1239018000.0,33823303000.0,5735380000.0,26534961000.0,-424981000.0,5735380000.0,13255365000.0,5967023000.0,17407778000.0,13506543000.0,7539520000.0,5967023000.0,582659000.0,582659000.0,239328000.0,-113068210000.0,118688242000.0,3660000.0,3660000.0,94098069000.0,31787045000.0,308715000.0,,329492000.0,779695000.0,3564429000.0,3436962000.0,127467000.0,22736635000.0,11295880000.0,11440755000.0,4068079000.0,62311024000.0,,4074895000.0,4074895000.0,11086668000.0,1959485000.0,9127183000.0,4637183000.0,4490000000.0,,652633000.0,46496828000.0,841890000.0,86474000.0,45654938000.0,10458163000.0,409363000.0,400146000.0,34387266000.0,107604612000.0,45718569000.0,359783000.0,1196193000.0,,804410000.0,3126007000.0,1850720000.0,12086000.0,1815215000.0,23419000.0,1275287000.0,231643000.0,231643000.0,40000533000.0,-15561768000.0,55562301000.0,6124611000.0,4862914000.0,30795755000.0,12865740000.0,913281000.0,0.0,61886043000.0,,,19692982000.0,1131506000.0,7087223000.0,-245902000.0,4917939000.0,141195000.0,2273991000.0,11880100000.0,-1912000.0,159948000.0,7702404000.0,2326470000.0,16944000.0,1676246000.0,-46177000.0,1722423000.0,22094232000.0,2765312000.0,19328920000.0
2023-12-31,18061024.0,2080563749.0,2098624773.0,5583529000.0,34725056000.0,25309286000.0,48410592000.0,12582117000.0,25309286000.0,11860697000.0,25546233000.0,38589094000.0,29596016000.0,4049783000.0,25546233000.0,432991000.0,432991000.0,1849600000.0,-90758034000.0,117717254000.0,3622000.0,3622000.0,87787186000.0,29989070000.0,63694000.0,3860384000.0,0.0,0.0,3587349000.0,3375002000.0,212347000.0,23135091000.0,10092230000.0,13042861000.0,3202936000.0,57798116000.0,,2856027000.0,2856027000.0,11589965000.0,1768467000.0,9821498000.0,5038498000.0,4783000000.0,15654281000.0,709288000.0,42642836000.0,1079665000.0,135492000.0,41563171000.0,10886063000.0,561625000.0,349349000.0,29766134000.0,117383202000.0,47002969000.0,272934000.0,1092550000.0,,2432969000.0,5487216000.0,3981707000.0,1875318000.0,2085389000.0,21000000.0,1505509000.0,236947000.0,236947000.0,37480353000.0,-10322295000.0,47802648000.0,5160732000.0,4067581000.0,26863585000.0,10798372000.0,912378000.0,0.0,70380233000.0,,,17062785000.0,815785000.0,5277726000.0,-183846000.0,3126461000.0,90035000.0,2245076000.0,8999233000.0,-5411000.0,310887000.0,1722603000.0,2271162000.0,42340000.0,4657652000.0,-38540000.0,4696192000.0,38224704000.0,5289593000.0,32935111000.0
2022-12-31,18061024.0,1662159868.0,1680220892.0,8789752000.0,36265457000.0,23655562000.0,52545492000.0,13297698000.0,23655562000.0,7588130000.0,23868165000.0,34753964000.0,24089539000.0,221374000.0,23868165000.0,1036011000.0,1036011000.0,1849600000.0,-69914230000.0,94593062000.0,2922000.0,2922000.0,72174386000.0,26322332000.0,254553000.0,3557221000.0,,,2816062000.0,2597873000.0,218189000.0,17417352000.0,6531553000.0,10885799000.0,2277144000.0,45852054000.0,16435000.0,2107558000.0,2107558000.0,18848105000.0,1056577000.0,17791528000.0,1237916000.0,4039210000.0,12514402000.0,669793000.0,24226598000.0,1682696000.0,32271000.0,22543902000.0,9163706000.0,384611000.0,286300000.0,12709285000.0,96263925000.0,37114173000.0,224428000.0,944768000.0,,5859886000.0,6356411000.0,,,,,,212603000.0,212603000.0,23516077000.0,-6943174000.0,30459251000.0,3408731000.0,3548095000.0,16262264000.0,6349585000.0,890576000.0,0.0,59149752000.0,,0.0,3154240000.0,891108000.0,8191386000.0,-149667000.0,5195933000.0,170995000.0,2974125000.0,7854426000.0,-4033000.0,373397000.0,1577031000.0,779694000.0,10167000.0,5118170000.0,-39600000.0,5157770000.0,39058592000.0,19171017000.0,19887575000.0
2021-12-31,18080253.0,1692127489.0,1710207742.0,1703419000.0,20158353000.0,34510803000.0,51747062000.0,34443163000.0,34510803000.0,3121215000.0,34709924000.0,44449100000.0,34785557000.0,75633000.0,34709924000.0,-276300000.0,-276300000.0,1849600000.0,-55634140000.0,92467072000.0,2892000.0,2892000.0,48098044000.0,18899892000.0,287813000.0,3277866000.0,,,1801647000.0,1764150000.0,25199000.0,12088015000.0,2348839000.0,9739176000.0,1444551000.0,29198152000.0,,1416854000.0,1384600000.0,8070338000.0,772376000.0,7297962000.0,2067962000.0,5230000000.0,,518426000.0,19192534000.0,538528000.0,41147000.0,18654006000.0,4700021000.0,687200000.0,627794000.0,12638991000.0,82883601000.0,19242286000.0,60765000.0,636124000.0,0.0,4456276000.0,3059383000.0,,,,,,199121000.0,199121000.0,10830617000.0,-4199725000.0,15030342000.0,1876294000.0,1681223000.0,8516592000.0,2080671000.0,875562000.0,0.0,63641315000.0,-42040000.0,104277000.0,2994408000.0,251874000.0,2056352000.0,-2853000.0,1046942000.0,3915000.0,1008348000.0,5843131000.0,-3932000.0,339227000.0,1572273000.0,1040024000.0,97734000.0,2797805000.0,-25417000.0,2823222000.0,52391273000.0,37057554000.0,15333719000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,4691287000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617000.0,,,,,,,,,,,,,,,,,,,,-44645000.0,0.0,,,,,,,,,,,,,,,,,,,
