,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Dueto Related Parties Non Current,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Other Payable,Dueto Related Parties Current,Total Tax Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Duefrom Related Parties Non Current,Non Current Accounts Receivable,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Receivables,Other Receivables,Duefrom Related Parties Current,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,41182672.0,2763574692.0,2804757364.0,46216000000.0,79324000000.0,218637000000.0,334668000000.0,87896000000.0,218637000000.0,8276000000.0,263620000000.0,315563000000.0,283612000000.0,19992000000.0,263620000000.0,-1803000000.0,6236000000.0,180073000000.0,91586000000.0,0.0,0.0,144168000000.0,63215000000.0,1557000000.0,,56000000.0,0.0,4686000000.0,816000000.0,3870000000.0,56916000000.0,4973000000.0,51943000000.0,80953000000.0,16550000000.0,16550000000.0,22408000000.0,3303000000.0,19105000000.0,19105000000.0,41995000000.0,31558000000.0,335000000.0,10437000000.0,5116000000.0,1794000000.0,3527000000.0,427780000000.0,258931000000.0,16815000000.0,13547000000.0,2193000000.0,2193000000.0,137000000.0,137000000.0,140256000000.0,118358000000.0,118358000000.0,21898000000.0,21898000000.0,44983000000.0,22397000000.0,22586000000.0,41000000000.0,-38977000000.0,79977000000.0,549000000.0,621000000.0,10898000000.0,58378000000.0,9531000000.0,0.0,168849000000.0,3260000000.0,11697000000.0,6183000000.0,5989000000.0,14280000000.0,3386000000.0,790000000.0,10104000000.0,-3517000000.0,13621000000.0,127440000000.0,102608000000.0,24832000000.0
2023-12-31,41182672.0,2805191400.0,2846374072.0,51216000000.0,84595000000.0,199815000000.0,320073000000.0,153804000000.0,199815000000.0,8148000000.0,243626000000.0,300983000000.0,262608000000.0,18982000000.0,243626000000.0,-895000000.0,3818000000.0,161240000000.0,87099000000.0,0.0,0.0,144151000000.0,67700000000.0,1820000000.0,,77000000.0,0.0,3406000000.0,681000000.0,2725000000.0,62397000000.0,5040000000.0,57357000000.0,76451000000.0,16326000000.0,16326000000.0,22198000000.0,3108000000.0,19090000000.0,19090000000.0,37927000000.0,30119000000.0,347000000.0,7808000000.0,3518000000.0,1603000000.0,2687000000.0,406759000000.0,176504000000.0,5766000000.0,13198000000.0,2100000000.0,2100000000.0,195000000.0,195000000.0,72623000000.0,46993000000.0,46993000000.0,25630000000.0,25630000000.0,43811000000.0,21225000000.0,22586000000.0,38811000000.0,-35899000000.0,74710000000.0,540000000.0,285000000.0,10851000000.0,53671000000.0,9363000000.0,0.0,230255000000.0,3112000000.0,11503000000.0,3723000000.0,1396000000.0,16620000000.0,4348000000.0,1424000000.0,10848000000.0,-3176000000.0,14024000000.0,193901000000.0,168670000000.0,25231000000.0
2022-12-31,49408840.0,2796585392.0,2845994232.0,30579000000.0,91354000000.0,179904000000.0,307213000000.0,133220000000.0,179904000000.0,7619000000.0,223478000000.0,286661000000.0,237805000000.0,14327000000.0,223478000000.0,546000000.0,5264000000.0,148341000000.0,79855000000.0,0.0,0.0,153168000000.0,73538000000.0,2058000000.0,,99000000.0,0.0,3388000000.0,490000000.0,2898000000.0,67993000000.0,4810000000.0,63183000000.0,79630000000.0,14347000000.0,14347000000.0,23361000000.0,2809000000.0,20552000000.0,20552000000.0,41922000000.0,30184000000.0,452000000.0,11738000000.0,3031000000.0,5067000000.0,3640000000.0,390973000000.0,178123000000.0,2839000000.0,16257000000.0,2129000000.0,2129000000.0,60000000.0,60000000.0,78926000000.0,48370000000.0,48370000000.0,30556000000.0,30556000000.0,43574000000.0,21097000000.0,22477000000.0,34338000000.0,-32287000000.0,66625000000.0,490000000.0,291000000.0,10365000000.0,46159000000.0,9320000000.0,0.0,212850000000.0,1615000000.0,11330000000.0,3548000000.0,1227000000.0,21135000000.0,3970000000.0,5432000000.0,11733000000.0,-2554000000.0,14287000000.0,173995000000.0,120839000000.0,53156000000.0
2021-12-31,,2764332792.0,2764332792.0,46226000000.0,91507000000.0,168956000000.0,294535000000.0,138827000000.0,168956000000.0,8431000000.0,211459000000.0,279860000000.0,223952000000.0,12493000000.0,211459000000.0,-8000000.0,7581000000.0,145160000000.0,73888000000.0,0.0,0.0,156082000000.0,81594000000.0,718000000.0,7148000000.0,3268000000.0,0.0,3638000000.0,352000000.0,3286000000.0,73970000000.0,5569000000.0,68401000000.0,74488000000.0,14744000000.0,14744000000.0,17537000000.0,2862000000.0,14675000000.0,14675000000.0,42207000000.0,33563000000.0,538000000.0,8644000000.0,2450000000.0,1764000000.0,4430000000.0,380034000000.0,166719000000.0,710000000.0,15223000000.0,2372000000.0,2372000000.0,3487000000.0,3487000000.0,67332000000.0,,,,,42503000000.0,19898000000.0,22605000000.0,35092000000.0,-29328000000.0,64420000000.0,496000000.0,688000000.0,12065000000.0,42422000000.0,8749000000.0,0.0,213315000000.0,2115000000.0,10821000000.0,3980000000.0,1477000000.0,14829000000.0,3480000000.0,1368000000.0,9981000000.0,-338000000.0,10319000000.0,180093000000.0,143243000000.0,36850000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,3102000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
