,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Line Of Credit,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Dueto Related Parties Current,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Inventory,Finished Goods,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,,133271000.0,133271000.0,3916000000.0,6046000000.0,1226000000.0,6892000000.0,3531000000.0,1226000000.0,414000000.0,1260000000.0,6516000000.0,1375000000.0,115000000.0,1260000000.0,-1416000000.0,2676000000.0,0.0,0.0,0.0,7109000000.0,5771000000.0,101000000.0,5670000000.0,414000000.0,5256000000.0,1338000000.0,106000000.0,63000000.0,63000000.0,376000000.0,376000000.0,309000000.0,67000000.0,92000000.0,75000000.0,626000000.0,303000000.0,96000000.0,323000000.0,,87000000.0,0.0,236000000.0,8484000000.0,3615000000.0,368000000.0,34000000.0,34000000.0,,3213000000.0,-994000000.0,4207000000.0,59000000.0,440000000.0,993000000.0,1380000000.0,1335000000.0,0.0,4869000000.0,122000000.0,612000000.0,44000000.0,1608000000.0,1608000000.0,303000000.0,303000000.0,-9000000.0,312000000.0,2180000000.0,464000000.0,1716000000.0
2023-12-31,0.0,114239000.0,114239000.0,5743000000.0,6706000000.0,191000000.0,6516000000.0,1785000000.0,191000000.0,433000000.0,243000000.0,5659000000.0,-384000000.0,-627000000.0,243000000.0,-1626000000.0,1869000000.0,0.0,0.0,0.0,7455000000.0,5919000000.0,70000000.0,5849000000.0,433000000.0,5416000000.0,1536000000.0,83000000.0,30000000.0,30000000.0,857000000.0,857000000.0,189000000.0,668000000.0,41000000.0,57000000.0,468000000.0,157000000.0,7000000.0,311000000.0,7000000.0,80000000.0,3000000.0,231000000.0,7071000000.0,3750000000.0,261000000.0,52000000.0,52000000.0,,3437000000.0,-775000000.0,4212000000.0,72000000.0,455000000.0,1010000000.0,1344000000.0,1331000000.0,0.0,3321000000.0,138000000.0,807000000.0,64000000.0,1150000000.0,1150000000.0,266000000.0,266000000.0,-9000000.0,275000000.0,896000000.0,366000000.0,530000000.0
2022-12-31,,106037000.0,106037000.0,7875000000.0,8816000000.0,-588000000.0,7791000000.0,2002000000.0,-588000000.0,507000000.0,-518000000.0,6056000000.0,-1053000000.0,-535000000.0,-518000000.0,-2076000000.0,1558000000.0,0.0,0.0,0.0,9751000000.0,7159000000.0,78000000.0,7081000000.0,507000000.0,6574000000.0,2592000000.0,80000000.0,23000000.0,23000000.0,1735000000.0,1735000000.0,201000000.0,1534000000.0,65000000.0,60000000.0,629000000.0,321000000.0,99000000.0,308000000.0,16000000.0,76000000.0,0.0,216000000.0,8698000000.0,4104000000.0,254000000.0,70000000.0,70000000.0,0.0,3780000000.0,-564000000.0,4344000000.0,134000000.0,536000000.0,1076000000.0,1267000000.0,1331000000.0,0.0,4594000000.0,182000000.0,1334000000.0,194000000.0,1876000000.0,1876000000.0,253000000.0,253000000.0,-12000000.0,265000000.0,755000000.0,321000000.0,434000000.0
2021-12-31,,89930000.0,89930000.0,5010000000.0,5774000000.0,293000000.0,5719000000.0,2002000000.0,293000000.0,361000000.0,306000000.0,3514000000.0,525000000.0,219000000.0,306000000.0,-489000000.0,795000000.0,0.0,0.0,0.0,6490000000.0,3600000000.0,31000000.0,3569000000.0,361000000.0,3208000000.0,2890000000.0,29000000.0,34000000.0,34000000.0,2205000000.0,2205000000.0,152000000.0,2053000000.0,45000000.0,44000000.0,533000000.0,290000000.0,42000000.0,243000000.0,27000000.0,102000000.0,,114000000.0,7015000000.0,2123000000.0,181000000.0,13000000.0,4000000.0,9000000.0,1929000000.0,-294000000.0,2223000000.0,295000000.0,369000000.0,613000000.0,643000000.0,303000000.0,0.0,4892000000.0,545000000.0,356000000.0,233000000.0,3149000000.0,3149000000.0,206000000.0,206000000.0,-20000000.0,226000000.0,403000000.0,,403000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15509000.0,,,,,,,,,9000000.0,,,,,,,,,,,,,,,,,,,,,,
