,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-01-31,-6636000.0,0.237,1787000000.0,-28000000.0,-28000000.0,582000000.0,881000000.0,13740000000.0,1759000000.0,878000000.0,-115000000.0,115000000.0,,603364000.0,582000000.0,22070000000.0,909000000.0,281600000.0,277700000.0,2.07,2.1,582000000.0,582000000.0,582000000.0,,582000000.0,582000000.0,181000000.0,763000000.0,-58000000.0,-30000000.0,-172000000.0,,1000000.0,127000000.0,,44000000.0,144000000.0,-115000000.0,,115000000.0,,936000000.0,8330000000.0,8330000000.0,,,,9266000000.0,13740000000.0,23006000000.0,22293000000.0
2024-01-31,-202860000.0,0.21,2041000000.0,-966000000.0,-966000000.0,45000000.0,897000000.0,14224000000.0,1075000000.0,178000000.0,-135000000.0,135000000.0,,808140000.0,45000000.0,22599000000.0,301000000.0,278200000.0,274200000.0,0.38,0.38,45000000.0,45000000.0,45000000.0,,45000000.0,45000000.0,-2000000.0,43000000.0,-1089000000.0,-123000000.0,-1027000000.0,,,972000000.0,,55000000.0,61000000.0,-135000000.0,,135000000.0,,1267000000.0,8375000000.0,8375000000.0,8375000000.0,8375000000.0,134000000.0,9642000000.0,14224000000.0,23866000000.0,23092000000.0
2023-01-31,3809749.492214,0.224103,2479000000.0,17000000.0,17000000.0,1146000000.0,857000000.0,15347000000.0,2496000000.0,1639000000.0,-162000000.0,162000000.0,15000000.0,1132809749.492214,1146000000.0,23808000000.0,1689000000.0,281100000.0,274700000.0,4.19,4.28,1146000000.0,1146000000.0,1146000000.0,,1146000000.0,1146000000.0,331000000.0,1477000000.0,-2000000.0,-19000000.0,-72000000.0,,31000000.0,36000000.0,,5000000.0,89000000.0,-162000000.0,,162000000.0,15000000.0,1641000000.0,8461000000.0,8461000000.0,8317000000.0,8317000000.0,39000000.0,10102000000.0,15347000000.0,25449000000.0,24442000000.0
2022-01-31,-32244372.990354,0.233655,3137000000.0,-138000000.0,-138000000.0,1430000000.0,874000000.0,14956000000.0,2999000000.0,2125000000.0,-256000000.0,259000000.0,3000000.0,1535755627.009646,1430000000.0,23110000000.0,2350000000.0,314000000.0,306800000.0,4.55,4.66,1430000000.0,1430000000.0,1430000000.0,,1430000000.0,1430000000.0,436000000.0,1866000000.0,-168000000.0,-30000000.0,-229000000.0,,199000000.0,27000000.0,,3000000.0,91000000.0,-256000000.0,26000000.0,259000000.0,3000000.0,2289000000.0,8154000000.0,8154000000.0,8154000000.0,8154000000.0,96000000.0,10443000000.0,14956000000.0,25399000000.0,24460000000.0
2021-01-31,,,,,,,,,,,,,8000000.0,,,,,,,,,,,,0.0,,,,,,,,60000000.0,,,3280000000.0,,,,5000000.0,,8000000.0,,,,6767000000.0,6767000000.0,84000000.0,,,,
