,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Properties Purchase And Sale,Sale Of Investment Properties,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations
2025-01-31,182000000.0,-10000000.0,-192000000.0,199000000.0,-466000000.0,312000000.0,78000000.0,134000000.0,183000000.0,-49000000.0,-230000000.0,-230000000.0,-5000000.0,0.0,-222000000.0,-222000000.0,-10000000.0,-10000000.0,7000000.0,198000000.0,198000000.0,-191000000.0,-192000000.0,1000000.0,-467000000.0,-467000000.0,-7000000.0,6000000.0,6000000.0,-466000000.0,-466000000.0,648000000.0,648000000.0,-275000000.0,-93000000.0,-50000000.0,-72000000.0,20000000.0,-92000000.0,-92000000.0,-60000000.0,90000000.0,30000000.0,36000000.0,-85000000.0,-85000000.0,743000000.0,743000000.0,,,109000000.0
2024-01-31,591000000.0,-16000000.0,-368000000.0,28000000.0,-577000000.0,331000000.0,69000000.0,183000000.0,153000000.0,30000000.0,-576000000.0,-576000000.0,,0.0,-220000000.0,-220000000.0,-16000000.0,-16000000.0,-340000000.0,7000000.0,7000000.0,-347000000.0,-368000000.0,21000000.0,-562000000.0,-562000000.0,-11000000.0,26000000.0,26000000.0,-577000000.0,-577000000.0,1168000000.0,1168000000.0,-30000000.0,-93000000.0,11000000.0,-263000000.0,-67000000.0,-196000000.0,-196000000.0,315000000.0,98000000.0,42000000.0,0.0,-8000000.0,-8000000.0,749000000.0,749000000.0,,,317000000.0
2023-01-31,-544000000.0,-679000000.0,-106000000.0,96000000.0,-826000000.0,284000000.0,111000000.0,153000000.0,1587000000.0,-1434000000.0,-933000000.0,-933000000.0,-6000000.0,1000000.0,-239000000.0,-239000000.0,-679000000.0,-679000000.0,-10000000.0,85000000.0,85000000.0,-95000000.0,-106000000.0,11000000.0,-783000000.0,-783000000.0,,43000000.0,43000000.0,-826000000.0,-826000000.0,282000000.0,282000000.0,-589000000.0,-108000000.0,87000000.0,-452000000.0,-99000000.0,-353000000.0,-353000000.0,-116000000.0,136000000.0,30000000.0,0.0,-84000000.0,-84000000.0,808000000.0,808000000.0,,,-19000000.0
2022-01-31,1666000000.0,-1382000000.0,-1169000000.0,515000000.0,-605000000.0,246000000.0,370000000.0,1587000000.0,2271000000.0,-684000000.0,-2385000000.0,-2385000000.0,-203000000.0,1000000.0,-147000000.0,-147000000.0,-1382000000.0,-1382000000.0,-654000000.0,0.0,0.0,-654000000.0,-1169000000.0,515000000.0,-570000000.0,-570000000.0,,35000000.0,35000000.0,-605000000.0,-605000000.0,2271000000.0,2271000000.0,187000000.0,-142000000.0,569000000.0,227000000.0,21000000.0,206000000.0,206000000.0,-467000000.0,151000000.0,48000000.0,0.0,-92000000.0,-92000000.0,838000000.0,838000000.0,201000000.0,,938000000.0
2021-01-31,,,,,,,,,,,,,-19000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-127000000.0,-127000000.0,
