,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Total Revenue,Operating Revenue,Net Policyholder Benefits And Claims
2025-03-31,0.0,0.000626,483203300000.0,5064700000.0,484932600000.0,-1426500000.0,1426500000.0,3229753400000.0,483203300000.0,483203300000.0,8427746500000.0,8168400000.0,6324997701.0,6324997701.0,76.4,76.4,483203300000.0,483203300000.0,483203300000.0,,483203300000.0,0.0,483203300000.0,302800000.0,483506100000.0,-4700000.0,-1426500000.0,1426500000.0,,678647100000.0,5064700000.0,5064700000.0,6930900000.0,6122100000.0,808800000.0,8168400000.0,8911252600000.0,8911252600000.0,3703103300000.0
2024-03-31,0.0,0.003428,409158500000.0,4659400000.0,411844800000.0,-1278800000.0,1278800000.0,3012731100000.0,409158500000.0,409158500000.0,8079742700000.0,7993200000.0,6324997701.0,6324997701.0,64.69,64.69,409158500000.0,409158500000.0,409158500000.0,,409158500000.0,0.0,409158500000.0,1407500000.0,410566000000.0,600000.0,-1278800000.0,1278800000.0,,377736300000.0,4659400000.0,4659400000.0,6135200000.0,5566000000.0,569200000.0,7993200000.0,8490308700000.0,8490308700000.0,3518019900000.0
2023-03-31,0.0,0.002336,359966500000.0,4663800000.0,361583700000.0,-774300000.0,774300000.0,2761176600000.0,359966500000.0,359966500000.0,7453042400000.0,7272600000.0,6324997701.0,6324997701.0,56.91,56.91,359966500000.0,359966500000.0,359966500000.0,,359966500000.0,0.0,359966500000.0,842900000.0,360809400000.0,5700000.0,-774300000.0,774300000.0,,259315300000.0,4663800000.0,4663800000.0,7816000000.0,7138500000.0,677500000.0,7272600000.0,7852170800000.0,7852170800000.0,3090887400000.0
2022-03-31,0.0,0.009574,41247082000.0,4361858000.0,42512778000.0,-866996000.0,866996000.0,2538383617000.0,41247082000.0,41247082000.0,7226736748000.0,6731024000.0,6326239571.0,6326239571.0,6.52,6.52,41247082000.0,41247082000.0,41247082000.0,,41247082000.0,,41247082000.0,398700000.0,41645782000.0,-11713000.0,-866996000.0,866996000.0,0.0,109634484000.0,4361858000.0,4361858000.0,7927502000.0,7482975000.0,444527000.0,6731024000.0,7268382530000.0,7268382530000.0,3574689032000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,-4465250000.0,,,,,,,,,102000366000.0,,,,,,,,,,
